Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access,URL,Keywords,Language,Pages,Actions
"Systematic literature reviews in software engineering – A systematic literature review","-","Barbara Kitchenham; O. Pearl Brereton; David Budgen; Mark Turner; John Bailey; Stephen Linkman","2008","Information and Software Technology","10.1016/j.infsof.2008.09.009","4336","-","https://doi.org/10.1016/j.infsof.2008.09.009","","-","-","Include"
"Guidelines for snowballing in systematic literature studies and a replication in software engineering","-","Claes Wohlin","2014","Proceedings of the 18th International Conference on Evaluation and Assessment in Software Engineering","10.1145/2601248.2601268","3735","-","https://doi.org/10.1145/2601248.2601268","","-","1-10","Include"
"Sequential Model-Based Optimization for General Algorithm Configuration","-","Frank Hutter; Holger H. Hoos; Kevin Leyton‐Brown","2011","Lecture notes in computer science","10.1007/978-3-642-25566-3_40","2365","-","https://doi.org/10.1007/978-3-642-25566-3_40","","-","-","Include"
"Experimentation in Software Engineering: An Introduction","-","Claes Wohlin; Per Runeson; Martin Höst; Magnus C. Ohlsson; Bjöorn Regnell; Anders Wesslén","2011","The Kluwer International Series in Software Engineering","10.1007/978-1-4615-4625-2","2228","-","https://doi.org/10.1007/978-1-4615-4625-2","","-","-","Include"
"Software Product Line Engineering : Foundations, Principles, and Techniques","-","Klaus Pohl; Böckle, Günter; F. J. van der Linden","2005","-","10.1007/3-540-28901-1","2161","-","https://doi.org/10.1007/3-540-28901-1","","en","-","Include"
"Binary Decision Diagrams","-","Akers","1978","IEEE Transactions on Computers","10.1109/tc.1978.1675141","1828","-","https://doi.org/10.1109/tc.1978.1675141","","-","-","Include"
"Auto-WEKA","-","Chris Thornton; Frank Hutter; Holger H. Hoos; Kevin Leyton‐Brown","2013","Proceedings of the 19th ACM SIGKDD international conference on Knowledge discovery and data mining","10.1145/2487575.2487629","1314","-","https://doi.org/10.1145/2487575.2487629","","-","847-855","Include"
"A Review of Machine Learning Algorithms for Text-Documents Classification","-","Baharum Baharudin; Lam Hong Lee; Khairullah Khan","2010","Journal of Advances in Information Technology","10.4304/jait.1.1.4-20","642","-","https://doi.org/10.4304/jait.1.1.4-20","","-","-","Include"
"Automated Reasoning on Feature Models","-","David Benavides; Pablo Trinidad; Antonio Ruiz–Cortés","2005","Notes on numerical fluid mechanics and multidisciplinary design","10.1007/11431855_34","612","-","https://doi.org/10.1007/11431855_34","","-","-","Include"
"A systematic review of machine learning techniques for software fault prediction","-","Ruchika Malhotra","2014","Applied Soft Computing","10.1016/j.asoc.2014.11.023","612","-","https://doi.org/10.1016/j.asoc.2014.11.023","","-","-","Include"
"A review of machine learning approaches to Spam filtering","-","Thiago Guzella; Walmir M. Caminhas","2009","Expert Systems with Applications","10.1016/j.eswa.2009.02.037","536","-","https://doi.org/10.1016/j.eswa.2009.02.037","","-","-","Include"
"Survey of review spam detection using machine learning techniques","-","Mike Crawford; Taghi M. Khoshgoftaar; Joseph D. Prusa; Aaron N. Richter; Hamzah Al Najada","2015","Journal Of Big Data","10.1186/s40537-015-0029-9","491","-","https://doi.org/10.1186/s40537-015-0029-9","","-","-","Include"
"A Classification and Survey of Analysis Strategies for Software Product Lines","-","Thomas Thüm; Sven Apel; Christian Kästner; Ina Schaefer; Gunter Saake","2014","ACM Computing Surveys","10.1145/2580950","469","-","https://doi.org/10.1145/2580950","","-","-","Include"
