oci,citing,cited,creation,timespan,journal_sc,author_sc
06340516091-062201284361,10.1057/s41599-024-03951-0,10.2307/41409967,2024-10-25,P13Y,no,no
061401204949-062201284361,10.15446/innovar.v29n74.82094,10.2307/41409967,2019-10-01,P8Y,no,no
061601952199-062201284361,10.3390/su11215946,10.2307/41409967,2019-10-25,P8Y,no,no
061201305438-062201284361,10.1016/j.ijhm.2018.09.010,10.2307/41409967,2019-04,P8Y,no,no
061501017775-062201284361,10.1016/j.jsis.2020.101623,10.2307/41409967,2020-09,P9Y,no,no
061603043906-062201284361,10.1111/jbl.12012,10.2307/41409967,2013-06,P2Y,no,no
0680232338-062201284361,10.1016/j.indmarman.2022.03.017,10.2307/41409967,2022-05,P11Y,no,no
06804442989-062201284361,10.1590/0034-761220220221x,10.2307/41409967,2023,P12Y,no,no
061502854914-062201284361,10.1108/k-11-2021-1137,10.2307/41409967,2022-02-25,P11Y,no,no
06601567375-062201284361,10.1007/978-3-030-86800-0_21,10.2307/41409967,2021,P10Y,no,no
06502219433-062201284361,10.1007/s10799-015-0217-5,10.2307/41409967,2015-02-27,P4Y,no,no
06601321973-062201284361,10.1080/1097198x.2015.1015827,10.2307/41409967,2015-01-02,P4Y,no,no
0605121668-062201284361,10.1111/1467-8551.12889,10.2307/41409967,2024-12-20,P13Y,no,no
0607988129-062201284361,10.1108/jbim-05-2024-0341,10.2307/41409967,2025-03-28,P14Y,no,no
062303995235-062201284361,10.1080/1097198x.2023.2166751,10.2307/41409967,2023-01-02,P12Y,no,no
06803100192-062201284361,10.4018/ij3dim.2018100102,10.2307/41409967,2018-10-01,P7Y,no,no
06201291736-062201284361,10.1108/imds-08-2018-0345,10.2307/41409967,2019-07-08,P8Y,no,no
061602533006-062201284361,10.1109/hicss.2015.594,10.2307/41409967,2015-01,P4Y,no,no
06202400745-062201284361,10.1007/978-3-030-40989-0_1,10.2307/41409967,2020,P9Y,no,no
062404411919-062201284361,10.1111/isj.12519,10.2307/41409967,2024-04-23,P13Y,no,no
06603360803-062201284361,10.2196/preprints.32336,10.2307/41409967,2021-07-23,P10Y,no,no
06240574493-062201284361,10.1108/jmd-03-2019-0086,10.2307/41409967,2019-07-08,P8Y,no,no
061603061570-062201284361,10.1108/ijopm-10-2020-0711,10.2307/41409967,2021-07-14,P10Y,no,no
061202603323-062201284361,10.1016/j.ijinfomgt.2016.07.001,10.2307/41409967,2016-12,P5Y,no,no
06502732850-062201284361,10.1109/iscv54655.2022.9806112,10.2307/41409967,2022-05-18,P11Y,no,no
06110808309-062201284361,10.1080/02681102.2019.1599798,10.2307/41409967,2019-04-07,P8Y,no,no
061802893076-062201284361,10.1109/hicss.2014.522,10.2307/41409967,2014-01,P3Y,no,no
062501404881-062201284361,10.1007/978-3-030-98183-9_1,10.2307/41409967,2022,P11Y,no,no
06203442448-062201284361,10.4018/ijkbo.2019040104,10.2307/41409967,2019-04,P8Y,no,no
061502340991-062201284361,10.4018/978-1-5225-6367-9.ch009,10.2307/41409967,2019,P8Y,no,no
06901104208-062201284361,10.22139/jobs.373479,10.2307/41409967,2018-04-20,P7Y,no,no
062909380-062201284361,10.1108/ijoa-10-2021-3003,10.2307/41409967,2022-01-11,P11Y,no,no
06204712072-062201284361,10.1108/bpmj-06-2024-0458,10.2307/41409967,2024-09-19,P13Y,no,no
061404136621-062201284361,10.1108/jeim-06-2023-0275,10.2307/41409967,2023-12-21,P12Y,no,no
061901987397-062201284361,10.1007/s10479-022-04772-7,10.2307/41409967,2022-06-03,P11Y,no,no
0645094378-062201284361,10.1108/imr-05-2022-0107,10.2307/41409967,2022-12-22,P11Y,no,no
06350148516-062201284361,10.1108/md-05-2022-0600,10.2307/41409967,2023-03-09,P12Y,no,no
062604325817-062201284361,10.3390/app14167243,10.2307/41409967,2024-08-17,P13Y,no,no
062201044805-062201284361,10.1108/mrjiam-12-2020-1115,10.2307/41409967,2021-06-16,P10Y,no,no
06301717920-062201284361,10.3390/jcm11010133,10.2307/41409967,2021-12-27,P10Y,no,no
062601495174-062201284361,10.1016/j.procs.2021.12.193,10.2307/41409967,2022,P11Y,no,no
062104393804-062201284361,10.1108/scm-11-2023-0561,10.2307/41409967,2024-11-27,P13Y,no,no
06260164112-062201284361,10.1016/j.dss.2020.113342,10.2307/41409967,2020-08,P9Y,no,no
06703034671-062201284361,10.1108/ribs-03-2020-0022,10.2307/41409967,2020-07-17,P9Y,no,no
062604215721-062201284361,10.1016/j.heliyon.2024.e25583,10.2307/41409967,2024-02,P13Y,no,no
06202318629-062201284361,10.3390/su9122354,10.2307/41409967,2017-12-17,P6Y,no,no
061401204873-062201284361,10.15446/innovar.v32n84.100595,10.2307/41409967,2022,P11Y,no,no
062301875887-062201284361,10.1016/j.jom.2013.07.012,10.2307/41409967,2013-07-27,P2Y,no,no
06501447091-062201284361,10.1177/0972150917713545,10.2307/41409967,2017-10-12,P6Y,no,no
06504427529-062201284361,10.1016/j.techfore.2023.122581,10.2307/41409967,2023-07,P12Y,no,no
06302977620-062201284361,10.1109/iccoins.2014.6868847,10.2307/41409967,2014-06,P3Y,no,no
06404734732-062201284361,10.1142/s0219877024500184,10.2307/41409967,2023-12-23,P12Y,no,no
06201292067-062201284361,10.1108/imds-09-2015-0376,10.2307/41409967,2016-07-11,P5Y,no,no
06290603759-062201284361,10.1016/j.im.2024.104064,10.2307/41409967,2025-01,P14Y,no,no
06201291410-062201284361,10.1108/imds-07-2021-0457,10.2307/41409967,2022-03-30,P11Y,no,no
062204243628-062201284361,10.1080/13602381.2024.2387576,10.2307/41409967,2024-08-19,P13Y,no,no
062204278598-062201284361,10.24857/rgsa.v18n2-192,10.2307/41409967,2024-07-03,P13Y,no,no
06504427568-062201284361,10.1016/j.techfore.2023.122525,10.2307/41409967,2023-07,P12Y,no,no
061104033591-062201284361,10.1002/tie.22365,10.2307/41409967,2023-09-07,P12Y,no,no
06310187387-062201284361,10.3390/su142416767,10.2307/41409967,2022-12-14,P11Y,no,no
061903080992-062201284361,10.1108/jsit-02-2020-0022,10.2307/41409967,2021-05-11,P10Y,no,no
0606534925-062201284361,10.1016/j.indmarman.2025.01.005,10.2307/41409967,2025-02,P14Y,no,no
062909359-062201284361,10.1108/ijoa-09-2021-2973,10.2307/41409967,2022-03-14,P11Y,no,no
0660509614-062201284361,10.1108/bpmj-07-2017-0201,10.2307/41409967,2018-09-03,P7Y,no,no
06804463144-062201284361,10.1108/ijqrm-09-2021-0321,10.2307/41409967,2023-05-26,P12Y,no,no
061102621040-062201284361,10.1016/j.ijinfomgt.2018.07.010,10.2307/41409967,2018-12,P7Y,no,no
0680232849-062201284361,10.1016/j.indmarman.2019.11.009,10.2307/41409967,2020-10,P9Y,no,no
062602339214-062201284361,10.4018/978-1-5225-7826-0.ch004,10.2307/41409967,2019,P8Y,no,no
062202299733-062201284361,10.1145/3291533.3291543,10.2307/41409967,2018-11-29,P7Y,no,no
0627097666-062201284361,10.1108/ijoa-11-2022-3480,10.2307/41409967,2023-04-11,P12Y,no,no
06403961559-062201284361,10.3390/su142215044,10.2307/41409967,2022-11-15,P11Y,no,no
06130108495-062201284361,10.1016/j.chb.2018.02.015,10.2307/41409967,2019-06,P8Y,no,no
06501317815-062201284361,10.1108/jocm-10-2017-0398,10.2307/41409967,2018-10-01,P7Y,no,no
0647082555-062201284361,10.1080/09537325.2022.2153029,10.2307/41409967,2022-12-20,P11Y,no,no
061602460355-062201284361,10.1007/978-3-319-28907-6_7,10.2307/41409967,2016,P5Y,no,no
061604300759-062201284361,10.12677/ecl.2024.1341727,10.2307/41409967,2024,P13Y,no,no
06203877022-062201284361,10.1016/j.bir.2022.08.005,10.2307/41409967,2022-08,P11Y,no,no
0605591453-062201284361,10.1016/j.im.2025.104130,10.2307/41409967,2025-06,P14Y,no,no
06601293240-062201284361,10.1016/j.ijproman.2020.01.004,10.2307/41409967,2020-02,P9Y,no,no
061602900488-062201284361,10.4018/978-1-4666-6006-9.ch011,10.2307/41409967,,,no,no
061104435426-062201284361,10.1007/978-3-031-62281-6_37,10.2307/41409967,2024,P13Y,no,no
061504172473-062201284361,10.1177/21582440241286990,10.2307/41409967,2024-10,P13Y,no,no
06280197334-062201284361,10.3390/su15065522,10.2307/41409967,2023-03-21,P12Y,no,no
061901128683-062201284361,10.1016/j.techfore.2021.120848,10.2307/41409967,2021-08,P10Y,no,no
062401013473-062201284361,10.1287/isre.2015.0577,10.2307/41409967,2015-06,P4Y,no,no
061703827738-062201284361,10.2139/ssrn.4508268,10.2307/41409967,2023,P12Y,no,no
06130459125-062201284361,10.1016/j.im.2014.05.007,10.2307/41409967,2014-09,P3Y,no,no
06201866496-062201284361,10.1109/confluence.2017.7943163,10.2307/41409967,2017-01,P6Y,no,no
06180557674-062201284361,10.1080/0960085x.2020.1740618,10.2307/41409967,2020-04-16,P9Y,no,no
06160883350-062201284361,10.1108/bij-02-2021-0110,10.2307/41409967,2021-09-24,P10Y,no,no
061202506354-062201284361,10.1109/iceei.2015.7352479,10.2307/41409967,2015-08,P4Y,no,no
062304265121-062201284361,10.1016/j.techfore.2024.123624,10.2307/41409967,2024-10,P13Y,no,no
06120460219-062201284361,10.1016/j.im.2015.05.003,10.2307/41409967,2015-09,P4Y,no,no
06304758962-062201284361,10.1109/emr.2024.3389557,10.2307/41409967,2024-06,P13Y,no,no
0670290559-062201284361,10.3389/fpsyg.2022.846629,10.2307/41409967,2022-03-15,P11Y,no,no
061501017810-062201284361,10.1016/j.jsis.2018.12.002,10.2307/41409967,2019-06,P8Y,no,no
06403402770-062201284361,10.1108/s0733-558x2021000073a013,10.2307/41409967,2021-07-08,P10Y,no,no
06501317580-062201284361,10.1108/jocm-02-2020-0043,10.2307/41409967,2021-08-30,P10Y,no,no
06204712055-062201284361,10.1108/bpmj-02-2024-0081,10.2307/41409967,2024-08-21,P13Y,no,no
062401852171-062201284361,10.29252/jist.8.32.207,10.2307/41409967,2021-01-18,P10Y,no,no
06702899945-062201284361,10.1109/hicss.2016.626,10.2307/41409967,2016-01,P5Y,no,no
061102620664-062201284361,10.1016/j.ijinfomgt.2020.102172,10.2307/41409967,2020-12,P9Y,no,no
061303817380-062201284361,10.1080/07421222.2022.2127452,10.2307/41409967,2022-10-02,P11Y,no,no
062602192679-062201284361,10.1007/978-3-319-77917-1_1,10.2307/41409967,2018,P7Y,no,no
0607165695-062201284361,10.1108/ejim-06-2024-0646,10.2307/41409967,2025-03-03,P14Y,no,no
06403861611-062201284361,10.1108/ebr-01-2022-0014,10.2307/41409967,2022-09-13,P11Y,no,no
061902528882-062201284361,10.1109/hicss.2015.538,10.2307/41409967,2015-01,P4Y,no,no
061803457191-062201284361,10.1177/21582440221119478,10.2307/41409967,2022-07,P11Y,no,no
06480139519-062201284361,10.3390/jrfm15120606,10.2307/41409967,2022-12-14,P11Y,no,no
062401960428-062201284361,10.1108/md-09-2019-1237,10.2307/41409967,2020-03-23,P9Y,no,no
062103433361-062201284361,10.3846/jbem.2022.17441,10.2307/41409967,2022-09-15,P11Y,no,no
06270200017-062201284361,10.2308/isys-2021-038,10.2307/41409967,2023-03-01,P12Y,no,no
06210783900-062201284361,10.4018/joeuc.2020100107,10.2307/41409967,2020-10,P9Y,no,no
0604894982-062201284361,10.12677/ecl.2025.141107,10.2307/41409967,2025,P14Y,no,no
061701883588-062201284361,10.1016/j.iimb.2013.05.001 10.1016/j.iimb.2013.06.006,10.2307/41409967,2013-09,P2Y,no,no
062304197513-062201284361,10.1109/tem.2024.3354804,10.2307/41409967,2024,P13Y,no,no
0607176465-062201284361,10.1108/jfbm-01-2025-0016,10.2307/41409967,2025-02-24,P14Y,no,no
06203106411-062201284361,10.1007/978-3-642-40078-0_17,10.2307/41409967,2013-09-19,P2Y,no,no
06310146664-062201284361,10.23919/ist-africa60249.2023.10187790,10.2307/41409967,2023-05-31,P12Y,no,no
06801604477-062201284361,10.22507/rli.v14n2a8,10.2307/41409967,2017,P6Y,no,no
06404363340-062201284361,10.1016/j.jbusres.2022.113485,10.2307/41409967,2023-03,P12Y,no,no
062401013149-062201284361,10.1287/isre.2020.0944,10.2307/41409967,2020-12,P9Y,no,no
06104817192-062201284361,10.1007/s10842-024-00425-6,10.2307/41409967,2024-06-24,P13Y,no,no
0606311154-062201284361,10.1016/j.joitmc.2025.100513,10.2307/41409967,2025-06,P14Y,no,no
061502855373-062201284361,10.1108/k-05-2019-0358,10.2307/41409967,2019-11-18,P8Y,no,no
06210973081-062201284361,10.1590/1982-7849rac20151410,10.2307/41409967,2015-04,P4Y,no,no
06803970931-062201284361,10.4018/978-1-6684-4605-8.ch014,10.2307/41409967,2022-08-12,P11Y,no,no
061801256309-062201284361,10.1007/s12063-019-00142-y,10.2307/41409967,2019-07-25,P8Y,no,no
0652045849-062201284361,10.1108/itp-07-2018-0343,10.2307/41409967,2020-07-23,P9Y,no,no
061301803347-062201284361,10.1108/jkm-05-2015-0203,10.2307/41409967,2016-05-09,P5Y,no,no
06402190203-062201284361,10.1002/bsd2.59,10.2307/41409967,2019-04-15,P8Y,no,no
0660965048-062201284361,10.1080/16258312.2020.1801108,10.2307/41409967,2020-07-02,P9Y,no,no
0606152672-062201284361,10.1108/jeim-03-2024-0144,10.2307/41409967,2025-03-21,P14Y,no,no
06180557907-062201284361,10.1057/ejis.2013.4,10.2307/41409967,2014-05,P3Y,no,no
06180239264-062201284361,10.1108/ebr-03-2014-0023,10.2307/41409967,2015-10-12,P4Y,no,no
0606238624-062201284361,10.1108/ijopm-08-2024-0663,10.2307/41409967,2025-03-14,P14Y,no,no
061801403488-062201284361,10.1007/s11628-018-00394-x,10.2307/41409967,2018-12-10,P7Y,no,no
061102620811-062201284361,10.1016/j.ijinfomgt.2019.09.002,10.2307/41409967,2020-02,P9Y,no,no
061702183836-062201284361,10.1016/j.techsoc.2021.101833,10.2307/41409967,2022-02,P11Y,no,no
062404401312-062201284361,10.1109/ieem58616.2023.10406868,10.2307/41409967,2023-12-18,P12Y,no,no
0610520572-062201284361,10.1080/1463922x.2016.1274456,10.2307/41409967,2017-11-24,P6Y,no,no
06150589765-062201284361,10.1007/s11846-021-00501-9,10.2307/41409967,2021-11-09,P10Y,no,no
062504383735-062201284361,10.1007/s10796-024-10490-1,10.2307/41409967,2024-05-08,P13Y,no,no
06120460011-062201284361,10.1016/j.im.2017.10.001,10.2307/41409967,2018-07,P7Y,no,no
06120459867-062201284361,10.1016/j.im.2019.05.004,10.2307/41409967,2020-03,P9Y,no,no
061702476324-062201284361,10.4018/978-1-5225-1913-3.ch052,10.2307/41409967,,,no,no
06401490213-062201284361,10.1016/j.procs.2019.11.110,10.2307/41409967,2019,P8Y,no,no
0630409055-062201284361,10.1080/00207543.2019.1660822,10.2307/41409967,2019-09-09,P8Y,no,no
06401201604-062201284361,10.1177/0170840613517599,10.2307/41409967,2014-03-05,P3Y,no,no
0680956216-062201284361,10.1142/s1363919618500378,10.2307/41409967,2018-05,P7Y,no,no
062401854786-062201284361,10.1108/ejim-08-2021-0382,10.2307/41409967,2022-01-31,P11Y,no,no
0620817190-062201284361,10.1057/jit.2015.26,10.2307/41409967,2017-03,P6Y,no,no
062603968808-062201284361,10.4018/978-1-7998-9220-5.ch099,10.2307/41409967,2022-10-14,P11Y,no,no
061901128595-062201284361,10.1016/j.techfore.2021.120935,10.2307/41409967,2021-09,P10Y,no,no
061803535423-062201284361,10.1108/jeim-12-2021-0521,10.2307/41409967,2022-10-24,P11Y,no,no
0605310677-062201284361,10.1080/16874048.2024.2432834,10.2307/41409967,2024-12-26,P13Y,no,no
061702160443-062201284361,10.33723/rs.619606,10.2307/41409967,2019-10-22,P8Y,no,no
06602917674-062201284361,10.1109/hicss.2016.384,10.2307/41409967,2016-01,P5Y,no,no
062101288846-062201284361,10.1080/09537325.2019.1601693,10.2307/41409967,2019-03-31,P8Y,no,no
06402633081-062201284361,10.1108/ics-02-2020-0020,10.2307/41409967,2020-06-13,P9Y,no,no
06903512255-062201284361,10.1109/tem.2021.3108343,10.2307/41409967,2022-12,P11Y,no,no
062603563781-062201284361,10.1108/jstp-04-2022-0095,10.2307/41409967,2022-11-29,P11Y,no,no
0680969431-062201284361,10.4018/jgim.302915,10.2307/41409967,2022,P11Y,no,no
061303817393-062201284361,10.1080/07421222.2023.2196774,10.2307/41409967,2023-04-03,P12Y,no,no
06404363529-062201284361,10.1016/j.jbusres.2023.113823,10.2307/41409967,2023-06,P12Y,no,no
06370120744-062201284361,10.21511/im.19(2).2023.16,10.2307/41409967,2023-06-02,P12Y,no,no
061504257553-062201284361,10.1016/j.jbusres.2024.115054,10.2307/41409967,2025-01,P14Y,no,no
062401854990-062201284361,10.1108/ejim-06-2019-0144,10.2307/41409967,2020-03-18,P9Y,no,no
061101467943-062201284361,10.4018/jdm.2017100101,10.2307/41409967,2017-10-01,P6Y,no,no
06204639338-062201284361,10.1108/imds-01-2023-0056,10.2307/41409967,2023-12-28,P12Y,no,no
06704702056-062201284361,10.1109/tem.2024.3387649,10.2307/41409967,2024,P13Y,no,no
06140248708-062201284361,10.1016/j.technovation.2018.05.002,10.2307/41409967,2019-02,P8Y,no,no
06210250492-062201284361,10.1007/s10660-016-9248-1,10.2307/41409967,2016-11-21,P5Y,no,no
062504375463-062201284361,10.1142/s1363919624500038,10.2307/41409967,2024-02,P13Y,no,no
061104018781-062201284361,10.1016/j.spc.2022.12.011,10.2307/41409967,2023-01,P12Y,no,no
06404888515-062201284361,10.1002/joe.22280,10.2307/41409967,2024-10-24,P13Y,no,no
062403493498-062201284361,10.1108/ijopm-04-2022-0266,10.2307/41409967,2022-10-24,P11Y,no,no
06170884508-062201284361,10.1111/ijmr.12242,10.2307/41409967,2020-12-13,P9Y,no,no
06503413250-062201284361,10.4018/978-1-7998-7231-3.ch008,10.2307/41409967,2021,P10Y,no,no
06350148517-062201284361,10.1108/md-05-2022-0644,10.2307/41409967,2023-03-09,P12Y,no,no
06903946924-062201284361,10.21203/rs.3.rs-2985159/v1,10.2307/41409967,2023-05-31,P12Y,no,no
0660290315-062201284361,10.1016/j.jbusres.2019.10.036,10.2307/41409967,2021-01,P10Y,no,no
06104342389-062201284361,10.2139/ssrn.4494207,10.2307/41409967,2023,P12Y,no,no
06120460167-062201284361,10.1016/j.im.2015.12.003,10.2307/41409967,2016-04,P5Y,no,no
06350525830-062201284361,10.1080/1051712x.2024.2411456,10.2307/41409967,2024-10-04,P13Y,no,no
062401960246-062201284361,10.1108/md-12-2020-1681,10.2307/41409967,2021-05-19,P10Y,no,no
06202534273-062201284361,10.1177/21582440221106170,10.2307/41409967,2022-04,P11Y,no,no
062601419402-062201284361,10.3233/hsm-17150,10.2307/41409967,2018-05-10,P7Y,no,no
06901960692-062201284361,10.3390/su14074371,10.2307/41409967,2022-04-06,P11Y,no,no
06180774761-062201284361,10.1007/s00500-020-05418-1,10.2307/41409967,2020-11-19,P9Y,no,no
06410186845-062201284361,10.3390/su151411304,10.2307/41409967,2023-07-20,P12Y,no,no
061301802711-062201284361,10.1108/jkm-06-2021-0486,10.2307/41409967,2021-12-07,P10Y,no,no
06201699511-062201284361,10.1016/j.jwb.2020.101175,10.2307/41409967,2021-04,P10Y,no,no
0670839640-062201284361,10.1016/j.ijpe.2019.09.019,10.2307/41409967,2020-04,P9Y,no,no
062503508725-062201284361,10.1080/0960085x.2022.2102713,10.2307/41409967,2022-11-02,P11Y,no,no
06280175485-062201284361,10.3390/admsci13080185,10.2307/41409967,2023-08-10,P12Y,no,no
062304265027-062201284361,10.1016/j.techfore.2024.123359,10.2307/41409967,2024-06,P13Y,no,no
06160884042-062201284361,10.1108/bij-05-2016-0078,10.2307/41409967,2017-04-03,P6Y,no,no
06102334261-062201284361,10.3390/su10030770,10.2307/41409967,2018-03-11,P7Y,no,no
061402134586-062201284361,10.1007/978-3-319-98648-7_25,10.2307/41409967,2018,P7Y,no,no
0690914655-062201284361,10.1080/15228053.2013.10845726,10.2307/41409967,2013-10,P2Y,no,no
062304386452-062201284361,10.1057/s41270-024-00301-6,10.2307/41409967,2024-03-30,P13Y,no,no
061502854847-062201284361,10.1108/k-11-2021-1188,10.2307/41409967,2022-06-07,P11Y,no,no
06801196628-062201284361,10.1177/0266666913518059,10.2307/41409967,2014-02-04,P3Y,no,no
06180845732-062201284361,10.1080/00472778.2020.1793550,10.2307/41409967,2020-08-28,P9Y,no,no
06301750696-062201284361,10.1111/jpim.12547,10.2307/41409967,2020-08-30,P9Y,no,no
06802462834-062201284361,10.16972/apjbve.11.6.201612.27,10.2307/41409967,2016-12,P5Y,no,no
06201291666-062201284361,10.1108/imds-02-2019-0072,10.2307/41409967,2020-02-14,P9Y,no,no
06301750801-062201284361,10.1111/jpim.12408,10.2307/41409967,2017-07-26,P6Y,no,no
061504209031-062201284361,10.7202/1107633ar,10.2307/41409967,2023-11-21,P12Y,no,no
06404363179-062201284361,10.1016/j.jbusres.2022.113525,10.2307/41409967,2023-02,P12Y,no,no
061701797285-062201284361,10.1108/jeim-08-2020-0321,10.2307/41409967,2021-06-10,P10Y,no,no
062303452520-062201284361,10.1080/21639159.2022.2105245,10.2307/41409967,2022-08-15,P11Y,no,no
0680843716-062201284361,10.1016/j.ijpe.2016.05.008,10.2307/41409967,2016-09,P5Y,no,no
0650330370-062201284361,10.1108/imr-01-2016-0024,10.2307/41409967,2017-02-13,P6Y,no,no
061901348970-062201284361,10.1365/s40702-017-0370-x,10.2307/41409967,2017-10-23,P6Y,no,no
06270201314-062201284361,10.3390/su15010301,10.2307/41409967,2022-12-24,P11Y,no,no
06302535032-062201284361,10.1177/2158244020970564,10.2307/41409967,2020-10,P9Y,no,no
0606622598-062201284361,10.32604/cmc.2024.056990,10.2307/41409967,2024,P13Y,no,no
06704658184-062201284361,10.1007/s11301-024-00446-9,10.2307/41409967,2024-06-21,P13Y,no,no
061904210628-062201284361,10.1016/j.techfore.2023.123142,10.2307/41409967,2024-03,P13Y,no,no
06604744880-062201284361,10.1108/jbim-09-2023-0508,10.2307/41409967,2024-08-07,P13Y,no,no
061301803157-062201284361,10.1108/jkm-10-2017-0460,10.2307/41409967,2018-05-15,P7Y,no,no
06903467367-062201284361,10.4018/irmj.298977,10.2307/41409967,2022,P11Y,no,no
061904252051-062201284361,10.1007/978-3-031-70445-1_16,10.2307/41409967,2024,P13Y,no,no
06340328-062201284361,10.1515/dim-2017-0003,10.2307/41409967,2017-09,P6Y,no,no
0652045963-062201284361,10.1108/itp-02-2018-0055,10.2307/41409967,2019-12-02,P8Y,no,no
