id,abstract,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W1978795070,,Yang Chen|Yi Wang|Saggi Nevo|Jiafei Jin|Luning Wang|Wing S. Chow,https://openalex.org/A5100350508|https://openalex.org/A5100785191|https://openalex.org/A5055873328|https://openalex.org/A5101463993|https://openalex.org/A5100647849|https://openalex.org/A5000942445,https://orcid.org/0009-0001-6235-685X|https://orcid.org/0000-0003-1239-5591|https://orcid.org/0000-0002-4195-6733||https://orcid.org/0000-0001-8439-8164|,CN|CN||CN|HK|HK,Southwestern University of Finance and Economics|Shantou University||Southwestern University of Finance and Economics|Hong Kong University of Science and Technology|University of Hong Kong|Hong Kong Baptist University,https://openalex.org/I204831749|https://openalex.org/I32574673||https://openalex.org/I204831749|https://openalex.org/I200769079|https://openalex.org/I889458895|https://openalex.org/I141568987,True|False|False|False|False|False,533,https://openalex.org/I204831749,IT capability and organizational performance: the roles of business process agility and environmental factors,https://doi.org/10.1057/ejis.2013.4,,33.64293045,False,en,False,closed,European Journal of Information Systems,https://openalex.org/S116712389,0960-085X,journal,Innovation and Knowledge Management,2013-03-26,2013,article
https://openalex.org/W2116426976,,Anindita Chakravarty|Rajdeep Grewal|V. Sambamurthy,https://openalex.org/A5065471903|https://openalex.org/A5102727649|https://openalex.org/A5061657299,https://orcid.org/0000-0001-7612-1480|https://orcid.org/0000-0003-4467-2717|https://orcid.org/0000-0002-6600-1706,US|US|US,University of Georgia|Pennsylvania State University|Michigan State University,https://openalex.org/I165733156|https://openalex.org/I130769515|https://openalex.org/I87216513,True|False|False,478,https://openalex.org/I165733156,"Information Technology Competencies, Organizational Agility, and Firm Performance: Enabling and Facilitating Roles",https://doi.org/10.1287/isre.2013.0500,,29.98609018,False,en,False,closed,Information Systems Research,https://openalex.org/S202812398,1047-7047,journal,Innovation and Knowledge Management,2013-10-23,2013,article
https://openalex.org/W3122080363,,Gal Oestreicher-Singer|Lior Zalmanson,https://openalex.org/A5079624858|https://openalex.org/A5031505649,https://orcid.org/0000-0002-0165-7464|https://orcid.org/0000-0002-9067-1224,IL|IL,Tel Aviv University|Tel Aviv University,https://openalex.org/I16391192|https://openalex.org/I16391192,True|False,417,https://openalex.org/I16391192,Content or Community? A Digital Business Strategy for Content Providers in the Social Age1,https://doi.org/10.25300/misq/2013/37.2.12,,73.54994927,False,en,False,closed,MIS Quarterly,https://openalex.org/S57293258,0276-7783,journal,Digital Rights Management and Security,2013-06-01,2013,article
https://openalex.org/W2028500278,,Georg von Krogh,https://openalex.org/A5064346361,https://orcid.org/0000-0002-1203-3569,CH,ETH Zurich,https://openalex.org/I35440088,True,414,https://openalex.org/I35440088,How does social software change knowledge management? Toward a strategic research agenda,https://doi.org/10.1016/j.jsis.2012.04.003,,78.95934433,False,en,False,closed,The Journal of Strategic Information Systems,https://openalex.org/S6144335,0963-8687,journal,Open Source Software Innovations,2012-05-25,2012,article
https://openalex.org/W2223198708,,One-Ki Lee|V. Sambamurthy|Kai H. Lim|Kwok‐Kee Wei,https://openalex.org/A5085371578|https://openalex.org/A5061657299|https://openalex.org/A5070756197|https://openalex.org/A5014441644,|https://orcid.org/0000-0002-6600-1706|https://orcid.org/0000-0001-5709-8131|https://orcid.org/0000-0002-5924-606X,US|US|HK|HK,University of Massachusetts Boston|Michigan State University|City University of Hong Kong|City University of Hong Kong,https://openalex.org/I33434090|https://openalex.org/I87216513|https://openalex.org/I168719708|https://openalex.org/I168719708,True|False|False|False,411,https://openalex.org/I33434090,How Does IT Ambidexterity Impact Organizational Agility?,https://doi.org/10.1287/isre.2015.0577,,32.95943532,False,en,False,closed,Information Systems Research,https://openalex.org/S202812398,1047-7047,journal,Innovation and Knowledge Management,2015-06-01,2015,article
https://openalex.org/W2092719789,,Anne Marie Warren|Ainin Sulaiman|Noor Ismawati Jaafar,https://openalex.org/A5047125155|https://openalex.org/A5036015769|https://openalex.org/A5082239536,|https://orcid.org/0000-0002-8989-712X|https://orcid.org/0000-0002-8604-6004,MY|MY|MY,University of Malaya|University of Malaya|University of Malaya,https://openalex.org/I33849332|https://openalex.org/I33849332|https://openalex.org/I33849332,True|False|False,388,https://openalex.org/I33849332,Social media effects on fostering online civic engagement and building citizen trust and trust in institutions,https://doi.org/10.1016/j.giq.2013.11.007,University of Birmingham|Monash University|University of Stirling|Universiti Malaya,32.21756445,False,en,False,closed,Government Information Quarterly,https://openalex.org/S201710173,0740-624X,journal,Social Media and Politics,2014-03-05,2014,article
https://openalex.org/W1804930862,,Juan‐Gabriel Cegarra‐Navarro|Pedro Soto‐Acosta|Anthony Wensley,https://openalex.org/A5012829739|https://openalex.org/A5026950290|https://openalex.org/A5063759518,https://orcid.org/0000-0003-3371-5670|https://orcid.org/0000-0003-4308-9781|https://orcid.org/0000-0002-9724-433X,CA|ES|CA|ES|CA|ES,Universidad Politécnica de Cartagena|University of Toronto|Universidad de Murcia|University of Toronto|Universidad Politécnica de Cartagena|Universidad de Murcia|Universidad Politécnica de Cartagena|Universidad de Murcia|University of Toronto,https://openalex.org/I3123212020|https://openalex.org/I185261750|https://openalex.org/I80180929|https://openalex.org/I185261750|https://openalex.org/I3123212020|https://openalex.org/I80180929|https://openalex.org/I3123212020|https://openalex.org/I80180929|https://openalex.org/I185261750,True|False|False,358,https://openalex.org/I3123212020|https://openalex.org/I185261750|https://openalex.org/I80180929,Structured knowledge processes and firm performance: The role of organizational agility,https://doi.org/10.1016/j.jbusres.2015.10.014,"Ministerio de Educación, Cultura y Deporte",31.58612551,False,en,False,closed,Journal of Business Research,https://openalex.org/S93284759,0148-2963,journal,Innovation and Knowledge Management,2015-10-23,2015,article
https://openalex.org/W2400194500,,Yang Chen|Yi Wang|Saggi Nevo|José Benítez-Amado|Gang Kou,https://openalex.org/A5100350363|https://openalex.org/A5100785191|https://openalex.org/A5055873328|https://openalex.org/A5111830586|https://openalex.org/A5073973267,https://orcid.org/0000-0001-6919-1763|https://orcid.org/0000-0003-1239-5591|https://orcid.org/0000-0002-4195-6733||https://orcid.org/0000-0002-9220-8647,CN|CN|US|ES|CN,"Southwestern University of Finance and Economics|Shantou University|University at Albany, State University of New York|Universidad de Granada|Southwestern University of Finance and Economics",https://openalex.org/I204831749|https://openalex.org/I32574673|https://openalex.org/I392282|https://openalex.org/I173304897|https://openalex.org/I204831749,False|True|False|False|False,335,https://openalex.org/I32574673,IT capabilities and product innovation performance: The roles of corporate entrepreneurship and competitive intensity,https://doi.org/10.1016/j.im.2015.05.003,National Natural Science Foundation of China|European Regional Development Fund,23.84915578,False,en,False,closed,Information & Management,https://openalex.org/S38883057,0378-7206,journal,Innovation Diffusion and Forecasting,2015-06-14,2015,article
https://openalex.org/W2119377292,,Daniel Q. Chen|David Seth Preston|Weidong Xia,https://openalex.org/A5018298510|https://openalex.org/A5104608512|https://openalex.org/A5080939855,||https://orcid.org/0000-0003-3855-0705,US|US|US,Texas Christian University|Texas Christian University|Decision Sciences (United States)|Florida International University,https://openalex.org/I128956969|https://openalex.org/I128956969|https://openalex.org/I4210133369|https://openalex.org/I19700959,True|False|False,290,https://openalex.org/I128956969,Enhancing hospital supply chain performance: A relational view and empirical test,https://doi.org/10.1016/j.jom.2013.07.012,,24.52169692,False,en,False,closed,Journal of Operations Management,https://openalex.org/S142306484,0272-6963,journal,Quality and Supply Management,2013-07-27,2013,article
https://openalex.org/W2082906179,,David Gligor|Mary Holcomb|Theodore P. Stank,https://openalex.org/A5052166610|https://openalex.org/A5109438432|https://openalex.org/A5011162859,https://orcid.org/0000-0003-0819-4754||https://orcid.org/0000-0002-4440-9057,US|US|US,University of Missouri–Kansas City|University of Tennessee at Knoxville|University of Tennessee at Knoxville,https://openalex.org/I75421653|https://openalex.org/I75027704|https://openalex.org/I75027704,True|False|False,287,https://openalex.org/I75421653,A Multidisciplinary Approach to Supply Chain Agility: Conceptualization and Scale Development,https://doi.org/10.1111/jbl.12012,,16.51461221,False,en,False,closed,Journal of Business Logistics,https://openalex.org/S38350834,0735-3766,journal,Quality and Supply Management,2013-06-01,2013,article
