oci,citing,cited,creation,timespan,journal_sc,author_sc
061103131093-061902277680,10.1016/j.infsof.2022.106908,10.1109/seaa.2019.00061,2022-07,P2Y11M,no,yes
061103131093-061103131363,10.1016/j.infsof.2022.106908,10.1016/j.infsof.2020.106366,2022-07,P1Y8M,yes,no
061103131093-0690439834,10.1016/j.infsof.2022.106908,10.1007/bf02919966,2022-07,P24Y1M,no,no
061103131093-06302948538,10.1016/j.infsof.2022.106908,10.1145/2745802.2745818,2022-07,P7Y2M,no,yes
061103131093-0610697277,10.1016/j.infsof.2022.106908,10.1109/mc.2008.85,2022-07,P14Y4M,no,no
061103131093-061203116252,10.1016/j.infsof.2022.106908,10.1016/j.infsof.2016.07.006,2022-07,P5Y8M,yes,no
061103131093-062202687338,10.1016/j.infsof.2022.106908,10.11139/cj.30.1.10-15,2022-07,P9Y5M,no,no
061103131093-061402536040,10.1016/j.infsof.2022.106908,10.1145/2647648.2647649,2022-07,P7Y9M,no,no
061103131093-061102290281,10.1016/j.infsof.2022.106908,10.14236/ewic/ease2009.4,2022-07,P13Y3M,no,no
061103131093-061202921592,10.1016/j.infsof.2022.106908,10.1109/cesi.2013.6618469,2022-07,P9Y2M,no,yes
061103131093-061402926697,10.1016/j.infsof.2022.106908,10.1145/2460999.2461020,2022-07,P9Y,no,no
061103131093-061401031023,10.1016/j.infsof.2022.106908,10.1007/s10664-008-9091-7,2022-07,P13Y7M,no,no
061103131093-061203024558,10.1016/j.infsof.2022.106908,10.1007/978-90-481-9849-8_17,2022-07,P12Y,no,no
061103131093-06902996434,10.1016/j.infsof.2022.106908,10.1145/2372251.2372257,2022-07,P10Y,no,yes
061103131093-06703554673,10.1016/j.infsof.2022.106908,10.1109/csee.1999.755175,2022-07,P23Y,no,no
061103131093-062602508041,10.1016/j.infsof.2022.106908,10.1145/2961111.2962630,2022-07,P5Y9M,no,yes
061103131093-062301965151,10.1016/j.infsof.2022.106908,10.1109/tse.2010.28,2022-07,P11Y10M,no,no
061103131093-062403137702,10.1016/j.infsof.2022.106908,10.1109/cseet.2009.22,2022-07,P13Y,no,no
061103131093-0610926095,10.1016/j.infsof.2022.106908,10.1145/1449603.1449609,2022-07,P13Y8M,no,no
061103131093-0640592846,10.1016/j.infsof.2022.106908,10.1016/j.jss.2013.04.076,2022-07,P8Y9M,no,yes
061103131093-061302323226,10.1016/j.infsof.2022.106908,10.1145/3266237.3266240,2022-07,P4Y,no,no
061103131093-061801206592,10.1016/j.infsof.2022.106908,10.1109/ms.2011.92,2022-07,P10Y4M,no,yes
061103131093-061303108187,10.1016/j.infsof.2022.106908,10.1016/j.infsof.2010.12.010,2022-07,P11Y1M,yes,no
061103131093-061502560483,10.1016/j.infsof.2022.106908,10.1145/2647648.2647656,2022-07,P7Y9M,no,no
061103131093-061801207354,10.1016/j.infsof.2022.106908,10.1109/ms.2006.147,2022-07,P15Y8M,no,yes
061103131093-061702984647,10.1016/j.infsof.2022.106908,10.1109/se.2012.6242350,2022-07,P10Y2M,no,no
061103131093-061802350764,10.1016/j.infsof.2022.106908,10.1109/esem.2017.30,2022-07,P4Y8M,no,yes
061103131093-061403193360,10.1016/j.infsof.2022.106908,10.1109/itng.2009.134,2022-07,P13Y,no,no
061103131093-061601042333,10.1016/j.infsof.2022.106908,10.1007/s10664-008-9060-1,2022-07,P14Y5M,no,no
061103131093-06501938952,10.1016/j.infsof.2022.106908,10.1145/2915970.2916006,2022-07,P6Y1M,no,yes
061103131093-061401030991,10.1016/j.infsof.2022.106908,10.1007/s10664-010-9134-8,2022-07,P12Y0M,no,no
061103131093-06702962459,10.1016/j.infsof.2022.106908,10.1145/2601248.2601268,2022-07,P8Y,no,yes
