title,abstract,authors,year,venue,journal,url,isOpenAccess,openAccessPdf,citationCount,referenceCount,isInfluential,publicationTypes,fieldsOfStudy,externalIds,influentialCitationCount,authors_names,publicationTypes_str,externalIds_str
Guidelines for the Search Strategy to Update Systematic Literature Reviews in Software Engineering,"Abstract Context Systematic Literature Reviews (SLRs) have been adopted within Software Engineering (SE) for more than a decade to provide meaningful summaries of evidence on several topics. Many of these SLRs are now potentially not fully up-to-date, and there are no standard proposals on how to update SLRs in SE. Objective The objective of this paper is to propose guidelines on how to best search for evidence when updating SLRs in SE, and to evaluate these guidelines using an SLR that was not employed during the formulation of the guidelines. Method To propose our guidelines, we compare and discuss outcomes from applying different search strategies to identify primary studies in a published SLR, an SLR update, and two replications in the area of effort estimation. These guidelines are then evaluated using an SLR in the area of software ecosystems, its update and a replication. Results The use of a single iteration forward snowballing with Google Scholar, and employing as a seed set the original SLR and its primary studies is the most cost-effective way to search for new evidence when updating SLRs. Furthermore, the importance of having more than one researcher involved in the selection of papers when applying the inclusion and exclusion criteria is highlighted through the results. Conclusions Our proposed guidelines formulated based upon an effort estimation SLR, its update and two replications, were supported when using an SLR in the area of software ecosystems, its update and a replication. Therefore, we put forward that our guidelines ought to be adopted for updating SLRs in SE.","[{'authorId': '1714524', 'name': 'C. Wohlin'}, {'authorId': '144414111', 'name': 'E. Mendes'}, {'authorId': '1757650', 'name': 'K. Felizardo'}, {'authorId': '143722532', 'name': 'Marcos Kalinowski'}]",2020.0,Information and Software Technology,"{'volume': '127', 'pages': '106366', 'name': 'Inf. Softw. Technol.'}",https://www.semanticscholar.org/paper/88d81fba50ecc372f39c5c0811b3a6e5f2972abc,True,"{'url': 'https://doi.org/10.1016/j.infsof.2020.106366', 'status': 'HYBRID', 'license': 'CCBYNCND', 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2006.05542, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",139,63,,"['JournalArticle', 'Review']",['Computer Science'],"{'ArXiv': '2006.05542', 'DBLP': 'journals/corr/abs-2006-05542', 'MAG': '3034832379', 'DOI': '10.1016/j.infsof.2020.106366', 'CorpusId': 208211463}",9,"C. Wohlin, E. Mendes, K. Felizardo, Marcos Kalinowski","JournalArticle, Review","ArXiv:2006.05542, DBLP:journals/corr/abs-2006-05542, MAG:3034832379, DOI:10.1016/j.infsof.2020.106366, CorpusId:208211463"
On the Performance of Hybrid Search Strategies for Systematic Literature Reviews in Software Engineering,"Abstract Context When conducting a Systematic Literature Review (SLR), researchers usually face the challenge of designing a search strategy that appropriately balances result quality and review effort. Using digital library (or database) searches or snowballing alone may not be enough to achieve high-quality results. On the other hand, using both digital library searches and snowballing together may increase the overall review effort. Objective The goal of this research is to propose and evaluate hybrid search strategies that selectively combine database searches with snowballing. Method We propose four hybrid search strategies combining database searches in digital libraries with iterative, parallel, or sequential backward and forward snowballing. We simulated the strategies over three existing SLRs in SE that adopted both database searches and snowballing. We compared the outcome of digital library searches, snowballing, and hybrid strategies using precision, recall, and F-measure to investigate the performance of each strategy. Results Our results show that, for the analyzed SLRs, combining database searches from the Scopus digital library with parallel or sequential snowballing achieved the most appropriate balance of precision and recall. Conclusion We put forward that, depending on the goals of the SLR and the available resources, using a hybrid search strategy involving a representative digital library and parallel or sequential snowballing tends to represent an appropriate alternative to be used when searching for evidence in SLRs.","[{'authorId': '23636850', 'name': 'Érica Mourão'}, {'authorId': '2118685', 'name': 'J. F. Pimentel'}, {'authorId': '2205046', 'name': 'Leonardo Gresta Paulino Murta'}, {'authorId': '143722532', 'name': 'Marcos Kalinowski'}, {'authorId': '144414111', 'name': 'E. Mendes'}, {'authorId': '1714524', 'name': 'C. Wohlin'}]",2020.0,Information and Software Technology,"{'volume': '123', 'pages': '106294', 'name': 'Inf. Softw. Technol.'}",https://www.semanticscholar.org/paper/93b2eb72708e05d26c47cf3eda7081ae565ffd44,True,"{'url': 'https://arxiv.org/pdf/2004.09741', 'status': 'GREEN', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2004.09741, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",167,29,,"['JournalArticle', 'Review']",['Computer Science'],"{'DBLP': 'journals/infsof/MouraoPMKMW20', 'ArXiv': '2004.09741', 'MAG': '3010782494', 'DOI': '10.1016/j.infsof.2020.106294', 'CorpusId': 215908486}",7,"Érica Mourão, J. F. Pimentel, Leonardo Gresta Paulino Murta, Marcos Kalinowski, E. Mendes, C. Wohlin","JournalArticle, Review","DBLP:journals/infsof/MouraoPMKMW20, ArXiv:2004.09741, MAG:3010782494, DOI:10.1016/j.infsof.2020.106294, CorpusId:215908486"
Evaluating strategies for forward snowballing application to support secondary studies updates: emergent results,,"[{'authorId': '1757650', 'name': 'K. Felizardo'}, {'authorId': '2342969286', 'name': 'A. G. D. Silva'}, {'authorId': '23181320', 'name': 'É. Souza'}, {'authorId': '1703620', 'name': 'N. Vijaykumar'}, {'authorId': '9092315', 'name': 'E. Nakagawa'}]",2018.0,Brazilian Symposium on Software Engineering,{'name': 'Proceedings of the XXXII Brazilian Symposium on Software Engineering'},https://www.semanticscholar.org/paper/6a37b9fdfd6ce460404d32fcf785a5398c259856,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/3266237.3266240?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3266237.3266240, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",13,16,,"['JournalArticle', 'Book', 'Review']",['Computer Science'],"{'MAG': '2890983471', 'DBLP': 'conf/sbes/FelizardoSSVN18', 'DOI': '10.1145/3266237.3266240', 'CorpusId': 52183705}",0,"K. Felizardo, A. G. D. Silva, É. Souza, N. Vijaykumar, E. Nakagawa","JournalArticle, Book, Review","MAG:2890983471, DBLP:conf/sbes/FelizardoSSVN18, DOI:10.1145/3266237.3266240, CorpusId:52183705"
Investigating the Use of a Hybrid Search Strategy for Systematic Reviews,,"[{'authorId': '23636850', 'name': 'Érica Mourão'}, {'authorId': '143722532', 'name': 'Marcos Kalinowski'}, {'authorId': '2205046', 'name': 'Leonardo Gresta Paulino Murta'}, {'authorId': '144414111', 'name': 'E. Mendes'}, {'authorId': '1714524', 'name': 'C. Wohlin'}]",2017.0,International Symposium on Empirical Software Engineering and Measurement,"{'pages': '193-198', 'name': '2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)'}",https://www.semanticscholar.org/paper/44e481ad95fe48af5fc54b0471ec48400ab33f39,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ESEM.2017.30?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ESEM.2017.30, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",52,20,,"['JournalArticle', 'Review']",['Computer Science'],"{'MAG': '2775303056', 'DBLP': 'conf/esem/MouraoKMMW17', 'DOI': '10.1109/ESEM.2017.30', 'CorpusId': 4702028}",5,"Érica Mourão, Marcos Kalinowski, Leonardo Gresta Paulino Murta, E. Mendes, C. Wohlin","JournalArticle, Review","MAG:2775303056, DBLP:conf/esem/MouraoKMMW17, DOI:10.1109/ESEM.2017.30, CorpusId:4702028"
Challenges and best practices in industry-academia collaborations in software engineering: A systematic literature review,,"[{'authorId': '1761511', 'name': 'V. Garousi'}, {'authorId': '1737649', 'name': 'K. Petersen'}, {'authorId': '153469005', 'name': 'B. Ozkan'}]",2016.0,Information and Software Technology,"{'volume': '79', 'pages': '106-127', 'name': 'Inf. Softw. Technol.'}",https://www.semanticscholar.org/paper/4409464a4a08f9f2d44253b7dd631f8619f2871e,True,"{'url': 'https://pure.tue.nl/ws/files/93075532/ChallengesandbestPracticesinIAColloborationsinSE.pdf', 'status': 'GREEN', 'license': 'other-oa', 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1016/J.INFSOF.2016.07.006?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/J.INFSOF.2016.07.006, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",221,80,,"['JournalArticle', 'Review']","['Computer Science', 'Engineering']","{'DBLP': 'journals/infsof/GarousiPO16', 'MAG': '2494902551', 'DOI': '10.1016/J.INFSOF.2016.07.006', 'CorpusId': 29012577}",17,"V. Garousi, K. Petersen, B. Ozkan","JournalArticle, Review","DBLP:journals/infsof/GarousiPO16, MAG:2494902551, DOI:10.1016/J.INFSOF.2016.07.006, CorpusId:29012577"
Using Forward Snowballing to update Systematic Reviews in Software Engineering,,"[{'authorId': '1757650', 'name': 'K. Felizardo'}, {'authorId': '144414111', 'name': 'E. Mendes'}, {'authorId': '143722532', 'name': 'Marcos Kalinowski'}, {'authorId': '23181320', 'name': 'É. Souza'}, {'authorId': '1703620', 'name': 'N. Vijaykumar'}]",2016.0,International Symposium on Empirical Software Engineering and Measurement,{'name': 'Proceedings of the 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement'},https://www.semanticscholar.org/paper/6765432fbf8b462b31c3b956b62e12c95ed41895,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/2961111.2962630?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/2961111.2962630, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",115,35,,"['JournalArticle', 'Book', 'Review']",['Computer Science'],"{'DBLP': 'conf/esem/FelizardoMKSV16', 'MAG': '2522451690', 'DOI': '10.1145/2961111.2962630', 'CorpusId': 5909651}",6,"K. Felizardo, E. Mendes, Marcos Kalinowski, É. Souza, N. Vijaykumar","JournalArticle, Book, Review","DBLP:conf/esem/FelizardoMKSV16, MAG:2522451690, DOI:10.1145/2961111.2962630, CorpusId:5909651"
Second-generation systematic literature studies using snowballing,,"[{'authorId': '1714524', 'name': 'C. Wohlin'}]",2016.0,International Conference on Evaluation & Assessment in Software Engineering,{'name': 'Proceedings of the 20th International Conference on Evaluation and Assessment in Software Engineering'},https://www.semanticscholar.org/paper/408343e204fec6e8cba67c6712aa4057124d0d1c,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/2915970.2916006?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/2915970.2916006, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",66,43,,"['JournalArticle', 'Book']",['Computer Science'],"{'MAG': '2404140835', 'DBLP': 'conf/ease/Wohlin16', 'DOI': '10.1145/2915970.2916006', 'CorpusId': 15000771}",6,C. Wohlin,"JournalArticle, Book","MAG:2404140835, DBLP:conf/ease/Wohlin16, DOI:10.1145/2915970.2916006, CorpusId:15000771"
Experiences from using snowballing and database searches in systematic literature studies,,"[{'authorId': '2829911', 'name': 'Deepika Badampudi'}, {'authorId': '1714524', 'name': 'C. Wohlin'}, {'authorId': '1737649', 'name': 'K. Petersen'}]",2015.0,International Conference on Evaluation & Assessment in Software Engineering,{'name': 'Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering'},https://www.semanticscholar.org/paper/c457aad7152b060d1444a4c2a796d9f73c3fbb5d,True,"{'url': 'https://bth.diva-portal.org/smash/get/diva2:891278/FULLTEXT01', 'status': 'GREEN', 'license': 'other-oa', 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/2745802.2745818?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/2745802.2745818, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",242,14,,"['Book', 'JournalArticle', 'Review']",['Computer Science'],"{'MAG': '2014079492', 'DBLP': 'conf/ease/BadampudiWP15', 'DOI': '10.1145/2745802.2745818', 'CorpusId': 15956086}",5,"Deepika Badampudi, C. Wohlin, K. Petersen","Book, JournalArticle, Review","MAG:2014079492, DBLP:conf/ease/BadampudiWP15, DOI:10.1145/2745802.2745818, CorpusId:15956086"
Embedding research in the industrial field: a case of a transition to a software product line,,"[{'authorId': '40290583', 'name': 'W. Raschke'}, {'authorId': '40062033', 'name': 'Massimiliano Zilli'}, {'authorId': '1678480', 'name': 'Johannes Loinig'}, {'authorId': '31710685', 'name': 'R. Weiss'}, {'authorId': '145552773', 'name': 'C. Steger'}, {'authorId': '1721694', 'name': 'C. Kreiner'}]",2014.0,WISE@ASE,{'name': 'Proceedings of the 2014 international workshop on Long-term industrial collaboration on software engineering'},https://www.semanticscholar.org/paper/6a21661fd8c2d985b3cdc9fda3e4f7c2a727d117,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/2647648.2647649?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/2647648.2647649, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",5,9,,"['JournalArticle', 'Book']",['Computer Science'],"{'MAG': '2080303511', 'DBLP': 'conf/kbse/RaschkeZLWSK14', 'DOI': '10.1145/2647648.2647649', 'CorpusId': 2276721}",2,"W. Raschke, Massimiliano Zilli, Johannes Loinig, R. Weiss, C. Steger, C. Kreiner","JournalArticle, Book","MAG:2080303511, DBLP:conf/kbse/RaschkeZLWSK14, DOI:10.1145/2647648.2647649, CorpusId:2276721"
Action research as a model for industry-academia collaboration in the software engineering context,,"[{'authorId': '1737649', 'name': 'K. Petersen'}, {'authorId': '2592868', 'name': 'Çigdem Gencel'}, {'authorId': '2095870222', 'name': 'Negin Asghari'}, {'authorId': '145007028', 'name': 'D. Baca'}, {'authorId': '1948432', 'name': 'Stefanie Betz'}]",2014.0,WISE@ASE,{'name': 'Proceedings of the 2014 international workshop on Long-term industrial collaboration on software engineering'},https://www.semanticscholar.org/paper/62ca6a531ec48338f7fbf9874224d371f5f85f47,True,"{'url': 'https://bth.diva-portal.org/smash/get/diva2:834002/FULLTEXT01', 'status': 'GREEN', 'license': 'other-oa', 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1145/2647648.2647656?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/2647648.2647656, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",72,39,,"['JournalArticle', 'Book']",['Computer Science'],"{'DBLP': 'conf/kbse/PetersenGABB14', 'MAG': '2059149317', 'DOI': '10.1145/2647648.2647656', 'CorpusId': 15288574}",12,"K. Petersen, Çigdem Gencel, Negin Asghari, D. Baca, Stefanie Betz","JournalArticle, Book","DBLP:conf/kbse/PetersenGABB14, MAG:2059149317, DOI:10.1145/2647648.2647656, CorpusId:15288574"
