DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),Requirements engineering and industrial uptake,"Philip Morris, M. Masera, M. Wilikens",IEEE International Requirements Engineering Conference,1998,(missing abstract),280508432,51,16,(missing PubMedId)
(missing DOI),On the Performance of Hybrid Search Strategies for Systematic Literature Reviews in Software Engineering,"Érica Mourão, J. F. Pimentel, Leonardo Gresta Paulino Murta, Marcos Kalinowski, E. Mendes, C. Wohlin",Information and Software Technology,2020,(missing abstract),279592972,194,31,(missing PubMedId)
(missing DOI),Bridging the Research-Practice Gap in Requirements Engineering through Effective Teaching and Peer Learning,"A. Connor, Jim Buchan, K. Petrova",2009 Sixth International Conference on Information Technology: New Generations,2009,"In this paper, we introduce the concept of the research-practice gap as it is perceived in the field of software requirements engineering. An analysis of this gap has shown that two key causes for the research-practice gap are lack of effective communication and the relatively light coverage of requirements engineering material in University programmes. We discuss the design and delivery of a Masters course in Software Requirements Engineering (SRE) that is designed to overcome some of the issues that have caused the research-practice gap. By encouraging students to share their experiences in a peer learning environment, we aim to improve shared understanding between students (many of whom are current industry practitioners) and researchers (including academic staff members) to improve the potential for effective collaborations, whilst simultaneously developing the requirements engineering skill sets of the enrolled students. Feedback from students in the course is discussed and directions for the future development of the curriculum and learning strategies are given.",279416875,51,57,(missing PubMedId)
(missing DOI),On the Performance of Hybrid Search Strategies for Systematic Literature Reviews in Software Engineering,"Érica Mourão, J. F. Pimentel, Leonardo Gresta Paulino Murta, Marcos Kalinowski, E. Mendes, C. Wohlin",Information and Software Technology,2020,(missing abstract),279249271,194,31,(missing PubMedId)
(missing DOI),Challenges and best practices in industry-academia collaborations in software engineering: A systematic literature review,"V. Garousi, K. Petersen, Barış Özkan",Information and Software Technology,2016,(missing abstract),276788080,255,90,(missing PubMedId)
(missing DOI),Guidelines for the Search Strategy to Update Systematic Literature Reviews in Software Engineering,"C. Wohlin, E. Mendes, K. Felizardo, Marcos Kalinowski",Information and Software Technology,2020,(missing abstract),276164446,158,66,(missing PubMedId)
(missing DOI),Challenges and best practices in industry-academia collaborations in software engineering,"Vahid Garousi, Kai Petersen, Baris Ozkan",Information & Software Technology,2016,(missing abstract),261209676,269,95,(missing PubMedId)
(missing DOI),How Reliable Are Systematic Reviews in Empirical Software Engineering?,"Stephen G. MacDonell, M. Shepperd, B. Kitchenham, E. Mendes",IEEE Transactions on Software Engineering,2010,"BACKGROUND-The systematic review is becoming a more commonly employed research instrument in empirical software engineering. Before undue reliance is placed on the outcomes of such reviews it would seem useful to consider the robustness of the approach in this particular research context. OBJECTIVE-The aim of this study is to assess the reliability of systematic reviews as a research instrument. In particular, we wish to investigate the consistency of process and the stability of outcomes. METHOD-We compare the results of two independent reviews undertaken with a common research question. RESULTS-The two reviews find similar answers to the research question, although the means of arriving at those answers vary. CONCLUSIONS-In addressing a well-bounded research question, groups of researchers with similar domain experience can arrive at the same review outcomes, even though they may do so in different ways. This provides evidence that, in this context at least, the systematic review is a robust research method.",261018885,129,29,(missing PubMedId)
(missing DOI),"Impact of research on practice in the field of inspections, reviews and walkthroughs: learning from successful industrial uses","H. D. Rombach, M. Ciolkowski, D. R. Jeffery, O. Laitenberger, F. McGarry, F. Shull",SOEN,2008,"Software inspections, reviews, and walkthroughs have become a standard process component in many software development domains. Maturity level 3 of the CMM-I requires establishment of peer reviews [12] and substantial sustained improvements in quality and productivity have been reported as a result of using reviews ([16], [21], [22], [27]). The NSF Impact project identifies the degree to which these industrial success cases have been instigated and improved by research in software engineering.
 This research identifies that there is widespread adoption of inspections, reviews or walkthroughs but that companies do not generally exploit their full potential. However there exist sustained industrial success cases with respect to the wide-spread and measurably successful application of them. It also identifies research in software engineering that can be credibly documented as having influenced the industrial success cases. Credible documentation may exist in the form of publications or documented reports by witnesses. Due to the semi-formal nature of inspections, reviews, and walkthroughs, a specific focus is given to empirical research results as motivators for adoption. Through the examination of one detailed case study, it is shown that software engineering research has had a significant impact on practice and that the impact can be traced in this case from research to that practice. The case study chosen provides evidence of both success and failure regarding sustained application in practice.
 Thus the analysis of historic impact chains of research reveals a clear impact of software engineering research on sustained industrial success for inspections, reviews and walkthroughs. More importantly, in impact chains where the empirical results have not been established, we conclude that success has not been achieved or has not been sustained.
 The paper closes with (1) lessons learned for creating the sustained use and impact of semi-formal software engineering processes, (2) a request for researchers and practitioners to further consider how their work can improve the effectiveness of research and practice, and (3) a request to contribute additional success cases and impact factors to the authors database for future enhancements of this paper.",260862113,42,41,(missing PubMedId)
(missing DOI),The role of replications in Empirical Software Engineering,"Forrest Shull, Jeffrey C. Carver, Sira Vegas, Natalia Juristo",Empirical Software Engineering,2008,"Replications play a key role in Empirical Software Engineering by allowing the community to build knowledge about which results or observations hold under which conditions. Therefore, not only can a replication that produces similar results as the original experiment be viewed as successful, but a replication that produce results different from those of the original experiment can also be viewed as successful. In this paper we identify two types of replications: exact replications, in which the procedures of an experiment are followed as closely as possible; and conceptual replications, in which the same research question is evaluated by using a different experimental procedure. The focus of this paper is on exact replications. We further explore them to identify two sub-categories: dependent replications, where researchers attempt to keep all the conditions of the experiment the same or very similar and independent replications, where researchers deliberately vary one or more major aspects of the conditions of the experiment. We then discuss the role played by each type of replication in terms of its goals, benefits, and limitations. Finally, we highlight the importance of producing adequate documentation for an experiment (original or replication) to allow for replication. A properly documented replication provides the details necessary to gain a sufficient understanding of the study being replicated without requiring the replicator to slavishly follow the given procedures.",223847534,405,9,(missing PubMedId)
(missing DOI),Refining the systematic literature review process—two participant-observer case studies,"Barbara Kitchenham, Pearl Brereton, Mark Turner, Mahmood Niazi, Stephen Linkman, Rialette Pretorius, David Budgen",Empirical Software Engineering,2010,"Systematic literature reviews (SLRs) are a major tool for supporting evidence-based software engineering. Adapting the procedures involved in such a review to meet the needs of software engineering and its literature remains an ongoing process. As part of this process of refinement, we undertook two case studies which aimed 1) to compare the use of targeted manual searches with broad automated searches and 2) to compare different methods of reaching a consensus on quality. For Case 1, we compared a tertiary study of systematic literature reviews published between January 1, 2004 and June 30, 2007 which used a manual search of selected journals and conferences and a replication of that study based on a broad automated search. We found that broad automated searches find more studies than manual restricted searches, but they may be of poor quality. Researchers undertaking SLRs may be justified in using targeted manual searches if they intend to omit low quality papers, or they are assessing research trends in research methodologies. For Case 2, we analyzed the process used to evaluate the quality of SLRs. We conclude that if quality evaluation of primary studies is a critical component of a specific SLR, assessments should be based on three independent evaluators incorporating at least two rounds of discussion.",220516847,157,90,(missing PubMedId)
