DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.5555/1558740.1558745,A knowledge management practice investigation in Romanian software development organizations,IulianaScorta,WSEAS Transactions on Computers archive,2009,"Knowledge plays an increasingly larger role in organizations and many consider it the most important factor of production in a knowledge economy. Knowledge is dynamic and evolves with technology, o...",53171324,1,0,,
10.1007/978-3-662-05129-0,Managing Software Engineering Knowledge,"Aybueke Aurum, Jeffery Ross, Wohlin Claes, Meliha Handzic",Springer eBooks,2003,1 Why Is It Important to Manage Knowledge?.- 1 Managing Software Engineers and Their Knowledge.- 2 An Investigation into Software Development Process Knowledge.- 3 Usage of Intranet Tools for Knowledge Management in a Medium-Sized Software Consulting Company.- 2 Supporting Structures for Managing Software Engineering Knowledge.- 4 Knowledge Management for Software Organizations.- 5 A Dynamic Model of Software Engineering Knowledge Creation.- 6 Evaluating an Approach to Sharing Software Engineering Knowledge to Facilitate Learning.- 7 Eliciting and Maintaining Knowledge for Requirements Evolution.- 8 Emergent Knowledge in Web Development.- 3 Application of Knowledge Management in Software Engineering.- 9 Case-Based Reasoning and Software Engineering.- 10 A Process for Identifying Relevant Information for a Repository: A Case Study for Testing Techniques.- 11 A Knowledge Management Framework to Support Software Inspection Planning.- 12 Lessons Learned in Software Quality Assurance.- 13 Making Software Engineering Competence Development Sustained through Systematic Experience Management.- 4 Practical Guidelines for Managing Software Engineering Knowledge.- 14 Practical Guidelines for Learning-Based Software Product Development.- 15 In-Project Learning by Goal-oriented Measurement.- 16 e-R&D: Effectively Managing and Using R&D Knowledge.- 17 Knowledge Infrastructure for Project Management.,217930573,200,0,,
10.1016/j.tele.2017.09.007,Toward software quality enhancement by Customer Knowledge Management in software companies,"Arash Khosravi, Ab Razak Che Hussin, Mehrbakhsh Nilashi",Telematics and Informatics,2018,(missing abstract),99709383,28,77,,
10.1016/j.infsof.2007.05.005,Investigating Knowledge Management practices in software development organisations - An Australian experience,"Aybüke Aurum, Farhad Daneshgar, James Ward",Information & Software Technology,2008,(missing abstract),32346755,223,82,,
10.1109/chase.2015.27,Knowledge Management and Organizational Culture in a Software Organization -- A Case Study,"J. Rabelo, E. Oliveira, Davi Viana, Luís Braga, Gleison dos Santos Souza, Igor Steinmacher, T. Conte",2015 IEEE/ACM 8th International Workshop on Cooperative and Human Aspects of Software Engineering,2015,"Software development activities are usually knowledge intensive. Knowledge management is essential to foster improvements and innovation on software development processes. Organizational Culture (OC) is a key factor that impacts the success of knowledge management, since it influences the way employees learn and share knowledge in the organization. The Competing Values Framework (CVF) was proposed to support the definition of organization's cultural outline. CVF aims to diagnose and facilitate Organizational Culture changes. Previous researches presented a theoretical model to correlate knowledge management to the CVF. However, the existing literature does not present evidences of this correlation. The goal of this work is to identify whether this correlation exists or not in the context of a software organization by means of a case study. We performed a comparison between the values obtained and those presented in the theoretical model. The comparison output enabled us to verify that the case study results diverged from the theoretical ones. Therefore, it was not possible to observe the theoretical model's propositions on the investigated software development organization.",135140825,11,17,,
10.1016/0024-6301(96)81509-3,The Knowledge-Creating Company: How,"I. Nonaka, H. Takeuchi",(missing journal),1995,(missing abstract),276105713,14725,0,,
10.1109/agile.2012.17,Knowledge Management in Distributed Agile Software Development,"S. Dorairaj, J. Noble, Petra Malik",2012 Agile Conference,2012,"Software development teams need highly valuable knowledge to carry out knowledge-intensive development activities. Agile teams are cross-functional teams that promote sharing of project-specific knowledge through frequent faceto-face interaction, effective communication and customer collaboration. Knowledge sharing is difficult for distributed Agile teams due to spatial, temporal, and cultural barriers, which negatively affect face-to-face interaction, communication and collaboration. There seems to be very few studies that focus on knowledge management in distributed Agile teams. Through a Grounded Theory study that involved 45 participants from 28 different software companies in the USA, India and Australia, we investigate distributed software development from the specific perspective of Agile teams. In this paper, we describe how Agile teams gather, store, share and use knowledge in distributed software development.",56278303,76,93,,
10.1142/s0218194012500027,Practice Selection Framework,"Martin Ivarsson, T. Gorschek",Int. J. Softw. Eng. Knowl. Eng.,2012,"Knowledge management (KM) in software engineering and software process improvement (SPI) are challenging. Most existing KM and SPI frameworks are too expensive to deploy or do not take an organization's specific needs or knowledge into consideration. There is thus a need for scalable improvement approaches that leverage knowledge already residing in the organizations. This paper presents the Practice Selection Framework (PSF), an Experience Factory approach, enabling lightweight experience capture and use by utilizing postmortem reviews. Experiences gathered concern performance and applicability of practices used in the organization, gained from concluded projects. Project managers use these as decision support for selecting practices to use in future projects, enabling explicit knowledge transfer across projects and the development organization as a whole. Process managers use the experiences to determine if there is potential for improvement of practices used in the organization. This framework was developed and subsequently validated in industry to get feedback on usability and usefulness from practitioners. The validation consisted of tailoring and testing the framework using real data from the organization and comparing it to current practices used in the organization to ensure that the approach meets industry needs. The results from the validation are encouraging and the participants' assessment of PSF and particularly the tailoring developed was positive.",50038940,8,63,,
10.1016/j.infsof.2014.05.016,Knowledge management initiatives in software testing: A mapping study,"Érica Ferreira de Souza, Ricardo de Almeida Falbo, Nandamudi Lankalapalli Vijaykumar",Information & Software Technology,2015,(missing abstract),27204828,70,76,,
10.1108/01435129910285136,The KMAT: benchmarking knowledge management,M. Jager,(missing journal),1999,"The knowledge management assessment tool (KMAT) is designed to help organisations make an initial high‐level assessment of how well they manage knowledge. Completing the KMAT can direct organisations toward areas that require more attention, as well as identify knowledge management practices in which they excel. The KMAT proposes ways that four enablers (leadership, culture, technology and measurement) can be used to foster the development of organisational knowledge through the knowledge management process. This process embraces the steps that the organisation takes to identify the information it needs and the manner in which it collects, adapts and transfers that information across the organisation. The model places all the major knowledge management activities and enablers together in a dynamic system. Describes how organisations can have their performance rated and benchmarked with those of other organisations for each of 24 practices.",95988419,95,3,,
10.4324/9780080547367,Knowledge Management in Theory and Practice,Kimiz Dalkir,Routledge eBooks,2013,"The ability to manage knowledge has become increasingly important in today's knowledge economy. Knowledge is considered a valuable commodity, embedded in products and in the tacit knowledge of highly mobile individual employees. Knowledge management (KM) represents a deliberate and systematic approach to cultivating and sharing an organization's knowledge base. It is a highly multidisciplinary field that encompasses both information technology and intellectual capital. This textbook and professional reference offers a comprehensive overview of the field of KM, providing both a substantive theoretical grounding and a pragmatic approach to applying key concepts. Drawing on ideas, tools, and techniques from such disciplines as sociology, cognitive science, organizational behavior, and information science, the text describes KM theory and practice at the individual, community, and organizational levels. It offers illuminating case studies and vignettes from companies including IBM, Xerox, British Telecommunications, JP Morgan Chase, and Nokia. This second edition has been updated and revised throughout. New material has been added on the information and library science perspectives, taxonomies and knowledge classification, the media richness of the knowledge-sharing channel, e-learning, social networking in KM contexts, strategy tools, results-based outcome assessments, knowledge continuity and organizational learning models, KM job descriptions, copyleft and Creative Commons, and other topics. New case studies and vignettes have been added; and the references and glossary have been updated and expanded.",180014993,1862,326,,
10.1109/mis.2001.912381,Guest Editors' Introduction: Knowledge Management - An Interdisciplinary Approach,"D. O’Leary, R. Studer",IEEE Intell. Syst.,2001,"The Dagstuhl seminar On 10–14 July 2000, a knowledge management seminar took place in Schloss Dagstuhl, Germany (see http://dagstuhl-km-2000.aifb.uni-karlsruhe.de for the collected presentations). The seminar brought together people from industry and academics with heterogeneous backgrounds, including computer science, information systems, management sciences, and psychology. Although knowledge management is a young, quickly evolving discipline, the seminar participants reached a consensus on several issues:",264559631,43,2,,
