Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"FF Ismail, R Razali","A qualitative empirical investigation of hidden cost for software testing outsourcing projects",2024,"International Journal of Productivity …","inderscienceonline.com","https://www.inderscienceonline.com/doi/abs/10.1504/IJPQM.2024.140629","",10,"2026-01-15 11:49:57","","10.1504/IJPQM.2024.140629","","",,,,,0,0.00,0,2,2,"The main concern of involving organisations in an outsourced project is not only getting the job done, but also the job needing to be completed with the desired quality within the …","","https://scholar.google.com/scholar?q=related:Qc_fR3lyPKgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"YC Chiang, YC Chiang","Understanding mobile operators' capabilities within convergence processes–a case study of",2008,"","repository.tudelft.nl","https://repository.tudelft.nl/file/File_dbbbf2ab-eae3-4648-8d36-205dd62b375d","",23,"2026-01-15 11:49:57","PDF","","","",,,,,0,0.00,0,2,18,"The concept of convergence has been actively used in telecommunications, IT, media and various other industries since the 1980s and 1990s. Currently, convergence is widely used …","https://repository.tudelft.nl/file/File_dbbbf2ab-eae3-4648-8d36-205dd62b375d","https://scholar.google.com/scholar?q=related:xhfdT4TOoDEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"N Vainio","Testauspolitiikan kehittäminen alihankintaprojekteihin",,"trepo.tuni.fi","","https://trepo.tuni.fi/bitstream/handle/123456789/24802/Vainio.pdf?sequence=4","",24,"2026-01-15 11:49:57","PDF","","","",,,,,0,0.00,0,1,,"Companies undertaking subcontracting projects have great diversity in projects. Thus, testing requirements and practices differ a lot. However, especially in the sales phase the …","https://trepo.tuni.fi/bitstream/handle/123456789/24802/Vainio.pdf?sequence=4","https://scholar.google.com/scholar?q=related:wPfxD756VscJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"GMT ALVES","Automatização de testes em equipes ágeis: um estudo qualitativo usando teoria fundamentada.",2017,"","Universidade Federal de Campina …","","https://scholar.google.com/scholar?cites=4141072921195761230&as_sdt=2005&sciodt=0,5&hl=en",22,"2026-01-15 11:49:57","CITATION","","","",,,,,1,0.11,1,1,9,"","https://dspace.sti.ufcg.edu.br/bitstream/riufcg/1384/3/GABRIELLA%20MAYARA%20TAVARES%20ALVES%20-%20DISSERTA%C3%87%C3%83O%20%28PPGCC%29%202017.pdf","https://scholar.google.com/scholar?q=related:Ts7cqOELeDkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"T Garrepalli","Knowledge Management in software testing",2015,"","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:869051","https://scholar.google.com/scholar?cites=15581790248248607548&as_sdt=2005&sciodt=0,5&hl=en",20,"2026-01-15 11:49:57","HTML","","","",,,,,2,0.18,2,1,11,"Knowledge Management in Software Testing diva-portal.org Digitala Vetenskapliga Arkivet Simple search Advanced search - Research publicationsAdvanced search - Student theses …","https://www.diva-portal.org/smash/record.jsf?pid=diva2:869051","https://scholar.google.com/scholar?q=related:PAOBx6yjPdgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"L Fernández-Sanz, MT Villalba","Multivariate analysis of factors with a negative influence in software testing practices in Spain",2009,"Actas de los Talleres de las …","researchgate.net","https://www.researchgate.net/profile/M_Teresa_Villalba/publication/233777237_Multivariate_analysis_of_factors_with_a_negative_influence_in_software_testing_practices_in_Spain/links/5810e9e908aee15d4914fb58/Multivariate-analysis-of-factors-with-a-negative-influence-in-software-testing-practices-in-Spain.pdf","https://scholar.google.com/scholar?cites=17315636948455930185&as_sdt=2005&sciodt=0,5&hl=en",21,"2026-01-15 11:49:57","PDF","","","",,,,,2,0.12,1,2,17,"Software testing is the commonest technique for software quality assurance. It is present in every development project and concentrates a large percentage of effort; there are still not …","https://www.researchgate.net/profile/M_Teresa_Villalba/publication/233777237_Multivariate_analysis_of_factors_with_a_negative_influence_in_software_testing_practices_in_Spain/links/5810e9e908aee15d4914fb58/Multivariate-analysis-of-factors-with-a-negative-influence-in-software-testing-practices-in-Spain.pdf","https://scholar.google.com/scholar?q=related:STlY_A-ATfAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"FF Ismail, R Razali","A Framework for Managing Software Testing Outsourcing Projects",2017,"Journal of Telecommunication, Electronic …","jtec.utem.edu.my","https://jtec.utem.edu.my/jtec/article/view/2915","https://scholar.google.com/scholar?cites=7415120930872859040&as_sdt=2005&sciodt=0,5&hl=en",17,"2026-01-15 11:49:57","","","","",,,,,4,0.44,2,2,9,"Software testing aims to ensure that the software produced is reliable and able to function correctly. In order to do so, the testing execution requires experts and technology that might …","https://jtec.utem.edu.my/jtec/article/download/2915/2082","https://scholar.google.com/scholar?q=related:oJk9GzPN52YJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"RV Baddoo, TMR Messnarz","Software Process Improvement",2009,"Dublin: Editorial Springer","Springer","https://link.springer.com/content/pdf/10.1007/978-3-642-04133-4.pdf","https://scholar.google.com/scholar?cites=7210261296079100815&as_sdt=2005&sciodt=0,5&hl=en",18,"2026-01-15 11:49:57","","10.1007/978-3-642-04133-4","","",,,,,4,0.24,2,2,17,"This textbook is intended for SPI (software process improvement) managers and researchers, quality managers, and experienced project and research managers. The …","","https://scholar.google.com/scholar?q=related:j9uKenL-D2QJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"J Sirathienchai, P Sophatsathit…","Simulation-based evaluation for the impact of personnel capability on software testing performance",2012,"Journal of …","Scientific Research Publishing","","https://scholar.google.com/scholar?cites=15786253636425817758&as_sdt=2005&sciodt=0,5&hl=en",19,"2026-01-15 11:49:57","CITATION","","","",,,,,4,0.29,1,3,14,"","https://pdfs.semanticscholar.org/ed0b/e5a9d8a5c76b465a8ab07aca365c2e1ade7a.pdf","https://scholar.google.com/scholar?q=related:nh5hDQsKFNsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"FF Ismail, R Razali","A qualitative empirical investigation of contributing success factors for software testing outsourcing projects",2015,"Jurnal Teknologi (Sciences &Engineering)","journals.utm.my","https://journals.utm.my/jurnalteknologi/article/view/6189","https://scholar.google.com/scholar?cites=4634019087150512123&as_sdt=2005&sciodt=0,5&hl=en",15,"2026-01-15 11:49:57","","","","",,,,,6,0.55,3,2,11,"Software testing outsourcing is becoming attractive among organisations that desire to gain high quality products within reasonable cost while allowing testing experts to assure its …","https://journals.utm.my/jurnalteknologi/article/download/6189/4097","https://scholar.google.com/scholar?q=related:-3f8w85XT0AJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"K Karhu, J Kasurinen, K Smolander","Expectations vs Reality--A Secondary Study on AI Adoption in Software Testing",2025,"arXiv preprint arXiv:2504.04921","arxiv.org","https://arxiv.org/abs/2504.04921","https://scholar.google.com/scholar?cites=12585544703802522274&as_sdt=2005&sciodt=0,5&hl=en",9,"2026-01-15 11:49:57","","","","",,,,,7,7.00,2,3,1,"In the software industry, artificial intelligence (AI) has been utilized more and more in software development activities. In some activities, such as coding, AI has already been an …","https://arxiv.org/pdf/2504.04921?","https://scholar.google.com/scholar?q=related:orryHjrWqK4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
10,"EF Souza, RA Falbo, NL Vijaykumar","Knowledge management applied to software testing: A systematic mapping",2013,"The 25th International …","plutao.sid.inpe.br","http://plutao.sid.inpe.br/col/dpi.inpe.br/plutao/2013/05.31.16.39/doc/souza_knowledge.pdf","https://scholar.google.com/scholar?cites=10967852554921299981&as_sdt=2005&sciodt=0,5&hl=en",16,"2026-01-15 11:49:57","PDF","","","",,,,,10,0.77,3,3,13,"With the growth of data from several different sources of knowledge within an organization, it becomes necessary to provide computerized support for tasks of acquiring, processing …","http://plutao.sid.inpe.br/col/dpi.inpe.br/plutao/2013/05.31.16.39/doc/souza_knowledge.pdf","https://scholar.google.com/scholar?q=related:DdDx3MmjNZgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
