Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"Expectations vs Reality - A Secondary Study on AI Adoption in Software Testing","In the software industry, artificial intelligence (AI) has been utilized more and more in software development activities. In some activities, such as coding, AI has already been an everyday tool, but in software testing activities AI it has not yet made a significant breakthrough. In this paper, the objective was to identify what kind of empirical research with industry context has been conducted on AI in software testing, as well as how AI has been adopted in software testing practice. To achieve this, we performed a systematic mapping study of recent (2020 and later) studies on AI adoption in software testing in the industry, and applied thematic analysis to identify common themes and categories, such as the real-world use cases and benefits, in the found papers. The observations suggest that AI is not yet heavily utilized in software testing, and still relatively few studies on AI adoption in software testing have been conducted in the industry context to solve real-world problems. Earlier studies indicated there was a noticeable gap between the actual use cases and actual benefits versus the expectations, which we analyzed further. While there were numerous potential use cases for AI in software testing, such as test case generation, code analysis, and intelligent test automation, the reported actual implementations and observed benefits were limited. In addition, the systematic mapping study revealed a potential problem with false positive search results in online databases when using the search string""artificial intelligence"".","Katja Karhu; Jussi Kasurinen; Kari Smolander","2025","arXiv.org","10.48550/arxiv.2504.04921","2","Include"
"A Framework for Managing Software Testing Outsourcing Projects","Software testing aims to ensure that the software produced is reliable and able to function correctly. In order to do so, the testing execution requires experts and technology that might not be available within an organisation. Therefore, shifting to outsourcing for testing is one preferred option. This alternative provides benefits such as testing expertise, costs and time reduction, better testing technology and high-quality software products. Translating these benefits into practice has, however, proved challenging. Some testing outsourcing projects have failed outright. These projects either exceed the specified time or the allocated budget or failed to deliver the anticipated quality. This paper therefore intends to address this concern by providing guidance in managing software testing outsourcing projects in the form of a framework based on identified success factors. Previous studies have collected the success factors from theoretical and empirical perspectives. The investigation continues by ratifying the factors via software testing and project management experts from both the client and vendor sides. In order to develop the framework, this study adopted a qualitative approach, in which semi-structured interviews were employed to confirm the factors. The data were then analysed using content analysis. The framework consists of two aspects, namely People and Process. Four factors make up the People aspect, while another ten constitute the Process aspect. Each factor contains elements, which represent either the roles that should be played or activities that should be conducted. This framework contributes to the understanding of conducting successful software testing outsourcing projects. It could also act as a reference for future research in the software testing domain.","F. Ismail; R. Razali","2017","Journal of Telecommunication Electronic and Computer Engineering (JTEC)","-","2","Include"
"Automatização de testes em equipes ágeis: um estudo qualitativo usando teoria fundamentada.","Submitted by Maria Medeiros (maria.dilva1@ufcg.edu.br) on 2018-08-08T13:41:48Z No. of bitstreams: 1 GABRIELLA MAYARA TAVARES ALVES - DISSERTAÇÃO (PPGCC) 2017.pdf: 721866 bytes, checksum: 1804c46ebbf2ab8091f8ac9197014812 (MD5)","Gabriella Mayara T. Alves; Gabriella Mayara Tavares","2017","Americanae (AECID Library)","-","-","Include"
"Knowledge Creation and Loss within a Software Organization: An Exploratory Case Study","Software development activities are very critical, since most of them heavily depend on individuals' knowledge and their capabilities. This knowledge must be retained and managed in order to avoid productivity breakdowns. This paper empirically explores how knowledge is created and lost in a software organization, and discusses implications for software development. This is done through a case study in which we investigated a Brazilian R&D Institute. We found that knowledge creation can be achieved through: (1) knowledge sources, (2) architectural frameworks that contain common applications and architectures for a set of projects, and (3) lessons learned that contains concerns regarding previous projects. Additionally, we verified that some teams' actions might influence knowledge loss. To identify and to understand which aspects are related to managing knowledge is the first step towards avoiding its loss and facilitating organizational learning. Our work contributes to this end.","Davi Viana; T. Conte; S. Marczak; Raymundo Ferreira; C. D. Souza","2015","Hawaii International Conference on System Sciences","10.1109/hicss.2015.477","11","Include"
"Contributing factors of successful software testing outsourcing","Software testing outsourcing is becoming a trend in many organisations nowadays. There are many advantages that are believed to be obtained through software testing outsourcing such as cost savings, access to experts and better technology as well as higher quality software products. Due to its immaturity however, it is still uncertain on what would be the critical aspects that require attention when conducting such outsourcing. This paper aims to address this concern by analysing the existing literature in order to identify the contributing factors of successful software testing outsourcing, including offshore and onshore. The analysis through the use of content analysis method enables the formulation of a conceptual process model that provides some understanding of the current practice. The model could then be used to direct more fruitful initiatives in software testing outsourcing domain in future.","F. Ismail; R. Razali","2014","2014 8th. Malaysian Software Engineering Conference (MySEC)","10.1109/mysec.2014.6985988","6","Include"
"Cost Estimation for Model-Driven Interoperability: A Canonical Data Modeling Approach","Canonical data modeling (CDM) is a method for reducing the total cost of integrating information systems. CDM enhances model-driven development (MDD) by making explicit situations in which data components are being reused (i.e., shared across systems). In this paper, we present cost models for data modeling and data integration, with and without CDM. We then demonstrate how to use those cost models (during project planning) to determine if CDM is a good fit for an enterprise. Next, we provide the first empirical estimates of the costs associated with data component creation, reuse, and integration in an MDD environment. We conclude with technical lessons learned performing CDM for our government clients.","P. Mork; W. Melo; S. Dutcher; C. Curtis; M. Scroggs","2014","International Conference on Quality Software","10.1109/qsic.2014.51","4","Include"
"Simulation-Based Evaluation for the Impact of Personnel Capability on Software Testing Performance","This study presents a decision making process in three steps of knowledge management for test organization using process simulation and financial analysis. First, project cost assessment of test knowledge management process subjects to different project duration and number of staffs. Two knowledge management simulation models representing experienced personnel with knowledge sharing and inexperienced personnel with internal training respectively are employed to contrast test personnel capability. Second, performance evaluation of software testing process by different personnel capability is conducted to simulate system test using three project metrics, namely, duration, effort cost, and quality. Third, a comparative financial analysis is prepared to determine the best solution by return on investment, payback period, and benefit cost ratio. The results from three stages of finding are discussed to arrive at the final scenario. We provide a case study evaluating how software testing industry needs to build effective test organization with high quality personnel for sustainable development and improvement.","Jithinan Sirathienchai; Peraphon Sophatsathit; Decha Dechawatanapaisal","2012","Journal of Software Engineering and Applications","10.4236/jsea.2012.58063","5","Include"
"Trade-off between automated and manual software testing","-","Ossi Taipale; Jussi Kasurinen; Katja Karhu; K. Smolander","2011","International Journal of Systems Assurance Engineering and Management","10.1007/s13198-011-0065-6","59","Include"
"Who tested my software? Testing as an organizationally cross-cutting activity","There is a recognized disconnect between testing research and industry practice, and more studies are needed on understanding how testing is conducted in real-world circumstances instead of demonstrating the superiority of specific methods. Recent literature indicates that testing is a cross-cutting activity that involves various organizational roles rather than the sole involvement of specialized testers. This research empirically investigates how testing involves employees in varying organizational roles in software product companies. We studied the organization and values of testing using an exploratory case study methodology through interviews, defect database analysis, workshops, analyses of documentation, and informal communications at three software product companies. We analyzed which employee groups test software in the case companies, and how many defects they find. Two companies organized testing as a team effort, and one company had a specialized testing group because of its different development model. We found evidence that testing was not an action conducted only by testing specialists. Testing by individuals with customer contact and domain expertise was an important validation method. We discovered that defects found by developers had the highest fix rates while those revealed by specialized testers had the lowest. The defect importance was susceptible to organizational competition of resources (i.e., overvaluing defects of reporter’s own products or projects). We conclude that it is important to understand the diversity of individuals participating in software testing and the relevance of validation from the end users’ viewpoint. Future research is required to evaluate testing approaches for diverse organizational roles. Finally, to improve defect information, we suggest increasing automation in defect data collection.","M. Mäntylä; Juha Itkonen; Joonas Iivonen","2011","Software quality journal","10.1007/s11219-011-9157-4","41","Include"
"Factors with Negative Influence on Software Testing Practice in Spain: A Survey","-","Luis Fernández-Sanz; M. Teresa Villalba; J. Hilera; R. Lacuesta","2009","European Conference on Software Process Improvement","10.1007/978-3-642-04133-4_1","23","Include"
