oci,citing,cited,creation,timespan,journal_sc,author_sc
061401030866-062201957222,10.1007/s10664-013-9266-8,10.1109/tse.2012.55,2013-07-11,P0Y2M,no,yes
061702560425-062201957222,10.1109/compsacw.2014.110,10.1109/tse.2012.55,2014-07,P1Y2M,no,no
06450106248-062201957222,10.1063/5.0128175,10.1109/tse.2012.55,2023,P9Y,no,no
061903488809-062201957222,10.1007/978-3-031-10873-0_7,10.1109/tse.2012.55,2015,P1Y,no,no
06502886933-062201957222,10.1109/apsec.2016.014,10.1109/tse.2012.55,2016,P2Y,no,no
061904006667-062201957222,10.1109/icst57152.2023.00048,10.1109/tse.2012.55,2023-04,P9Y11M,no,no
061401030821-062201957222,10.1007/s10664-014-9301-4,10.1109/tse.2012.55,2014-04-16,P0Y11M,no,yes
061702970926-062201957222,10.1109/chase52884.2021.00026,10.1109/tse.2012.55,2021-05,P8Y0M,no,no
062203440590-062201957222,10.1007/s10664-022-10179-6,10.1109/tse.2012.55,2022-08-06,P9Y3M,no,no
061203116675-062201957222,10.1016/j.infsof.2013.01.005,10.1109/tse.2012.55,2013-07,P0Y2M,no,no
0620588331-062201957222,10.1016/j.jss.2019.110485,10.1109/tse.2012.55,2020-04,P6Y11M,no,no
062301003471-062201957222,10.1007/s11219-016-9338-2,10.1109/tse.2012.55,2016-09-14,P3Y4M,no,no
06303961531-062201957222,10.3390/app121910016,10.1109/tse.2012.55,2022-10-05,P9Y5M,no,no
062203885288-062201957222,,10.1109/tse.2012.55,2017-04-04,P3Y11M,no,no
062202461704-062201957222,10.1109/icstw.2017.8,10.1109/tse.2012.55,2017-03,P3Y10M,no,no
06320570366-062201957222,10.1145/3597503.3639157,10.1109/tse.2012.55,2024-04-12,P10Y11M,no,no
061903488805-062201957222,10.1007/978-3-031-10873-0_13,10.1109/tse.2012.55,2022,P8Y,no,no
061203115938-062201957222,10.1016/j.infsof.2018.11.003,10.1109/tse.2012.55,2019-03,P5Y10M,no,no
06902517788-062201957222,10.1145/2931037.2931054,10.1109/tse.2012.55,2016-07-18,P3Y2M,no,no
061103460174-062201957222,10.1155/2022/4148713,10.1109/tse.2012.55,2022-09-01,P9Y4M,no,no
06280479815-062201957222,10.1109/tse.2023.3348036,10.1109/tse.2012.55,2024-02,P10Y9M,yes,no
06190559643-062201957222,10.1002/stvr.1754,10.1109/tse.2012.55,2020-10-16,P7Y5M,no,no
062201956367-062201957222,10.1109/tse.2021.3129889,10.1109/tse.2012.55,2021,P7Y,yes,no
061302983615-062201957222,10.1109/icstw52544.2021.00038,10.1109/tse.2012.55,2021-04,P7Y11M,no,no
06802902527-062201957222,10.1109/icstw.2016.13,10.1109/tse.2012.55,2016-04,P2Y11M,no,no
06501939449-062201957222,10.1145/2915970.2915995,10.1109/tse.2012.55,2016-06,P3Y1M,no,no
06901158846-062201957222,10.1109/access.2018.2834957,10.1109/tse.2012.55,2018,P4Y,no,no
061204151057-062201957222,10.1109/qrs60937.2023.00042,10.1109/tse.2012.55,2023-10-22,P10Y5M,no,no
06102678063-062201957222,10.1109/iscon52037.2021.9702377,10.1109/tse.2012.55,2021-10-22,P8Y5M,no,no
0620587939-062201957222,10.1016/j.jss.2022.111231,10.1109/tse.2012.55,2022-05,P9Y0M,no,no
061903488813-062201957222,10.1007/978-3-031-10873-0_15,10.1109/tse.2012.55,2020,P6Y,no,no
061302989044-062201957222,10.1109/icst49551.2021.00048,10.1109/tse.2012.55,2021-04,P7Y11M,no,no
062201956468-062201957222,10.1109/tse.2020.3048991,10.1109/tse.2012.55,2022-06-01,P9Y1M,yes,no
06201946546-062201957222,10.1016/b978-0-12-800160-8.00003-6,10.1109/tse.2012.55,2014,P0Y,no,no
061701213250-062201957222,10.1109/ms.2015.85,10.1109/tse.2012.55,2016-07,P3Y2M,no,no
061903488816-062201957222,10.1007/978-3-031-10873-0_9,10.1109/tse.2012.55,2022,P8Y,no,no
061903488817-062201957222,10.1007/978-3-031-10873-0_10,10.1109/tse.2012.55,2015,P1Y,no,no
0630593665-062201957222,10.1016/j.jss.2017.01.002,10.1109/tse.2012.55,2017-11,P4Y6M,no,no
061602363051-062201957222,10.1109/dsa.2017.19,10.1109/tse.2012.55,2017-10,P4Y5M,no,no
06340609806-062201957222,10.1007/978-3-031-70595-3_40,10.1109/tse.2012.55,2024,P10Y,no,no
0620578464-062201957222,10.1088/1742-6596/1345/5/052082,10.1109/tse.2012.55,2019-11-01,P6Y6M,no,no
06460181371-062201957222,10.1002/stvr.1863,10.1109/tse.2012.55,2023-09-19,P10Y4M,no,no
06802943504-062201957222,10.1109/icstw.2015.7107464,10.1109/tse.2012.55,2015-04,P1Y11M,no,no
0620588134-062201957222,10.1016/j.jss.2020.110890,10.1109/tse.2012.55,2021-04,P7Y11M,no,no
061903488811-062201957222,10.1007/978-3-031-10873-0_17,10.1109/tse.2012.55,2022,P8Y,no,no
