DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1007/s10664-013-9266-8,Are test cases needed? Replicated comparison between exploratory and test-case-based software testing,"Juha Itkonen, Mika V. Mäntylä",Empirical Software Engineering,2014,"Manual software testing is a widely practiced verification and validation method that is unlikely to fade away despite the advances in test automation. In the domain of manual testing, many practitioners advocate exploratory testing (ET), i.e., creative, experience-based testing without predesigned test cases, and they claim that it is more efficient than testing with detailed test cases. This paper reports a replicated experiment comparing effectiveness, efficiency, and perceived differences between ET and test-case-based testing (TCT) using 51 students as subjects, who performed manual functional testing on the jEdit text editor. Our results confirm the findings of the original study: 1) there is no difference in the defect detection effectiveness between ET and TCT, 2) ET is more efficient by requiring less design effort, and 3) TCT produces more false-positive defect reports than ET. Based on the small differences in the experimental design, we also put forward a hypothesis that the effectiveness of the TCT approach would suffer more than ET from time pressure. We also found that both approaches had distinctive issues: in TCT, the problems were related to correct abstraction levels of test cases, and the problems in ET were related to test design and logging of the test execution and results. Finally, we recognize that TCT has other benefits over ET in managing and controlling testing in large organizations.",188157812,72,81,,
10.1145/2915970.2915995,Reporting usability defects: do reporters report what software developers need?,"N. Yusop, J. Grundy, Rajesh Vasa",International Conference on Evaluation & Assessment in Software Engineering,2016,"Reporting usability defects can be a challenging task, especially in convincing the software developers that the reported defect actually requires attention. Stronger evidence in the form of specific details is often needed. However, research to date in software defect reporting has not investigated the value of capturing different information based on defect type. We surveyed practitioners in both open source communities and industrial software organizations about their usability defect reporting practices to better understand information needs to address usability defect reporting issues. Our analysis of 147 responses show that reporters often provide observed result, expected result and steps to reproduce when describing usability defects, similar to the way other types of defects are reported. However, reporters rarely provide usability-related information. In fact, reporters ranked cause of the problem is the most difficult information to provide followed by usability principle, video recoding, UI event trace and title. Conversely, software developers consider cause of the problem as the most helpful information for them to fix usability defects. Our statistical analysis reveals a substantial gap between what reporters provide and what software developers need when fixing usability defects. We propose some remedies to resolve this gap.",101081141,35,29,,
10.1155/2022/4148713,Manufacturing Service Innovation and Foreign Trade Upgrade Model Based on Internet of Things and Industry 4.0,"Ling Liu, Ping Zhao",Mathematical Problems in Engineering,2022,"At present, the industrial Internet has gradually become a product of the integration of new generation of information technology and manufacturing. The development of the traditional manufacturing industry with transformation and upgrading faces various bottlenecks. These bottlenecks require the industry to make technological improvements through the concept of promoting sustainable development. At the same time, these issues also need intelligent support to match them. IoT technology can help enterprises realize product design and production, inspection and testing, risk early warning and post-sales, and other process links. The Internet of Things technology improved and innovated the industrial production process in the process. This technology has become the main means to promote industrialization and information integration, and it is an important basis for promoting manufacturing capabilities and networking forces. At present, the industrial Internet of our country is generally developing rapidly. However, this technology encountered many difficulties in the process of promoting discrete manufacturing and upgrading. There are still some difficulties in the entire technology landing application process. For example, there is still a significant gap in the breadth and depth of the Internet of Things applications. In particular, the value of data needs to strengthen. Based on the analysis of the risk solutions and development dilemma of artisanship, this article shows the benefits of the Internet of Things technology. Trend demand, practical application demand, production efficiency demand, after-sales service demand, and other aspects promote management innovation. This article first classifies the development of the industrial Internet in information transmission and development of the industry around the world. On this basis, this article has built a three-dimensional reference model for the industrial Internet to promote the transformation and upgrade of discrete manufacturing. In addition, this article proposes a strategy to promote the transformation and upgrade of discrete manufacturing. It includes three development stages: industrial Internet, industrial and commercial Internet, and industrial intelligence Internet. On this basis, the text explains the corresponding technical system and its challenges. Through the research results of this article, it provides theoretical guidance for the industrial Internet to promote the transformation and upgrade of discrete manufacturing.",237487003,3,23,,
10.1007/978-3-031-94544-1_11,Exploratory Software Testing in Scrum: A Qualitative Study,"Giulia R. Neri, Robert Marchand, Neil Walkinshaw",Lecture notes in business information processing,2025,(missing abstract),287555157,0,16,,
10.48550/arxiv.2406.17325,AI Tool Use and Adoption in Software Development by Individuals and Organizations: A Grounded Theory Study,"Ze Shi Li, Nowshin Nawar Arony, Ahmed Musa Awon, Daniela E. Damian, Bowen Xu",arXiv.org,2024,"AI assistance tools such as ChatGPT, Copilot, and Gemini have dramatically impacted the nature of software development in recent years. Numerous studies have studied the positive benefits that practitioners have achieved from using these tools in their work. While there is a growing body of knowledge regarding the usability aspects of leveraging AI tools, we still lack concrete details on the issues that organizations and practitioners need to consider should they want to explore increasing adoption or use of AI tools. In this study, we conducted a mixed methods study involving interviews with 26 industry practitioners and 395 survey respondents. We found that there are several motives and challenges that impact individuals and organizations and developed a theory of AI Tool Adoption. For example, we found creating a culture of sharing of AI best practices and tips as a key motive for practitioners' adopting and using AI tools. In total, we identified 2 individual motives, 4 individual challenges, 3 organizational motives, and 3 organizational challenges, and 3 interleaved relationships. The 3 interleaved relationships act in a push-pull manner where motives pull practitioners to increase the use of AI tools and challenges push practitioners away from using AI tools.",274373903,8,63,,
10.1016/b978-0-12-800160-8.00003-6,"Automated Test Oracles: State of the Art, Taxonomies, and Trends","Rafael A. P. Oliveira, Upulee Kanewala, Paulo Augusto Nardi",Advances in Computers,2014,(missing abstract),69694327,32,255,,
10.1002/stvr.1863,Exploiting deep reinforcement learning and metamorphic testing to automatically test virtual reality applications,"Stevão Alves de Andrade, Fatima L. S. Nunes, M. Delamaro","Software testing, verification & reliability",2023,"Despite the rapid growth and popularization of virtual reality (VR) applications, which have enabled new concepts for handling and solving existing problems through VR in various domains, practices related to software engineering have not kept up with this growth. Recent studies indicate that one of the topics that is still little explored in this area is software testing, as VR applications can be built for practically any type of purpose, making it difficult to generalize knowledge to be applied. In this paper, we present an approach that combines metamorphic testing, agent‐based testing and machine learning to test VR applications, focusing on finding collision and camera‐related faults. Our approach proposes the use of metamorphic relations to detect faults in collision and camera components in VR applications, as well as the use of intelligent agents for the automatic generation of test data. To evaluate the proposed approach, we conducted an experimental study on four VR applications, and the results showed an accuracy of the solution ranging from 93% to 69%, depending on the complexity of the application tested. We also discussed the feasibility of extending the approach to identify other types of faults in VR applications. In conclusion, we discussed important trends and opportunities that can benefit both academics and practitioners.",265728869,7,38,,
10.1016/j.infsof.2013.01.005,Analyzing an automotive testing process with evidence-based software engineering,"Abhinaya Kasoju, Kai Petersen, Mika V. Mäntylä",Information & Software Technology,2013,(missing abstract),195745287,72,93,,
10.1109/qrs-c51114.2020.00053,Towards a Model of Testers' Cognitive Processes: Software Testing as a Problem Solving Approach,"Eduard Paul Enoiu, Gerald Tukseferi, Robert Feldt","IEEE International Conference on Software Quality, Reliability and Security Companion",2020,"Software testing is a complex, intellectual activity based (at least) on analysis, reasoning, decision making, abstraction and collaboration performed in a highly demanding environment. Naturally, it uses and allocates multiple cognitive resources in software testers. However, while a cognitive psychology perspective is increasingly used in the general software engineering literature, it has yet to find its place in software testing. To the best of our knowledge, no theory of software testers' cognitive processes exists. Here, we take the first step towards such a theory by presenting a cognitive model of software testing based on how problem solving is conceptualized in cognitive psychology. Our approach is to instantiate a general problem solving process for the specific problem of creating test cases. We then propose an experiment for testing our cognitive test design model. The experiment makes use of verbal protocol analysis to understand the mechanisms by which human testers choose, design, implement and evaluate test cases. An initial evaluation was then performed with five software engineering master students as subjects. The results support a problem solving-based model of test design for capturing testers' cognitive processes.",164158035,20,31,,
10.1109/dsa.2017.19,A Novel Testing Method for Narrowband Synthetic Aperture Radar (SAR) Imaging Algorithm,"Letian Zeng, Chunhui Yang, Yuelong Zhao, Ping Chen, Qiang Wang",(missing journal),2017,"Imaging algorithms are the key factors of the performances of the synthetic aperture radar (SAR) imaging. Most existing methods usually need to utilize field environment and data, which dramatically reduces the effectiveness of the software testing. This paper presents a novel testing method for narrow-band SAR imaging algorithms, which is consisted of four parts: system parameter verification, echo data simulation, algorithm simulation and real data verification, evaluations of imaging results. This scheme has fully validated the correctness and feasibility of imaging algorithms. Also, this approach greatly improves the validity of the testing work. Finally, the correctness and effectiveness of the proposed method are verified by simulation experiments and real data results.",73094590,1,13,,
