Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"RippleGUItester: Change-Aware Exploratory Testing","Software systems evolve continuously through frequent code changes, yet such changes often introduce unintended bugs despite extensive testing and code review. Existing testing approaches are largely constrained to predefined execution paths or rely on unguided exploration, leaving many change-induced issues undetected. To address this challenge, we present RippleGUItester, a change-driven testing system that treats a code change as the epicenter of a ripple effect and explores its broader, user-visible impacts via the GUI. Given a code change, RippleGUItester performs LLM-based change-impact analysis to generate and enrich realistic test scenarios, executes these scenarios on both pre-change and post-change versions of the system, and applies differential analysis to identify behavioral differences. Crucially, RippleGUItester employs multimodal bug detection, comparing visual GUI changes and interpreting them in the context of natural-language change intents to distinguish unintended bugs from intended behavioral updates. We evaluate our approach on hundreds of real-world code changes across four widely used software systems: Firefox, Zettlr, JabRef, and Godot. Our results show that the proposed approach uncovers bugs introduced by code changes that were missed by existing test suites, CI pipelines, and code review. In total, we identify 26 previously unknown bugs that still exist in the latest versions of the evaluated systems. After reporting, 16 bugs have been fixed, 2 have been confirmed, 6 are still under discussion, and 2 were marked as intended. We envision RippleGUItester being applied before or shortly after a code change is merged, enabling earlier detection of regressions.","Yanqi Su; Michael Pradel; Chunyang Chen","2026","arXiv (Cornell University)","10.48550/arxiv.2603.03121","-","Include"
"An approach to assess robustness of MQTT-based IoT systems","-","Bruno Jesus; F. Lins; N. Laranjeiro","2025","Internet of Things","10.1016/j.iot.2025.101590","2","Include"
"The qualitative factor in software testing: A systematic mapping study of qualitative methods","-","Baris Ardiç; C. Brandt; Ali Khatami; Mark Swillus; Andy Zaidman","2025","Journal of Systems and Software","10.1016/j.jss.2025.112447","3","Include"
"Automated Soap Opera Testing Directed by LLMs and Scenario Knowledge: Feasibility, Challenges, and Road Ahead","Exploratory testing (ET) harnesses tester's knowledge, creativity, and experience to create varying tests that uncover unexpected bugs from the end-user's perspective. Although ET has proven effective in system-level testing of interactive systems, the need for manual execution has hindered large-scale adoption. In this work, we explore the feasibility, challenges and road ahead of automated scenario-based ET (a.k.a soap opera testing). We conduct a formative study, identifying key insights for effective manual soap opera testing and challenges in automating the process. We then develop a multi-agent system leveraging LLMs and a Scenario Knowledge Graph (SKG) to automate soap opera testing. The system consists of three multi-modal agents, Planner, Player, and Detector that collaborate to execute tests and identify potential bugs. Experimental results demonstrate the potential of automated soap opera testing, but there remains a significant gap compared to manual execution, especially under-explored scenario boundaries and incorrectly identified bugs. Based on the observation, we envision road ahead for the future of automated soap opera testing, focusing on three key aspects: the synergy of neural and symbolic approaches, human-AI co-learning, and the integration of soap opera testing with broader software engineering practices. These insights aim to guide and inspire the future research.","Yanqi Su; Zhenchang Xing; Chong Wang; Chunyang Chen; S. Xu; Qinghua Lu; Liming Zhu","2024","Proc. ACM Softw. Eng.","10.1145/3715752","3","Include"
"tl;dr: Chill, y’all: AI Will Not Devour SE","Social media provide a steady diet of dire warnings that artificial intelligence (AI) will make software engineering (SE) irrelevant or obsolete. To the contrary, the engineering discipline of software is rich and robust; it encompasses the full scope of software design, development, deployment, and practical use; and it has regularly assimilated radical new offerings from AI. Current AI innovations such as machine learning, large language models (LLMs) and generative AI will offer new opportunities to extend the models and methods of SE. They may automate some routine development processes, and they will bring new kinds of components and architectures. If we're fortunate they may force SE to rethink what we mean by correctness and reliability. They will not, however, render SE irrelevant.","Eunsuk Kang; Mary Shaw","2024","SIGPLAN symposium on New ideas, new paradigms, and reflections on programming and software","10.1145/3689492.3689816","9","Include"
"AI Tool Use and Adoption in Software Development by Individuals and Organizations: A Grounded Theory Study","AI assistance tools such as ChatGPT, Copilot, and Gemini have dramatically impacted the nature of software development in recent years. Numerous studies have studied the positive benefits that practitioners have achieved from using these tools in their work. While there is a growing body of knowledge regarding the usability aspects of leveraging AI tools, we still lack concrete details on the issues that organizations and practitioners need to consider should they want to explore increasing adoption or use of AI tools. In this study, we conducted a mixed methods study involving interviews with 26 industry practitioners and 395 survey respondents. We found that there are several motives and challenges that impact individuals and organizations and developed a theory of AI Tool Adoption. For example, we found creating a culture of sharing of AI best practices and tips as a key motive for practitioners' adopting and using AI tools. In total, we identified 2 individual motives, 4 individual challenges, 3 organizational motives, and 3 organizational challenges, and 3 interleaved relationships. The 3 interleaved relationships act in a push-pull manner where motives pull practitioners to increase the use of AI tools and challenges push practitioners away from using AI tools.","Z. Li; Nowshin Nawar Arony; Ahmed Musa Awon; Daniela E. Damian; Bowen Xu","2024","arXiv.org","10.48550/arxiv.2406.17325","13","Include"
"Enhancing Exploratory Testing by Large Language Model and Knowledge Graph","Exploratory testing leverages the tester's knowledge and creativity to design test cases for effectively uncovering system-level bugs from the end user's perspective. Researchers have worked on test scenario generation to support exploratory testing based on a system knowledge graph, enriched with scenario and oracle knowledge from bug reports. Nevertheless, the adoption of this approach is hindered by difficulties in handling bug reports of inconsistent quality and varied expression styles, along with the infeasibility of the generated test scenarios. To overcome these limitations, we utilize the superior natural language understanding (NLU) capabilities of Large Language Models (LLMs) to construct a System KG of User Tasks and Failures (SysKG-UTF). Leveraging the system and bug knowledge from the KG, along with the logical reasoning capabilities of LLMs, we generate test scenarios with high feasibility and coherence. Particularly, we design chain-of-thought (CoT) reasoning to extract human-like knowledge and logical reasoning from LLMs, simulating a developer's process of validating test scenario feasibility. Our evaluation shows that our approach significantly enhances the KG construction, particularly for bug reports with low quality. Furthermore, our approach generates test scenarios with high feasibility and coherence. The user study further proves the effectiveness of our generated test scenarios in supporting exploratory testing. Specifically, 8 participants find 36 bugs from 8 seed bugs in two hours using our test scenarios, a significant improvement over the 21 bugs found by the state-of-the-art baseline.","Yanqi Su; Dianshu Liao; Zhenchang Xing; Qing Huang; Mulong Xie; Qinghua Lu; Xiwei Xu","2024","International Conference on Software Engineering","10.1145/3597503.3639157","21","Include"
"On Effectiveness and Efficiency of Gamified Exploratory GUI Testing","Context: Gamification appears to improve enjoyment and quality of execution of software engineering activities, including software testing. Though commonly employed in industry, manual exploratory testing of web application GUIs was proven to be mundane and expensive. Gamification applied to that kind of testing activity has the potential to overcome its limitations, though no empirical research has explored this area yet. Goal: Collect preliminary insights on how gamification, when performed by novice testers, affects the effectiveness, efficiency, test case realism, and user experience in exploratory testing of web applications. Method: Common gamification features augment an existing exploratory testing tool: Final Score with Leaderboard, Injected Bugs, Progress Bar, and Exploration Highlights. The original tool and the gamified version are then compared in an experiment involving 144 participants. User experience is elicited using the Technology Acceptance Model (TAM) questionnaire instrument. Results: Statistical analysis identified several significant differences for metrics that represent the effectiveness and efficiency of tests showing an improvement in coverage when they were developed with gamification. Additionally, user experience is improved with gamification. Conclusions: Gamification of exploratory testing has a tangible effect on how testers create test cases for web applications. While the results are mixed, the effects are most beneficial and interesting and warrant more research in the future. Further research shall be aimed at confirming the presented results in the context of state-of-the-art testing tools and real-world development environments.","Riccardo Coppola; Tommaso Fulcini; L. Ardito; Marco Torchiano; Emil Alégroth","2024","IEEE Transactions on Software Engineering","10.1109/tse.2023.3348036","12","Include"
"Is Human Factors Being Studied in Software Testing?: Review of the Literature","Software engineering is a human-centric activity influenced by human aspects such as age, gender, culture, language, attitudes, behaviors, and skills. While many of the studies in the software engineering area focused on the effect of human aspects in requirement engineering, design, and software development, only a limited number of studies are available investigating the relationship between human aspects and software testing. This study aims to explore the state of the art of human aspects in software testing, particularly to identify human factors studied in previous studies and how those human aspects affect software testing activities. A literature review was conducted on live reputable online databases, and we considered studies from 1994 to 2023. As a result, a total of 38 primary studies were identified. From the 38 studies, test execution was found to be the most researched software testing area related to human aspects, while test design and defect reporting were found to be the least researched. Among the seven categories of human aspects consisting of personality, experience, knowledge, hard skills, soft skills, personal characteristics, and teamwork values that we found, personality was the most studied. The results of this work are of interest to researchers in human-centric software engineering, particularly in software testing. Additionally, software organizations or employers can use the findings to support recruitment and staff management or improvise software testing processes for better software quality.","Nursyuhaila Yahaya; N. Yusop; M. M. Rosli","2023","International Conference on Recent Advances and Innovations in Engineering","10.1109/icraie59459.2023.10468409","1","Include"
"Mobile Test Script Generation from Natural Language Descriptions","Mobile applications are increasingly integral to our daily lives. Currently, the correctness of GUI functions of mobile application is mainly ensured by executing manually written test scripts. However, manually writing these test scripts is not only time-consuming but also costly. Moreover, test scripts are highly vulnerable to application modifications and prone to corruption. In this paper, we propose a novel approach for writing test scripts that enables testers to directly express test intents in natural language within the script. Additionally, we present a new test script generation tool that transforms these test intents into their corresponding test events. Our proposed tool, named GenDroid, employs pre-trained models in conjunction with random forest to facilitate the conversion of test intents into the respective test scripts. To further alleviate the workload of testers and enable them to focus on composing critical test intents, we leverage the application’s UI transfer graph to facilitate the automated generation of other test events, such as jump actions, throughout the generation process. Our results indicate an intent coverage of 88.1%, a notable 20.68% improvement compared to the similar-purpose tool, seq2act.","Chun Li; Yifan Xiong; Zhong Li; Wenhua Yang; Minxue Pan","2023","International Conference on Software Quality, Reliability and Security","10.1109/qrs60937.2023.00042","3","Include"
