id,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W2463553622,Ke Mao|Mark Harman|Yue Jia,https://openalex.org/A5014851285|https://openalex.org/A5000019783|https://openalex.org/A5100725712,https://orcid.org/0000-0003-3956-9184|https://orcid.org/0000-0002-5864-4488|https://orcid.org/0000-0001-8013-4540,GB|GB|GB,University College London|University College London|University College London,https://openalex.org/I45129253|https://openalex.org/I45129253|https://openalex.org/I45129253,True|False|False,,518,https://openalex.org/I45129253,Sapienz: multi-objective automated testing for Android applications,https://doi.org/10.1145/2931037.2931054,University College London|Engineering and Physical Sciences Research Council,69.09982488,False,en,False,closed,,,,,Software Testing and Debugging Techniques,2016-07-07,2016,article
https://openalex.org/W1979531364,Abhinaya Kasoju|Kai Petersen|Mika Mäntylä,https://openalex.org/A5036456982|https://openalex.org/A5071394068|https://openalex.org/A5078824435,|https://orcid.org/0000-0002-1532-8223|https://orcid.org/0000-0002-2841-5879,SE|SE|FI|SE,Systemite (Sweden)|Blekinge Institute of Technology|Lund University|Aalto University,https://openalex.org/I4210163067|https://openalex.org/I52719799|https://openalex.org/I187531555|https://openalex.org/I9927081,False|True|False,,59,https://openalex.org/I52719799,Analyzing an automotive testing process with evidence-based software engineering,https://doi.org/10.1016/j.infsof.2013.01.005,,17.16165483,False,en,False,closed,Information and Software Technology,https://openalex.org/S205010575,0950-5849,journal,Software Engineering Techniques and Practices,2013-02-08,2013,article
https://openalex.org/W3168281115,Viktoria Stray|Raluca Florea|Lucas Paruch,https://openalex.org/A5071199006|https://openalex.org/A5059226012|https://openalex.org/A5007318446,https://orcid.org/0000-0002-6032-2074|https://orcid.org/0000-0002-7344-2817|https://orcid.org/0000-0003-3726-1231,NO|NO|NO,University of Oslo|SINTEF Digital|SINTEF|University of Oslo|University of Oslo,https://openalex.org/I184942183|https://openalex.org/I4387930215|https://openalex.org/I173888879|https://openalex.org/I184942183|https://openalex.org/I184942183,True|False|False,cc-by,27,https://openalex.org/I184942183|https://openalex.org/I4387930215|https://openalex.org/I173888879,Exploring human factors of the agile software tester,https://doi.org/10.1007/s11219-021-09561-2,Universitetet i Oslo|Norges Forskningsråd,4.0758219,False,en,True,hybrid,Software Quality Journal,https://openalex.org/S7504070,0963-9314,journal,Software Engineering Techniques and Practices,2021-06-16,2021,article
https://openalex.org/W4394769383,Yanqi Su|Dianshu Liao|Zhenchang Xing|Qing Huang|Mulong Xie|Qinghua Lu|Xiwei Xu,https://openalex.org/A5086023162|https://openalex.org/A5003595989|https://openalex.org/A5028641941|https://openalex.org/A5087875790|https://openalex.org/A5040915887|https://openalex.org/A5100652461|https://openalex.org/A5006841485,https://orcid.org/0000-0002-2410-3229|https://orcid.org/0009-0000-0865-0444|https://orcid.org/0000-0001-7663-1421|https://orcid.org/0000-0002-8877-4267|https://orcid.org/0000-0002-0481-2167|https://orcid.org/0000-0002-9466-1672|https://orcid.org/0000-0002-2273-1862,AU|CN|AU|CN|AU|AU|AU,Australian National University|Jiangxi Normal University|Commonwealth Scientific and Industrial Research Organisation|Data61|Australian National University|Jiangxi Normal University|Commonwealth Scientific and Industrial Research Organisation|Data61|Commonwealth Scientific and Industrial Research Organisation|Data61|Data61|Commonwealth Scientific and Industrial Research Organisation,https://openalex.org/I118347636|https://openalex.org/I53592917|https://openalex.org/I1292875679|https://openalex.org/I42894916|https://openalex.org/I118347636|https://openalex.org/I53592917|https://openalex.org/I1292875679|https://openalex.org/I42894916|https://openalex.org/I1292875679|https://openalex.org/I42894916|https://openalex.org/I42894916|https://openalex.org/I1292875679,True|False|False|False|False|False|False,,15,https://openalex.org/I118347636,Enhancing Exploratory Testing by Large Language Model and Knowledge Graph,https://doi.org/10.1145/3597503.3639157,,22.91475395,False,en,False,closed,,,,,Software Engineering Research,2024-04-12,2024,article
https://openalex.org/W2018567346,Juha Itkonen|Mika Mäntylä,https://openalex.org/A5049069760|https://openalex.org/A5078824435,https://orcid.org/0000-0001-9084-495X|https://orcid.org/0000-0002-2841-5879,FI|FI|SE,Aalto University|Lund University|Aalto University,https://openalex.org/I9927081|https://openalex.org/I187531555|https://openalex.org/I9927081,True|False,,63,https://openalex.org/I9927081,Are test cases needed? Replicated comparison between exploratory and test-case-based software testing,https://doi.org/10.1007/s10664-013-9266-8,,4.43982653,False,en,False,closed,Empirical Software Engineering,https://openalex.org/S109852484,1382-3256,journal,Software Testing and Debugging Techniques,2013-07-09,2013,article
https://openalex.org/W2087287766,Dietmar Pfahl|Huishi Yin|Mika Mäntylä|Jürgen Münch,https://openalex.org/A5022214666|https://openalex.org/A5014858474|https://openalex.org/A5078824435|https://openalex.org/A5071830803,https://orcid.org/0000-0003-2400-501X||https://orcid.org/0000-0002-2841-5879|https://orcid.org/0000-0003-0327-8094,EE|EE|FI|FI,University of Tartu|University of Tartu|Aalto University|University of Helsinki,https://openalex.org/I56085075|https://openalex.org/I56085075|https://openalex.org/I9927081|https://openalex.org/I133731052,True|False|False|False,other-oa,58,https://openalex.org/I56085075,How is exploratory testing used? A state-of-the-practice survey,https://doi.org/10.1145/2652524.2652531,Eesti Teadusagentuur,10.49029238,False,en,True,green,,,,,Software Engineering Techniques and Practices,2014-09-05,2014,article
https://openalex.org/W2025566381,Érica Ferreira de Souza|Ricardo de Almeida Falbo|Nandamudi L. Vijaykumar,https://openalex.org/A5050603863|https://openalex.org/A5017900692|https://openalex.org/A5042368174,https://orcid.org/0000-0002-5425-145X||https://orcid.org/0000-0002-9025-0841,BR|BR|BR,National Institute for Space Research|Universidade Federal do Espírito Santo|National Institute for Space Research,https://openalex.org/I80849659|https://openalex.org/I51235708|https://openalex.org/I80849659,True|False|False,,56,https://openalex.org/I80849659,Knowledge management initiatives in software testing: A mapping study,https://doi.org/10.1016/j.infsof.2014.05.016,Fundação de Amparo à Pesquisa do Estado de São Paulo|Conselho Nacional de Desenvolvimento Científico e Tecnológico|Fundação de Amparo à Pesquisa e Inovação do Espírito Santo,6.45556454,False,en,False,closed,Information and Software Technology,https://openalex.org/S205010575,0950-5849,journal,Software Engineering Research,2014-06-02,2014,article
https://openalex.org/W2569018456,Itziar Otaduy|Óscar Díaz,https://openalex.org/A5026165055|https://openalex.org/A5016877880,https://orcid.org/0000-0002-2966-405X|https://orcid.org/0000-0003-1334-4761,ES|ES,University of the Basque Country|University of the Basque Country,https://openalex.org/I169108374|https://openalex.org/I169108374,True|False,,54,https://openalex.org/I169108374,User acceptance testing for Agile-developed web-based applications: Empowering customers through wikis and mind maps,https://doi.org/10.1016/j.jss.2017.01.002,"Ministerio de Educación, Cultura y Deporte|European Social Fund",6.15798742,False,en,False,closed,Journal of Systems and Software,https://openalex.org/S37879656,0164-1212,journal,Software Engineering Techniques and Practices,2017-01-06,2017,article
https://openalex.org/W1985308454,Wasif Afzal|Ahmad Nauman Ghazi|Juha Itkonen|Richard Torkar|Anneliese Andrews|Khurram Iftikhar Bhatti,https://openalex.org/A5015132481|https://openalex.org/A5085857685|https://openalex.org/A5049069760|https://openalex.org/A5030588511|https://openalex.org/A5110129097|https://openalex.org/A5028140100,https://orcid.org/0000-0003-0611-2655|https://orcid.org/0000-0001-9336-4361|https://orcid.org/0000-0001-9084-495X|https://orcid.org/0000-0002-0118-8143||,SE|SE|FI|SE|US|SE,Mälardalen University|Blekinge Institute of Technology|Aalto University|Chalmers University of Technology|University of Gothenburg|University of Denver|Blekinge Institute of Technology,https://openalex.org/I82509713|https://openalex.org/I52719799|https://openalex.org/I9927081|https://openalex.org/I66862912|https://openalex.org/I881427289|https://openalex.org/I131651094|https://openalex.org/I52719799,True|False|False|False|False|False,other-oa,53,https://openalex.org/I82509713,An experiment on the effectiveness and efficiency of exploratory testing,https://doi.org/10.1007/s10664-014-9301-4,,5.04424778,False,en,True,green,Empirical Software Engineering,https://openalex.org/S109852484,1382-3256,journal,Software Testing and Debugging Techniques,2014-04-15,2014,article
https://openalex.org/W2480616346,Mark Micallef|Chris Porter|Andrea Borg,https://openalex.org/A5060524309|https://openalex.org/A5080361282|https://openalex.org/A5010298442,https://orcid.org/0000-0003-1092-041X|https://orcid.org/0000-0003-3813-2941|,MT|MT|MT,University of Malta|University of Malta|University of Malta,https://openalex.org/I197854408|https://openalex.org/I197854408|https://openalex.org/I197854408,True|False|False,,48,https://openalex.org/I197854408,Do Exploratory Testers Need Formal Training? An Investigation Using HCI Techniques,https://doi.org/10.1109/icstw.2016.31,,4.7113517,False,en,False,closed,,,,,Software Testing and Debugging Techniques,2016-04-01,2016,article
