DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.3389/fpsyt.2022.819623,Digital Therapeutic Alliance With Fully Automated Mental Health Smartphone Apps: A Narrative Review,"Fangziyun Tong, Reeva M. Lederman, Simon D’Alfonso, K. Berry, S. Bucci",Frontiers in Psychiatry,2022,"Fully automated mental health smartphone apps show strong promise in increasing access to psychological support. Therefore, it is crucial to understand how to make these apps effective. The therapeutic alliance (TA), or the relationship between healthcare professionals and clients, is considered fundamental to successful treatment outcomes in face-to-face therapy. Thus, understanding the TA in the context of fully automated apps would bring us insights into building effective smartphone apps which engage users. However, the concept of a digital therapeutic alliance (DTA) in the context of fully automated mental health smartphone apps is nascent and under-researched, and only a handful of studies have been published in this area. In particular, no published review paper examined the DTA in the context of fully automated apps. The objective of this review was to integrate the extant literature to identify research gaps and future directions in the investigation of DTA in relation to fully automated mental health smartphone apps. Our findings suggest that the DTA in relation to fully automated smartphone apps needs to be conceptualized differently to traditional face-to-face TA. First, the role of bond in the context of fully automated apps is unclear. Second, human components of face-to-face TA, such as empathy, are hard to achieve in the digital context. Third, some users may perceive apps as more non-judgmental and flexible, which may further influence DTA formation. Subdisciplines of computer science, such as affective computing and positive computing, and some human-computer interaction (HCI) theories, such as those of persuasive technology and human-app attachment, can potentially help to foster a sense of empathy, build tasks and goals and develop bond or an attachment between users and apps, which may further contribute to DTA formation in fully automated smartphone apps. Whilst the review produced a relatively limited quantity of literature, this reflects the novelty of the topic and the need for further research.",17227496,76,115,,
10.1080/15228053.2019.1637087,Challenges and facilitators practices for knowledge management in large-scale scrum teams,"Fernando Almeida, Emanuel Miranda, João Falcão",Journal of information technology case and application research,2019,"ABSTRACTSharing and managing knowledge is an essential resource for the success of a Scrum team. However, widely known knowledge management practices typically address only team level collaboration...",131456550,21,56,,
10.3389/fcomp.2025.1601621,Exploring the usability of platforms for individuals with visual impairments: a systematic literature review,"Fahrobby Adnan, Januar Adi Putra, Maulida Dwi Agustiningsih, Eva Oktaviana, Nabila Anjani Robi’atul Adawiyah",Frontiers in Computer Science,2025,"The digital platform’s usability is crucial for users but is often overlooked for those with visual impairments. The study aims to review and analyze the usability of platforms for users with visual impairments. The study is a Systematic Literature Review (SLR) that adapts the preferred reporting items for Systematic Reviews and Meta-Analysis (PRISMA) model to review 49 out of 137 publications from 2019 to 2023 indexed in Scopus. Key themes emerging from the analysis include accessibility, navigation, daily activities, screen division layout, and audio guidance. The success of platform implementation is evaluated using the System Usability Scale (SUS), Think Aloud, and Heuristic Evaluation. Building upon the exploration of 49 findings and categorization, a subsequent search is conducted for similar studies that can reinforce the strength of the arguments presented in the 49 studies. The analysis in the study is examined through research questions to provide a comprehensive and in-depth insight into the use of technology to enhance the quality of daily life for users with visual impairment. In addition to evaluating the success of platform implementation and popular evaluation methods, the systematic literature review explores the evolution of assistive technologies over the reviewed period and identifies emerging trends. The study delves into the ethical considerations surrounding developing and implementing technologies catering to individuals with visual impairments. The research aims to contribute not only to the usability aspects but also to the responsible and inclusive advancement of technology for users with visual impairments. In conclusion, this systematic literature review provides a comprehensive overview of the current state of usability in platforms designed for individuals with visual impairments. The findings of this study contribute valuable insights for designers, developers, and policymakers to enhance the inclusivity of platforms for users with visual impairments. Recommendations based on the identified themes aim to guide future research and development, fostering continuous improvement in usability and user experience for this often-neglected user demographic.",288942146,1,49,,
10.1080/15228053.2019.1637087,Challenges and facilitators practices for knowledge management in large-scale scrum teams,"F. Almeida, Emanuel Miranda, João Falcão",Journal of IT Cases and Applications,2019,"ABSTRACT Sharing and managing knowledge is an essential resource for the success of a Scrum team. However, widely known knowledge management practices typically address only team level collaboration, which cannot be easily scaled to multiple Scrum teams. In this sense, this paper conducts an empirical study at one of the largest information technology companies operating in Portugal, in which multiple Scrum teams working locally and in remote offices develops e-commerce solutions for the African market. Several facilitators’ knowledge practices are identified and discussed, and also the main challenges and difficulties of scaling Scrum practices for large-scale teams are addressed.",280102984,18,52,,
10.1109/re48521.2020.00043,Towards Semantically Guided Traceability,"Yalin Liu, Jinfeng Lin, Qingkai Zeng, Meng Jiang, J. Cleland-Huang",IEEE International Requirements Engineering Conference,2020,"In many regulated domains, traceability is established across diverse artifacts such as requirements, design, code, test cases, and hazards – either manually or with the help of supporting tools, and the resulting trace links are used to support activities such as impact analysis, compliance verification, and safety inspections. Automated tracing techniques need to leverage the semantics of underlying artifacts in order to establish more accurate trace links and to provide explanations of links that have been created in either a manual or automated fashion. To support this, we propose an automated technique which leverages source code, project artifacts and an external domain corpus to generate a domain-specific concept model. We then use the generated concept model to improve traceability results and to provide explanations of the results. Our approach overcomes existing problems with deep-learning traceability algorithms, as it does not require a training set of existing trace links. Finally, as an initial proof-of-concept, we apply our semantically-guided approach to the Dronology project, and show that it improves over other tracing techniques that do not use a concept model.",140434103,11,27,,
10.1016/j.jclepro.2025.145611,CirDEF: Standardised Information Framework to address the Information Needs of Circularity Indicators,"Ravindu Kahandawa, Ruchini Senarath Jayasinghe, Kasun Gomis",Journal of Cleaner Production,2025,(missing abstract),286577489,0,50,,
10.3389/fphar.2019.00415,Computational Advances in Drug Safety: Systematic and Mapping Review of Knowledge Engineering Based Approaches,"P. Natsiavas, A. Malousi, C. Bousquet, M. Jaulent, V. Koutkias",Frontiers in Pharmacology,2019,"Drug Safety (DS) is a domain with significant public health and social impact. Knowledge Engineering (KE) is the Computer Science discipline elaborating on methods and tools for developing “knowledge-intensive” systems, depending on a conceptual “knowledge” schema and some kind of “reasoning” process. The present systematic and mapping review aims to investigate KE-based approaches employed for DS and highlight the introduced added value as well as trends and possible gaps in the domain. Journal articles published between 2006 and 2017 were retrieved from PubMed/MEDLINE and Web of Science® (873 in total) and filtered based on a comprehensive set of inclusion/exclusion criteria. The 80 finally selected articles were reviewed on full-text, while the mapping process relied on a set of concrete criteria (concerning specific KE and DS core activities, special DS topics, employed data sources, reference ontologies/terminologies, and computational methods, etc.). The analysis results are publicly available as online interactive analytics graphs. The review clearly depicted increased use of KE approaches for DS. The collected data illustrate the use of KE for various DS aspects, such as Adverse Drug Event (ADE) information collection, detection, and assessment. Moreover, the quantified analysis of using KE for the respective DS core activities highlighted room for intensifying research on KE for ADE monitoring, prevention and reporting. Finally, the assessed use of the various data sources for DS special topics demonstrated extensive use of dominant data sources for DS surveillance, i.e., Spontaneous Reporting Systems, but also increasing interest in the use of emerging data sources, e.g., observational healthcare databases, biochemical/genetic databases, and social media. Various exemplar applications were identified with promising results, e.g., improvement in Adverse Drug Reaction (ADR) prediction, detection of drug interactions, and novel ADE profiles related with specific mechanisms of action, etc. Nevertheless, since the reviewed studies mostly concerned proof-of-concept implementations, more intense research is required to increase the maturity level that is necessary for KE approaches to reach routine DS practice. In conclusion, we argue that efficiently addressing DS data analytics and management challenges requires the introduction of high-throughput KE-based methods for effective knowledge discovery and management, resulting ultimately, in the establishment of a continuous learning DS system.",43887078,16,157,,
10.1007/s42979-020-00420-8,An Ontology-Based Approach to Automated Test Case Generation,"Shreya M. Banerjee, N. Debnath, A. Sarkar",SN Computer Science,2021,(missing abstract),276241862,8,2,,
10.1108/ijcs-09-2018-0024,Mobile devices compatibility testing strategy via crowdsourcing,"Qamar Naith, Fabio Ciravegna",International Journal in Computer Simulation,2018,"Purpose - This paper aims to support small mobile application development teams or companies performing testing on a large variety of operating systems versions and mobile devices to ensure their seamless working.  Design/Methodology/Approach - This paper proposes a Hybrid Crowdsourcing method that leverages the power of public crowd testers. This leads to generating a novel crowdtesting workflow DT-CT that focuses on developers and crowd testers as key elements in the testing process without the need for intermediate as managers or lead- ers. This workflow has been used on a novel crowdtesting platform (AskCrowd2Test). This platform enables testing the compatibility of mobile devices and applications at two different levels, High-level (device characteristics) or Low-level (code). Additionally, a Crowd-Powered Knowledge Base (CPKB) has been developed that stores testing re- sults, relevant issues, and their solutions.  Findings - The comparison of the presented DT-CT workflow with the common and most recent crowdtesting workflows showed that DT-CT may positively impact the test- ing process by reducing time-consumption and budget spend due to the direct interaction of developers and crowd testers.  Originality/value - To the authors’ knowledge, this paper is the first to propose crowdtesting workflow based on developers and public crowd testers without crowd man- agers or leaders, which light the beacon for future research in this field. Additionally, this work is the first that authorizes crowd testers with a limited level of experience to participate in the testing process, which helps in studying the behaviors and interaction of end-users with apps and obtain more concrete results.",122999961,3,17,,
10.1108/jkm-10-2022-0800,"Knowledge management in small and medium enterprises: a systematic literature review, bibliometric analysis, and research agenda","Emerson Ramos Cordeiro, F. H. Lermen, C. Mello, Alberto Ferraris, Katarina Valaskova",Journal of Knowledge Management,2023,"
Purpose
Knowledge management effects on business performances are of great importance for companies. Yet, they are still overlooked by current literature. Moreover, the use of methods for bibliometric reviews and content analysis reinforces the need for relevant work on the current state of knowledge management application. To this end, this study aims to identify the main barriers for the application of knowledge management in small and medium-sized enterprises. A research agenda is then proposed.


Design/methodology/approach
A systematic literature review was performed using data collection, bibliometric analysis and content analysis' steps. The sample used in this study contained 45 papers. For the bibliometric analysis, the authors used the bibliometrix (in RStudio). The content analysis was then performed to infer barriers, factors of relevance and an agenda of questions for future research.


Findings
The authors found that using knowledge management techniques to optimize business performance results in competitive advantages for small and medium-sized companies. This study contributes to both practitioners and academics by providing a list of 19 barriers, 12 factors and 36 research questions related to knowledge management in small and medium-sized companies to develop future theoretical and practical studies.


Originality/value
This study demonstrates the propensity and interest of small and medium-sized companies in using knowledge management. However, some barriers might make it difficult to implement this approach.
",263423382,50,96,,
