Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"A Fernandes Pereira, M Kalinowski…","Towards Lean Research Inception: Assessing Practical Relevance of Formulated Research Problems",2025,"Proceedings of the 29th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3756681.3757024","",143,"2026-01-23 18:15:17","","10.1145/3756681.3757024","","",,,,,0,0.00,0,3,1,"[Context] The lack of practical relevance in many Software Engineering (SE) research contributions is often rooted in oversimplified views of industrial practice, weak industry …","https://dl.acm.org/doi/pdf/10.1145/3756681.3757024","https://scholar.google.com/scholar?q=related:-BiNqIL5z-4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"G Daniel, C Hall, P Hammer, AA Macdonald…","Out of the Day Job: Perspectives of Industry Practitioners in Co-Design and Delivery of Software Engineering Courses",2025,"Proceedings of the 30th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3724363.3729090","",150,"2026-01-23 18:15:17","","10.1145/3724363.3729090","","",,,,,0,0.00,0,5,1,"Over more than two decades, The University of Glasgow has co-designed and delivered numerous software engineering focused courses with industry partners, covering both …","https://dl.acm.org/doi/pdf/10.1145/3724363.3729090","https://scholar.google.com/scholar?q=related:Nn7NT2t9R9kJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"Z Codabux, FH Fard","The Software Industry–Academia Collaboration: Novelty and Practice",2024,"IEEE Software","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10720340/","",156,"2026-01-23 18:15:17","","","","",,,,,0,0.00,0,2,2,"We reflect on our combined 15+ years of academic and industry experiences and collaborations with the software industry to discuss our perspectives from five dimensions …","","https://scholar.google.com/scholar?q=related:YOe4JejwMDwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"GP Gasca-Hurtado, LM Restrepo-Tamayo…","Software Process Improvement Training Strategy: Lean-Agile Case Study",2024,"… Conference on Software …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-71142-8_19","",160,"2026-01-23 18:15:17","","10.1007/978-3-031-71142-8_19","","",,,,,0,0.00,0,3,2,"Software process improvement is a topic of interest that permeates the processes of different economic sectors. One of the most relevant process improvement methodologies is Lean …","","https://scholar.google.com/scholar?q=related:ioAB2se-7ZIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"J Fernández-Castillo, J María Garcia…","Collaborative Multi-organization Information System Engineering Based on Team Practice Agreements",2025,"… Conference on Advanced …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-94569-4_14","",163,"2026-01-23 18:15:17","","10.1007/978-3-031-94569-4_14","","",,,,,0,0.00,0,3,1,"The development of complex information systems (IS) often requires collaboration between multiple engineering organizations, each contributing unique methodologies, tools, and …","","https://scholar.google.com/scholar?q=related:79nEPkbuZ54J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"B Cherry, J Bernard, T Kintziger, C Nagy…","A multivocal mapping study of mongoDB smells",2024,"… on Software Analysis …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10589863/","",169,"2026-01-23 18:15:17","","","","",,,,,0,0.00,0,5,2,"Code smells are symptoms of poor design or bad implementation choices. Their automatic detection is helpful for various reasons. For example, the detected smells can guide …","https://sonar.ch/documents/329705/files/Nagy_Lanza_2024_IEEE_SANER.pdf","https://scholar.google.com/scholar?q=related:toQRj69wVAcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Matz","Towards a Best Practice for Guiding Design and HCI Undergraduate Students Towards Thesis Topics with Creativity and Autonomy",2025,"International Conference on Human-Computer …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-93227-4_18","",172,"2026-01-23 18:15:17","","10.1007/978-3-031-93227-4_18","","",,,,,0,0.00,0,1,1,"Undergraduate students− and in my experience, particularly in Design and HCI− often struggle with selecting a thesis topic that is engaging, relevant, conscious of implications to …","","https://scholar.google.com/scholar?q=related:1vh_OLcX9FkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Menking, M Elswah, DJ Grüning, LH Hansen…","Bridging Boundaries: How to Foster Effective Research Collaborations Across Affiliations in the Field of Trust and Safety",2025,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2507.13008","",175,"2026-01-23 18:15:17","","","","",,,,,0,0.00,0,5,1,"As the field of Trust and Safety in digital spaces continues to grow, it has become increasingly necessary-but also increasingly complex-to collaborate on research across the …","https://arxiv.org/pdf/2507.13008","https://scholar.google.com/scholar?q=related:EHD6F39xdZYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"D Akdur","Software Industry Perception of Academic Collaboration",2024,"2024 9th International Conference on Computer …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10773510/","",176,"2026-01-23 18:15:17","","","","",,,,,0,0.00,0,1,2,"Software Engineering is shaped and used by both the industry and academia, whose goals and contributions are different. Since there are some mismatches in perceptions of software …","","https://scholar.google.com/scholar?q=related:KcBIl03w-P8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"S Agyefi-Mensah, M Kissi, BE Attom…","Triple Top Line Thinking for Triple Bottom Line Performance: Reflections on Outcomes of CCTU Eco-Guesthouse Business Plan Development",2025,"African Journal of …","ajaronline.com","https://ajaronline.com/index.php/AJAR/article/view/871","",179,"2026-01-23 18:15:17","HTML","","","",,,,,0,0.00,0,4,1,"Purpose: Using the case of a DAAD-sponsored Eco-Guesthouse project at Cape Coast Technical University, the study analysed the outcomes of a business plan development …","https://ajaronline.com/index.php/AJAR/article/view/871","https://scholar.google.com/scholar?q=related:_HhZAdYNbYEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"H Ye, N Sibia, AZ Bernuy, T Zhu, C Nobre, M Liut","ARC: Automated Review Companion Leveraging User-Centered Design for Systematic Literature Reviews",2024,"","files.osf.io","https://files.osf.io/v1/resources/8vsru_v1/providers/osfstorage/6717f3b195cbf38bddbfab52?action=download&direct&version=3","",181,"2026-01-23 18:15:17","PDF","","","",,,,,0,0.00,0,6,2,"Systematic literature reviews are foundational for advancing knowledge across research domains, yet their labor-intensive nature often limits their availability and efficiency. As a …","https://files.osf.io/v1/resources/8vsru_v1/providers/osfstorage/6717f3b195cbf38bddbfab52?action=download&direct&version=3","https://scholar.google.com/scholar?q=related:cagE7vySfTUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"T Dallegrave, C Rodrigues, D Marques…","Industry-Academia Collaboration (IAC): Preliminary Findings of a Tertiary Review",2025,"Iberian Conference on …","Springer","https://link.springer.com/chapter/10.1007/978-3-032-10721-3_26","",182,"2026-01-23 18:15:17","","10.1007/978-3-032-10721-3_26","","",,,,,0,0.00,0,4,1,"In the software industry, adaptability is critical for maintaining relevance and competitiveness. This goal is shared by the software engineering academic community …","","https://scholar.google.com/scholar?q=related:qsLDHiFVkIUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"T Anthuvan, S Prabhuram, K Maheshwari…","Reverse Sabbaticals 2.0: A Framework and Research Agenda for Bi-Directional Industry-Academia Collaboration (IAC) Centered on Curriculum Co-Creation",2025,"Available at SSRN …","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5394896","",185,"2026-01-23 18:15:17","","","","",,,,,0,0.00,0,4,1,"Abstract This paper presents Reverse Sabbaticals 2.0, a curriculum-centered framework developed to address persistent gaps between academic instruction and evolving industry …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5394896","https://scholar.google.com/scholar?q=related:NR1aCVvxJAMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"MML Chang, IPX Lee, JJF Kho","Exploring Interactive Tourism Data Visualization for Effective Decision-Making and Spatial-Temporal Analysis",2025,"2025 IEEE 15th Symposium on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11081117/","",187,"2026-01-23 18:15:17","","","","",,,,,0,0.00,0,3,1,"The tourism industry relies heavily on effective decision-making processes for both travelers and stakeholders alike. Information visualization plays a crucial role in facilitating these …","","https://scholar.google.com/scholar?q=related:m2PrdjsHYmUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"H Bruneliere","Continuous Model-Based Engineering of Software-Intensive Systems: Approaches, Frameworks, and Languages",2025,"","hal.science","https://hal.science/tel-05163548/","",191,"2026-01-23 18:15:17","","","","",,,,,0,0.00,0,1,1,"Software-Intensive Systems (SISs) are systems in which software influences, to a large extent, their whole engineering and execution. The progressive advent of continuous …","https://hal.science/tel-05163548/document","https://scholar.google.com/scholar?q=related:6d4Kiw9WM3cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"D Borst","Towards Developing a Comprehensive Methodical Framework for Evaluating Code Recommender Systems",2024,"","research.wu.ac.at","https://research.wu.ac.at/ws/portalfiles/portal/68013037/Research_Proposal.pdf","",208,"2026-01-23 18:15:17","PDF","","","",,,,,0,0.00,0,1,2,"The growing incorporation of code recommender systems is transforming software development, promising increased productivity, efficiency, and effectiveness through context …","https://research.wu.ac.at/ws/portalfiles/portal/68013037/Research_Proposal.pdf","https://scholar.google.com/scholar?q=related:od8Xlqex7t4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"DG Marques, WB Santos","OntoIAC: Ontological Modeling",2026,"Proceedings of 19th Iberian …","books.google.com","https://books.google.com/books?hl=en&lr=&id=XoGlEQAAQBAJ&oi=fnd&pg=PA245&ots=JJohqxZgKf&sig=nKJjNHQAoUqO591qEcYRW8hj114","",210,"2026-01-23 18:15:17","","","","",,,,,0,0.00,0,2,1,"One of the factors for the insertion of new technologies within the industry is research-development (R&D) developed by collabora-tions between industry and academia (Industry …","","https://scholar.google.com/scholar?q=related:TOWOeqv0JBoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"MH Tanzil","Guided Software Library Selection",2023,"","ucalgary.scholaris.ca","https://ucalgary.scholaris.ca/items/5a387666-e8dc-4dd5-b1e0-39da3c3dfc23","",214,"2026-01-23 18:15:17","","","","",,,,,0,0.00,0,1,3,"Selection of an appropriate reusable software library is a non-trivial task. Developers spend hours every day browsing information online for gathering knowledge on technology and …","https://ucalgary.scholaris.ca/bitstreams/611208c4-7315-4c2a-8361-5e3b929d4b44/download","https://scholar.google.com/scholar?q=related:AAO2-45raXAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"S Trina","A Comparative Study of Regression Testing Techniques: An Industry-Oriented Evaluation of Efficiency, Coverage and Cost",2025,"Journal of Innovation and Technology","eprints.intimal.edu.my","http://eprints.intimal.edu.my/2284/","",216,"2026-01-23 18:15:17","","","","",,,,,0,0.00,0,1,1,"Regression testing is an essential component of software maintenance, aimed at ensuring that newly introduced changes do not negatively impact the existing functionality of a …","http://eprints.intimal.edu.my/2284/1/joit2025_34.pdf","https://scholar.google.com/scholar?q=related:ogg4O55xODQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"R Kasauli, H Nyende, H Chongomweru…","Challenges of Conducting Research in Software Engineering: A case of graduate students in low resource contexts",2025,"2025 IEEE/ACM …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/11026912/","",217,"2026-01-23 18:15:17","","","","",,,,,0,0.00,0,4,1,"Software engineering in low-resourced countries is just gaining momentum. A considerable number of students enroll for the masters program at Makerere University in hope of …","","https://scholar.google.com/scholar?q=related:yaX-I8M1NY8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"T Dallegravel, D Marques…","Industry-Academia Collaboration (IAC): Preliminary Findings of",2026,"Proceedings of 19th …","books.google.com","https://books.google.com/books?hl=en&lr=&id=XoGlEQAAQBAJ&oi=fnd&pg=PA308&ots=JJohqxZgL8&sig=nkMxdIZeTC6M9roXdrB-9OKB3Dg","",219,"2026-01-23 18:15:17","","","","",,,,,0,0.00,0,3,1,"In the software industry, adaptability is critical for maintaining relevance and competitiveness. This goal is shared by the software engineering academic community …","","https://scholar.google.com/scholar?q=related:8p0GV-yTaMQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"D de Gois Marques…","Intelligent Platform for Industry-Academia Collaboration in Research Project and Researcher Prospecting",2025,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbsi_estendido/article/view/34625","",220,"2026-01-23 18:15:17","","","","",,,,,0,0.00,0,2,1,"One of the main factors influencing the adoption of new technologies in industry and government is the collaboration between Industry, Academia, and Government. Through …","https://sol.sbc.org.br/index.php/sbsi_estendido/article/download/34625/34416/","https://scholar.google.com/scholar?q=related:-xuvBLgtyh4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"S Pizard, D Vallespir, B Kitchenham","Evidence-based software engineering revisited: evaluation of a practice-driven application.",2024,"","","","",222,"2026-01-23 18:15:17","CITATION","","","",,,,,0,0.00,0,3,2,"","","https://scholar.google.com/scholar?q=related:Hn4vcWZBUCUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"RS Nadig, T Shukla, VS Nirban","Internships and Projects: Policy, Practices, and Prognosis",2024,"International Conference on Work …","Springer","https://link.springer.com/chapter/10.1007/978-981-96-0201-8_53","",225,"2026-01-23 18:15:17","","10.1007/978-981-96-0201-8_53","","",,,,,0,0.00,0,3,2,"Industry-facing curricula in higher education have been the cornerstone of academic discourse for the last two decades. The focus of the discourse has been centred on the …","","https://scholar.google.com/scholar?q=related:mgO6CmMRpFUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
