DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1145/3328778.3366948,Assessing Individual Contributions to Software Engineering Projects with Git Logs and User Stories,K. Buffardi,Technical Symposium on Computer Science Education,2020,"Software Engineering courses often incorporate large-scale projects with collaboration between students working in teams. However, it is difficult to objectively assess individual students when their projects are a product of collaborative efforts. This study explores measurements of individuals' contributions to their respective teams. I analyzed ten Software Engineering team projects (n=42) and evaluations of individual contributions using automated evaluation of the version control system history (Git logs) and user stories completed on their project management (Kanban) boards. Unique insights from meta-data within the Git history and Kanban board user stories reveal complicated relationships between these measurements and traditional assessments, such as peer review and subjective instructor evaluation. From the results, I suggest supplementing and validating traditional assessments with insights from individuals' commit history and user story contributions.",218793951,36,30,,
10.48550/arxiv.2204.03366,Impact of Software Engineering Research in Practice,"Zoe Kotti, Georgios Gousios, D. Spinellis",ArXiv,2022,"—Existing work on the practical impact of software engineering (SE) research examines industrial relevance rather than adoption of study results, hence the question of how results have been practically applied remains open. To answer this and investigate the outcomes of impactful research, we performed a quantitative and qualitative analysis of 4335 SE patents citing 1668 SE papers published between 1975–2017. Moreover, we conducted a survey study on 413 authors of 501 top-cited and awarded publications, achieving 25% response rate. Overall, researchers have equipped practitioners with various tools, processes, and methods, and improved many existing products. SE practice seems to value knowledge-seeking research and is impacted by diverse cross-disciplinary SE areas. Practitioner-oriented publication venues appear more impactful than researcher–, while industry-related tracks in conferences could enhance their impact. Some research works did not reach a wide footprint due to limited funding resources or unfavorable cost-beneﬁt tradeoff of the proposed solutions. The need for higher funding in SE research could be corroborated through a dedicated empirical study. In general, the assessment of impact is subject to its deﬁnition. Therefore, academia and industry could jointly agree on a formal description to set a common ground for subsequent research on the topic. CCS concepts are Software testing and debugging (29%—110), Software development process management (19%—74), Software management (14%—54), Software maintenance (12%—48), Designing software (12%—47), Program veriﬁcation (11%—41), Software design techniques (11%—41), Formal software veriﬁcation (11%—41), Development frameworks and environments (10%—40), and Software veriﬁcation (8%—30).",242421138,0,84,,
10.1109/educon.2018.8363419,Business and management of games: An industry driven learning experience for MIS students,"D. Ktoridou, Elli Doukanari, Achilleas Karayiannis, E. Epaminonda, C. Christou",2018 IEEE Global Engineering Education Conference (EDUCON),2018,"Industry employers have traditionally been involved with the academia serving in advisory boards and as internship providers. In both cases, their involvement contributes to the development of undergraduate and graduate program curriculums and offering general advice on workforce skills and competencies. This paper describes the collaboration efforts among the Department of Management and MIS of the University of Nicosia, guest lecturers from various disciplines and Game Industry Experts in the creation and implementation of the new industry-driven MIS-465 Business and Management of Games Course. More specifically, the study reports on the design, development and implementation of the course with Game Industry Experts and guest lecturers from other fields playing an active role. Organizational, pedagogical and practical ideas associated with the immersion of students in an industry-driven course are addressed. A suggested framework is presented for educators who want to deliver industry-driven courses.",61135187,1,9,,
10.1145/3643664.364820,Revisiting the Construct and Assessment of Industrial Relevance in Software Engineering Research,"Kai Petersen, Jürgen Börstler, N. Ali, Emelie Engström",2024 IEEE/ACM International Workshop on Methodological Issues with Empirical Studies in Software Engineering (WSESE),2024,"Industrial relevance is essential for an applied research area like software engineering. However, it is unclear how to achieve industrial relevance and how we communicate and assess it. We propose a reasoning framework to support the design, reporting, and assessment of research for industrial relevance.",279229694,2,18,,
10.1145/3210459.3210462,The Role of Rapid Reviews in Supporting Decision-Making in Software Engineering Practice,"Bruno Cartaxo, G. Pinto, S. Soares",International Conference on Evaluation & Assessment in Software Engineering,2018,"Context: Recent work on Evidence Based Software Engineering (EBSE) suggests that systematic reviews lack connection with Software Engineering (SE) practice. In Evidence Based Medicine there is a growing initiative to address this kind of problem, in particular through what has been named as Rapid Reviews (RRs). They are adaptations of regular systematic reviews made to fit practitioners constraints. Goal: Evaluate the perceptions from SE practitioners on the use of Rapid Reviews to support decision-making in SE practice. Method: We conducted an Action Research to evaluate RRs insertion in a real-world software development project. Results: Our results show that practitioners are rater positive about Rapid Reviews. They reported to have learned new concepts, reduced time and cost of decision-making, improved their understanding about the problem their facing, among other benefits. Additionally, two months after the introduction of the Rapid Review, in a follow up visit, we perceived that the practitioners have indeed adopted the evidence provided. Conclusions: Based on the positive results we obtained with this study, and the experiences reported in medicine, we believe RRs could play an important role towards knowledge transfer and decision-making support in SE practice.",95624051,96,74,,
10.1109/ms.2019.2914663,Successful Engagement of Practitioners and Software Engineering Researchers: Evidence From 26 International Industry–Academia Collaborative Projects,"V. Garousi, D. Shepherd, Kadir Herkiloglu",IEEE Software,2020,"There has been a push to increase the practical relevance and impact of software engineering research. Although many practitioners and researchers agree that this change is desirable, thus far, only a few concrete actions have been taken by the community. In this article, we present our experiences with a large number of collaborative research projects that have had a practical (industrial) impact.",261249749,14,29,,
10.1080/08993408.2022.2071543,Assessing individual contributions to software engineering projects: a replication study,"C. Hundhausen, Phill Conrad, A. S. Carter, Olusola O. Adesope",Computer Science Education,2022,"ABSTRACT Background and Context Assessing team members’ indivdiual contributions to software development projects poses a key problem for computing instructors. While instructors typically rely on subjective assessments, objective assessments could provide a more robust picture. To explore this possibility, In a 2020 paper, Buffardi presented a correlational analysis of objective metrics and subjective metrics in an advanced software engineering project course (n= 41 students and 10 teams), finding only two significant correlations. Objective To explore the robustness of Buffardi’s findings and gain further insight, we conducted a larger scale replication of the Buffardi study (n = 118 students and 25 teams) in three courses at three institutions. Method We collected the same data as in the Buffardi study and computed the same measures from those data. We replicated Buffardi’s exploratory, correlational and regression analyses of objective and subjective measures. Findings While replicating four of Buffardi’s five significant correlational findings and partially replicating the findings of Buffardi’s regression analyses, our results go beyond those of Buffardi by identifying eight additional significant correlations. Implications In contrast to Buffardi’s study, our larger scale study suggests that subjective and objective measures of individual performance in team software development projects can be fruitfully combined to provide consistent and complementary assessments of individual performance.",201629156,6,46,,
10.1109/tse.2022.3171202,Data Preparation for Software Vulnerability Prediction: A Systematic Literature Review,"Roland Croft, Yongzhen Xie, M. A. Babar",IEEE Transactions on Software Engineering,2021,"Software Vulnerability Prediction (SVP) is a data-driven technique for software quality assurance that has recently gained considerable attention in the Software Engineering research community. However, the difficulties of preparing Software Vulnerability (SV) related data is considered as the main barrier to industrial adoption of SVP approaches. Given the increasing, but dispersed, literature on this topic, it is needed and timely to systematically select, review, and synthesize the relevant peer-reviewed papers reporting the existing SV data preparation techniques and challenges. We have carried out a Systematic Literature Review (SLR) of SVP research in order to develop a systematized body of knowledge of the data preparation challenges, solutions, and the needed research. Our review of the 61 relevant papers has enabled us to develop a taxonomy of data preparation for SVP related challenges. We have analyzed the identified challenges and available solutions using the proposed taxonomy. Our analysis of the state of the art has enabled us identify the opportunities for future research. This review also provides a set of recommendations for researchers and practitioners of SVP approaches.",235535173,50,134,,
10.5753/educomp.2024.237414,Ensino de Processo de Software em Colaboração com Empresas: Uma Experiência Potencialmente Extensionista,A. Bordin,Anais do IV Simpósio Brasileiro de Educação em Computação (EDUCOMP 2024),2024,"O ensino de Engenharia de Software se torna mais efetivo quando realizado por meio de experiências práticas reais. Propiciar esse tipo de experiência demanda articular colaborações com empresas e pode se caracterizar como uma prática extensionista a ser utilizada para fins de creditação curricular. Este artigo relata uma experiência de ensino de processo de software onde os estudantes, por meio de uma metodologia ativa de aprendizagem, modelaram processos de desenvolvimento de empresas desenvolvedoras de software e identificaram oportunidades de melhoria. O trabalho de modelagem e análise de processos de desenvolvimento de software desenvolvido pelos grupos de estudantes produziu resultados práticos que são compartilhados neste artigo. A experiência foi avaliada em relação aos aspectos positivos e desafiadores pelos alunos e pela professora. Na percepção dos estudantes a experiência foi positiva porque propiciou a oportunidade de entrar em contato com processos de desenvolvimentos em cenários reais. Na visão da professora, a experiência auxiliou na formação dos estudantes, assim como estreitou as relações com as empresas de desenvolvimento da região, aumentando as possibilidades de ações extensionistas curricularizadas envolvendo essa comunidade.",292971523,1,14,,
10.1109/access.2024.3356349,Towards a Taxonomy of Industrial Challenges and Enabling Technologies in Industry 4.0,"Roberto Figliè, Riccardo Amadio, Marios Tyrovolas, Chrysostomos Stylios, Łukasz Paśko, Dorota Stadnicka, Anna Carreras-Coch, Agustín Zaballos, Joan Navarro, Daniele Mazzei",IEEE Access,2024,(missing abstract),291704966,0,47,,
