Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"C Hu, S Ma, W Yang, Z Sun, F Deng…","Software Test Data Reuse Based on Domain Ontology Construction",2021,"2021 IEEE 21st …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9742049/","",13,"2026-01-15 11:35:05","","","","",,,,,0,0.00,0,6,5,"CPS software has more specific defects and coupling defects than traditional computer systems. The testing and validation of CPS software are seriously affected by the cognitive …","","https://scholar.google.com/scholar?q=related:_hio8E3UPVwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"S Vasanthapriyan","Investigating Software Testing Practices in Software Development Organizations: Sri Lankan Experience",2020,"Software Engineering for Agile Application …","igi-global.com","https://www.igi-global.com/chapter/investigating-software-testing-practices-in-software-development-organizations/250446","",16,"2026-01-15 11:35:05","","","","",,,,,0,0.00,0,1,6,"Software testing, which is a knowledge-intensive and collaborative activity, is a sub-area of software engineering. Software testing knowledge can be applied to different testing tasks …","","https://scholar.google.com/scholar?q=related:IFAtLmWm1GQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"DES Duran, AXR Gamboa, JJ Builes","Application of Knowledge Management to the software testing process",,"revistaespacios.com","","https://www.revistaespacios.com/a17v38n43/a17v38n43p20.pdf","",18,"2026-01-15 11:35:05","PDF","","","",,,,,0,0.00,0,3,,"In the software life cycle, testing is a relevant activity that contributes to product quality and is fundamentally supported by knowledge. Consequently, knowledge management integrated …","https://www.revistaespacios.com/a17v38n43/a17v38n43p20.pdf","https://scholar.google.com/scholar?q=related:tO5X2uZmu3MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"DE SOTO, AX REYES, J JIMÉNEZ","Application of Knowledge Management to the software testing process",2017,"Revista ESPACIOS","revistaespacios.com","https://www.revistaespacios.com/a17v38n43/17384320.html","",19,"2026-01-15 11:35:05","HTML","","","",,,,,0,0.00,0,3,9,"In the software life cycle, testing is a relevant activity that contributes to product quality and is fundamentally supported by knowledge. Consequently, knowledge management integrated …","https://www.revistaespacios.com/a17v38n43/17384320.html","https://scholar.google.com/scholar?q=related:mKb-W8umuWkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"LA Perona Ossaba, JE Velásquez Isaza","Gestión de conocimiento: la solución para disminuir el reproceso en las pruebas de software",2012,"Ingenierías USBMed","metarevistas.org","https://www.metarevistas.org/Record/metarevistapublica_unisanbuenaventura_ingenieriasusbmed_57_article_274","",20,"2026-01-15 11:35:05","","","","",,,,,0,0.00,0,2,14,"La gestión de conocimiento se ha convertido en una clave fundamental en los procesos de la ingeniería de software, permitiendo mejorar y optimizar cada una de las actividades que …","","https://scholar.google.com/scholar?q=related:po3-DerTBKgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"DS Alves, DJ Smek, ÉF Souza, KR Felizardo…","Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations",2024,"Proceedings of the XXIII …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3701625.3701652","https://scholar.google.com/scholar?cites=11527204463441764604&as_sdt=2005&sciodt=0,5&hl=en",8,"2026-01-15 11:35:05","","10.1145/3701625.3701652","","",,,,,1,0.50,0,5,2,"Context: In the rapidly evolving software development landscape, organizations face the constant challenge to work with the generated knowledge. Knowledge Management (KM) …","https://dl.acm.org/doi/pdf/10.1145/3701625.3701652","https://scholar.google.com/scholar?q=related:_GC-wGLb-J8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"MM Shongwe","Knowledge Management in Learning Software SMMEs in KwaZulu-Natal, South Africa",2017,"","University of KwaZulu-Natal …","","https://scholar.google.com/scholar?cites=9984507623225451688&as_sdt=2005&sciodt=0,5&hl=en",12,"2026-01-15 11:35:05","CITATION","","","",,,,,1,0.11,1,1,9,"","","https://scholar.google.com/scholar?q=related:qGSIe8gYkIoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"MM Shongwe","The role of knowledge management in facilitating learning in software organisations",2015,"Proceedings Of The European Conference On E …","books.google.com","https://books.google.com/books?hl=en&lr=&id=pMg6CgAAQBAJ&oi=fnd&pg=PA151&ots=2RrR41TRup&sig=1mPTGdcjLnDL192hq6j5W6IL0dA","https://scholar.google.com/scholar?cites=14626530128093562841&as_sdt=2005&sciodt=0,5&hl=en",14,"2026-01-15 11:35:05","","","","",,,,,1,0.09,1,1,11,"Software organisations have been experiencing software development failures since the start of software development. These failures include among others abandoned and …","","https://scholar.google.com/scholar?q=related:2ceQJajf-8oJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"T Abdou, P Grogono, P Kamthan","Managing knowledge in open source software test process",2015,"Open Source Technology …","igi-global.com","https://www.igi-global.com/chapter/managing-knowledge-in-open-source-software-test-process/120949","https://scholar.google.com/scholar?cites=4145637716468355941&as_sdt=2005&sciodt=0,5&hl=en",15,"2026-01-15 11:35:05","","","","",,,,,1,0.09,0,3,11,"The increasing adoption and use of Open Source Software (OSS) motivates study of its development. This chapter explores the state-of-the art in OSS development processes, in …","","https://scholar.google.com/scholar?q=related:ZdOO4YlDiDkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"T Garrepalli","Knowledge Management in software testing",2015,"","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:869051","https://scholar.google.com/scholar?cites=15581790248248607548&as_sdt=2005&sciodt=0,5&hl=en",11,"2026-01-15 11:35:05","HTML","","","",,,,,2,0.18,2,1,11,"Knowledge Management in Software Testing diva-portal.org Digitala Vetenskapliga Arkivet Simple search Advanced search - Research publicationsAdvanced search - Student theses …","https://www.diva-portal.org/smash/record.jsf?pid=diva2:869051","https://scholar.google.com/scholar?q=related:PAOBx6yjPdgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
