Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
55,"Z Kotti, R Galanopoulou, D Spinellis","Machine learning for software engineering: A tertiary study",2023,"ACM Computing Surveys","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3572905","https://scholar.google.com/scholar?cites=12420204465572163434&as_sdt=2005&sciodt=0,5&hl=en",1,"2025-11-13 00:32:51","","10.1145/3572905","","",,,,,55,27.50,18,3,2,"Machine learning (ML) techniques increase the effectiveness of software engineering (SE) lifecycle activities. We systematically collected, quality-assessed, summarized, and …","https://arxiv.org/pdf/2211.09425","https://scholar.google.com/scholar?q=related:ai8mCChuXawJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
21,"J Gong, T Chen","Deep configuration performance learning: A systematic survey and taxonomy",2024,"ACM Transactions on Software Engineering and …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3702986","https://scholar.google.com/scholar?cites=8074685729808704455&as_sdt=2005&sciodt=0,5&hl=en",2,"2025-11-13 00:32:51","","10.1145/3702986","","",,,,,21,21.00,11,2,1,"Performance is arguably the most crucial attribute that reflects the quality of a configurable software system. However, given the increasing scale and complexity of modern software …","https://dl.acm.org/doi/pdf/10.1145/3702986","https://scholar.google.com/scholar?q=related:x-MpxuMLD3AJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"J Wen, Z Chen, Z Zhu, F Sarro, Y Liu, H Ping…","LLM-Based Misconfiguration Detection for AWS Serverless Computing",2025,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3745766","https://scholar.google.com/scholar?cites=11050723989047383032&as_sdt=2005&sciodt=0,5&hl=en",3,"2025-11-13 00:32:51","","10.1145/3745766","","",,,,,8,8.00,1,7,1,"Serverless computing is a popular cloud computing paradigm that enables developers to build applications at the function level, known as serverless applications. The Serverless …","https://dl.acm.org/doi/pdf/10.1145/3745766","https://scholar.google.com/scholar?q=related:-JMONusOXJkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
30,"M Acher, JG Duarte, JM Jézéquel","On programming variability with large language model-based assistant",2023,"Proceedings of the 27th ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3579027.3608972","https://scholar.google.com/scholar?cites=17858884368761448621&as_sdt=2005&sciodt=0,5&hl=en",4,"2025-11-13 00:32:51","","10.1145/3579027.3608972","","",,,,,30,15.00,10,3,2,"Programming variability is central to the design and implementation of software systems that can adapt to a variety of contexts and requirements, providing increased flexibility and …","https://inria.hal.science/hal-04153310/document","https://scholar.google.com/scholar?q=related:rWjNhLaA1_cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
57,"A Uchôa, C Barbosa, D Coutinho…","Predicting design impactful changes in modern code review: A large-scale empirical study",2021,"2021 IEEE/ACM 18th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9463137/","https://scholar.google.com/scholar?cites=1445549515025068713&as_sdt=2005&sciodt=0,5&hl=en",5,"2025-11-13 00:32:51","","","","",,,,,57,14.25,14,4,4,"Companies have adopted modern code review as a key technique for continuously monitoring and improving the quality of software changes. One of the main motivations for …","https://anderson-uchoa.github.io/publications/UchoaBCOARVAPOG21.pdf","https://scholar.google.com/scholar?q=related:qbJOBKCfDxQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
42,"MS Iqbal, R Krishna, MA Javidian, B Ray…","Unicorn: Reasoning about configurable system performance through the lens of causality",2022,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3492321.3519575","https://scholar.google.com/scholar?cites=14022433746606485730&as_sdt=2005&sciodt=0,5&hl=en",6,"2025-11-13 00:32:51","","10.1145/3492321.3519575","","",,,,,42,14.00,8,5,3,"Modern computer systems are highly configurable, with the total variability space sometimes larger than the number of atoms in the universe. Understanding and reasoning about the …","https://dl.acm.org/doi/pdf/10.1145/3492321.3519575","https://scholar.google.com/scholar?q=related:4vDt0DKxmcIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
55,"H Martin, M Acher, JA Pereira, L Lesoil…","Transfer learning across variants and versions: The case of linux kernel size",2021,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9555247/","https://scholar.google.com/scholar?cites=6706049674590151008&as_sdt=2005&sciodt=0,5&hl=en",7,"2025-11-13 00:32:51","","","","",,,,,55,13.75,11,5,4,"With large scale and complex configurable systems, it is hard for users to choose the right combination of options (ie, configurations) in order to obtain the wanted trade-off between …","https://inria.hal.science/hal-03358817/document","https://scholar.google.com/scholar?q=related:YOERHKasEF0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
57,"AB Suhaim, J Berri","Context-aware recommender systems for social networks: review, challenges and opportunities",2021,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9399450/","https://scholar.google.com/scholar?cites=5964075478649766779&as_sdt=2005&sciodt=0,5&hl=en",8,"2025-11-13 00:32:51","","","","",,,,,57,14.25,29,2,4,"Context-aware recommender systems dedicated to online social networks experienced noticeable growth in the last few years. This has led to more research being done in this …","https://ieeexplore.ieee.org/iel7/6287639/9312710/09399450.pdf","https://scholar.google.com/scholar?q=related:e4OJfgynxFIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
21,"M Acher, J Martinez","Generative ai for reengineering variants into software product lines: an experience report",2023,"Proceedings of the 27th ACM International …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3579028.3609016","https://scholar.google.com/scholar?cites=4778544148019206326&as_sdt=2005&sciodt=0,5&hl=en",9,"2025-11-13 00:32:51","","10.1145/3579028.3609016","","",,,,,21,10.50,11,2,2,"The migration and reengineering of existing variants into a software product line (SPL) is an error-prone and time-consuming activity. Many extractive approaches have been proposed …","https://inria.hal.science/hal-04160693/file/FromVariants2SPLWithLLM%20%282%29.pdf","https://scholar.google.com/scholar?q=related:ttg0tpXMUEIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
10,"P Chen, J Gong, T Chen","Accuracy can lie: On the impact of surrogate model in configuration tuning",2025,"IEEE Transactions on Software …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10832565/","https://scholar.google.com/scholar?cites=12646802986948100461&as_sdt=2005&sciodt=0,5&hl=en",10,"2025-11-13 00:32:51","","","","",,,,,10,10.00,3,3,1,"To ease the expensive measurements during configuration tuning, it is natural to build a surrogate model as the replacement of the system, and thereby the configuration …","https://ieeexplore.ieee.org/iel8/32/4359463/10832565.pdf","https://scholar.google.com/scholar?q=related:bQFknU94gq8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
