DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),Development of an Ontology-based Approach for Knowledge Management in Software Testing,"É. Souza, R. Falbo, N. Vijaykumar, K. Felizardo, G. V. Meinerz, Marcos S. Specimille, Alexandre G. N. Coelho",Journal of Software Engineering Research and Development,2021,"Software development organizations are seeking to add quality to their products. Testing processes are strategic elements to manage projects and product quality. However, advances in technology and the emergence of increasingly critical applications make testing a complex task and large volumes of information are generated. In fact, software testing is a knowledge intensive process. Because of this, these organizations have shown a growing interest in Knowledge Management (KM) programs, which in turn support the improvement of testing procedures. KM emerges as a means to manage testing knowledge, and, consequently, to improve software quality. However, there are only a few KM solutions supporting software testing. This paper reports experiences from the development of an approach, called Ontology-based Testing Knowledge Management (OntoT-KM), that aims to assist in launching KM initiatives in the software testing domain with the support of Knowledge Management Systems (KMSs).  OntoT-KM provides a process guiding how to start applying KM in software testing. OntoT-KM is based on the findings of a systematic mapping on KM in software testing and the results of a survey with testing practitioners. Moreover, OntoT-KM considers the conceptualization established by a Reference Ontology on Software Testing (ROoST). As a proof of concept, OntoT-KM was applied to develop a KMS called Testing KM Portal (TKMP), which was evaluated in terms of usefulness, usability, and functional correctness. Results show that the developed KMS from OntoT-KM is a potential system for managing knowledge in software testing, so, the approach can guide KM initiatives in software testing.",262449977,2,59,(missing PubMedId)
(missing DOI),An integrated model for effective knowledge management in Chinese organizations,"X. An, Hepu Deng, Yiwen Wang, Lemen Chao",Program,2013,"– The purpose of this paper is to provide organizations in the Chinese cultural context with a conceptual model for an integrated adoption of existing knowledge management (KM) methods and to improve the effectiveness of their KM activities., – A comparative analysis is conducted between China and the western world based on a comprehensive document analysis from key databases available. In total, four critical dimensions, which are identified through the review of the related literature including observation, methodology, systems and applications, are used in the analysis for addressing the questions of why, what, how, and where in KM., – The paper rationalizes the need for this study in conformity with the emerging trend of an integrated use of diverse KM methods and approaches for effective KM in organizations. Further, a reference model for the integrated adoption of existing KM methods is developed with respect to the characteristics of the Chinese culture for improving the effectiveness of KM activities in the organizations. Such a model can adequately address the questions of why, what, how, and where in KM in Chinese organizations to the best of Chinese collective interest, which provides more comprehensive and unified KM views, activities, processes and technologies for collaborative innovation in Chinese organizations., – This paper is the first of its kind to systematically review existing KM methods and approaches with respect to the perspectives of observations, methodologies, systems and applications for effective KM in Chinese organizations.",230623359,12,57,(missing PubMedId)
10.1016/J.JSS.2019.110485,A systematic literature review on semantic web enabled software testing,"Mahboubeh Dadkhah, Saeed Araban, Samad Paydar",Journal of Systems and Software,2020,"Abstract   Software testing, as a major verification and validation activity which revolves around quality tests, is a knowledge-intensive activity. Hence, it is reasonable to expect that it can be improved by effective application of semantic web technologies, e.g., ontologies, which have been frequently used in knowledge engineering activities.  The objective of this work is to investigate and provide a better understanding of how semantic web enabled techniques, i.e., the techniques that are based on the effective application of the semantic web technologies, have been used to support software testing activities. For this purpose, a Systematic Literature Review based on a predefined procedure is conducted. A total of 52 primary studies were identified as relevant, which have undergone a thorough meta-analysis with regards to our posed research questions.  This study indicates the benefits of semantic web enabled software testing in both industry and academia. It also identifies main software testing activities that can benefit from the semantic web enabled techniques. Furthermore, contributions of such techniques to the testing process are thoroughly examined. Finally, potentials and difficulties of applying these techniques to software testing, along with the promising research directions are discussed.",e18847dc-a14c-4a2a-8db2-d5887c1653bc,39,170,(missing PubMedId)
(missing DOI),A knowledge management approach for testing open source software systems,"Tamer Abdou, Pankaj Kamthan",2014 IEEE 33rd International Performance Computing and Communications Conference (IPCCC),2014,"The development of open source software (OSS), and their deployment by general public as well as by different types of organizations, has increased manifold over the past decade or so. In spite of the ubiquity of OSS, the quality of many OSS remains questionable. Testing provides a curative approach for OSS quality assurance, and a comprehensive approach to testing is a knowledge-intensive endeavor. The management of knowledge in the OSS test process forms a perpetual cycle of creation, dissemination, and acquisition of test knowledge.",185671534,3,7,(missing PubMedId)
(missing DOI),An Integrated Model for Effective Knowledge Management in Chinese Organizations.,"Xiaomi An, Hepu Deng, Yiwen Wang, Lemen Chao",Program: Electronic Library and Information Systems,2013,"– The purpose of this paper is to provide organizations in the Chinese cultural context with a conceptual model for an integrated adoption of existing knowledge management (KM) methods and to improve the effectiveness of their KM activities., – A comparative analysis is conducted between China and the western world based on a comprehensive document analysis from key databases available. In total, four critical dimensions, which are identified through the review of the related literature including observation, methodology, systems and applications, are used in the analysis for addressing the questions of why, what, how, and where in KM., – The paper rationalizes the need for this study in conformity with the emerging trend of an integrated use of diverse KM methods and approaches for effective KM in organizations. Further, a reference model for the integrated adoption of existing KM methods is developed with respect to the characteristics of the Chinese culture for improving the effectiveness of KM activities in the organizations. Such a model can adequately address the questions of why, what, how, and where in KM in Chinese organizations to the best of Chinese collective interest, which provides more comprehensive and unified KM views, activities, processes and technologies for collaborative innovation in Chinese organizations., – This paper is the first of its kind to systematically review existing KM methods and approaches with respect to the perspectives of observations, methodologies, systems and applications for effective KM in Chinese organizations.",183499016,6,43,(missing PubMedId)
(missing DOI),Investigating Software Testing Practices in Software Development Organizations: Sri Lankan Experience,Shanmuganathan Vasanthapriyan,Advances in computer and electrical engineering book series,2019,(missing abstract),172164701,0,24,(missing PubMedId)
(missing DOI),Knowledge management for new product development,"M. Pitt, Jason MacVaugh",J. Knowl. Manag.,2008,"Purpose – The purpose of this paper is to present a holistic interpretation of the scope of knowledge management processes whose intent is to enhance the effectiveness of new product development (NPD).Design/methodology/approach – The paper reviews key concepts in NPD and knowledge management (KM), leading to propositions about the effective management of NPD‐relevant knowledge. It develops a structured, holistic model of organizational KM including practical mechanisms and processes for managing knowledge transfer.Findings – Effective knowledge management needs to: acknowledge the multiple organizational levels at which knowledge is deployed; support the production, elicitation and exchange of tacit knowledge as well as explicit, codified information; hence accommodate and enable both informal and formal, typically IS/IT enabled knowledge processes.Practical implications – KM is work‐in‐progress, not a one‐time search for an idealised state. Computer‐enabled information systems are necessary but not suff...",148079023,88,58,(missing PubMedId)
(missing DOI),Situation identification system in the software testing,"Eugene Burov, K. Mykich, O. Veres, V. Lytvyn","Vìsnik Nacìonalʹnogo unìversitetu ""Lʹvìvsʹka polìtehnìka"". Serìâ Ìnformacìjnì sistemi ta merežì",2019,(missing abstract),122828270,1,14,(missing PubMedId)
(missing DOI),Knowledge management in software testing : A systematic snowball literature review,"Krzysztof Wnuk, Thrinay Garrepalli",e-Informatica Software Engineering Journal,2018,"Background: Software testing benefits from the usage of Knowledge Management (KM) methods and principles. Thus, there is a need to adopt KM to the software testing core processes and attain the ben ...",103960947,31,48,(missing PubMedId)
(missing DOI),Managing Knowledge in Open Source Software Test Process,"Tamer Abdou, Peter Grogono, Pankaj Kamthan",IGI Global eBooks,2014,"The increasing adoption and use of Open Source Software (OSS) motivates study of its development. This chapter explores the state-of-the art in OSS development processes, in general, and OSS testing processes, in particular. A conceptual model for software Testing Knowledge Management (TKM) that aims to provide an understanding of the testing domain is introduced. The TKM model is informed by earlier studies and guided by international testing standards. Moreover, the TKM model is equipped with different forms of knowledge, reusable across software projects. Using the TKM model as an integrative conceptual model enables understanding of how knowledge life cycle stages are mapped onto the test process of OSS, what type of knowledge is created at each stage, and how knowledge is converted from one stage to another. The chapter is supported by representative examples of OSS that are mature and currently in widespread use.",99381771,5,28,(missing PubMedId)
