title,abstract,authors,year,venue,journal,url,isOpenAccess,openAccessPdf,citationCount,referenceCount,isInfluential,publicationTypes,fieldsOfStudy,externalIds,influentialCitationCount,authors_names,publicationTypes_str,externalIds_str
Development of an Ontology-based Approach for Knowledge Management in Software Testing,"Software development organizations are seeking to add quality to their products. Testing processes are strategic elements to manage projects and product quality. However, advances in technology and the emergence of increasingly critical applications make testing a complex task and large volumes of information are generated. In fact, software testing is a knowledge intensive process. Because of this, these organizations have shown a growing interest in Knowledge Management (KM) programs, which in turn support the improvement of testing procedures. KM emerges as a means to manage testing knowledge, and, consequently, to improve software quality. However, there are only a few KM solutions supporting software testing. This paper reports experiences from the development of an approach, called Ontology-based Testing Knowledge Management (OntoT-KM), that aims to assist in launching KM initiatives in the software testing domain with the support of Knowledge Management Systems (KMSs).  OntoT-KM provides a process guiding how to start applying KM in software testing. OntoT-KM is based on the findings of a systematic mapping on KM in software testing and the results of a survey with testing practitioners. Moreover, OntoT-KM considers the conceptualization established by a Reference Ontology on Software Testing (ROoST). As a proof of concept, OntoT-KM was applied to develop a KMS called Testing KM Portal (TKMP), which was evaluated in terms of usefulness, usability, and functional correctness. Results show that the developed KMS from OntoT-KM is a potential system for managing knowledge in software testing, so, the approach can guide KM initiatives in software testing.","[{'authorId': '23181320', 'name': 'É. Souza'}, {'authorId': '143967990', 'name': 'R. Falbo'}, {'authorId': '1703620', 'name': 'N. Vijaykumar'}, {'authorId': '1757650', 'name': 'K. Felizardo'}, {'authorId': '3433873', 'name': 'G. V. Meinerz'}, {'authorId': '2052012968', 'name': 'Marcos S. Specimille'}, {'authorId': '2052013081', 'name': 'Alexandre G. N. Coelho'}]",2021,Journal of Software Engineering Research and Development,"{'volume': '9', 'pages': '12:1-12:21', 'name': 'J. Softw. Eng. Res. Dev.'}",https://www.semanticscholar.org/paper/2347aeade3615c3d0adea1fc33931f434c876546,True,"{'url': 'https://doi.org/10.5753/jserd.2021.1898', 'status': 'GOLD', 'license': 'CCBY', 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.5753/JSERD.2021.1898?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.5753/JSERD.2021.1898, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",2,56,,"['JournalArticle', 'Review']",['Computer Science'],"{'DBLP': 'journals/jserd/SouzaFVFMSC21', 'MAG': '3207211562', 'DOI': '10.5753/JSERD.2021.1898', 'CorpusId': 244589177}",0,"É. Souza, R. Falbo, N. Vijaykumar, K. Felizardo, G. V. Meinerz, Marcos S. Specimille, Alexandre G. N. Coelho","JournalArticle, Review","DBLP:journals/jserd/SouzaFVFMSC21, MAG:3207211562, DOI:10.5753/JSERD.2021.1898, CorpusId:244589177"
Experience Report on Developing an Ontology-based Approach for Knowledge Management in Software Testing,"Software testing is a knowledge intensive process. Thus, Knowledge Management (KM) emerges as a means to manage testing knowledge, and, consequently, to improve software quality. However, there are only a few KM solutions supporting software testing. This paper reports experiences from the development of an approach, Ontology-based Testing Knowledge Management (OntoT-KM), to assist in launching KM initiatives in the software testing domain with the support of Knowledge Management Systems (KMSs). OntoT-KM provides a process guiding how to start applying KM in software testing. OntoT-KM is based on the findings of a systematic mapping on KM in software testing and the results of a survey with testing practitioners. Moreover, OntoT-KM considers the conceptualization established by a Reference Ontology on Software Testing (ROoST). As a proof of concept, OntoT-KM was applied to develop a KMS called Testing KM Portal (TKMP), which was evaluated in terms of usefulness, usability and functional correctness. Results show that the developed KMS from OntoT-KM is a potential system for managing knowledge in software testing, so, the approach is able to guide KM initiatives in software testing.","[{'authorId': '23181320', 'name': 'É. Souza'}, {'authorId': '143967990', 'name': 'R. Falbo'}, {'authorId': '2052012968', 'name': 'Marcos S. Specimille'}, {'authorId': '2052013081', 'name': 'Alexandre G. N. Coelho'}, {'authorId': '1703620', 'name': 'N. Vijaykumar'}, {'authorId': '1757650', 'name': 'K. Felizardo'}, {'authorId': '3433873', 'name': 'G. V. Meinerz'}]",2020,Brazilian Symposium on Software Quality,{'name': 'Proceedings of the XIX Brazilian Symposium on Software Quality'},https://www.semanticscholar.org/paper/a0ee5ead80e1178cb647d6bb4edff57392344c69,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/3439961.3439993?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3439961.3439993, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",3,24,,"['Book', 'JournalArticle', 'Review']",['Computer Science'],"{'DBLP': 'conf/sbqs/SouzaFSCVFM20', 'DOI': '10.1145/3439961.3439993', 'CorpusId': 232132967}",0,"É. Souza, R. Falbo, Marcos S. Specimille, Alexandre G. N. Coelho, N. Vijaykumar, K. Felizardo, G. V. Meinerz","Book, JournalArticle, Review","DBLP:conf/sbqs/SouzaFSCVFM20, DOI:10.1145/3439961.3439993, CorpusId:232132967"
A systematic literature review on semantic web enabled software testing,,"[{'authorId': '3437122', 'name': 'Mahboubeh Dadkhah'}, {'authorId': '2697244', 'name': 'S. Araban'}, {'authorId': '2576752', 'name': 'S. Paydar'}]",2020,Journal of Systems and Software,"{'volume': '162', 'name': 'J. Syst. Softw.'}",https://www.semanticscholar.org/paper/7239f5f7790e21bc7aaad8e51c1ff774b1aeefdd,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1016/j.jss.2019.110485?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/j.jss.2019.110485, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",30,163,,"['JournalArticle', 'Review']",['Computer Science'],"{'DBLP': 'journals/jss/DadkhahAP20', 'MAG': '2989809658', 'DOI': '10.1016/j.jss.2019.110485', 'CorpusId': 210976543}",2,"Mahboubeh Dadkhah, S. Araban, S. Paydar","JournalArticle, Review","DBLP:journals/jss/DadkhahAP20, MAG:2989809658, DOI:10.1016/j.jss.2019.110485, CorpusId:210976543"
Tacit Knowledge in Software Testing: A Systematic Review,"This paper presents a systematic review of tacit knowledge in software testing. The main objectives of conducting this systematic review is to identify and synthesize issues and challenges regarding tacit knowledge in software testing, its influential factors that affect the tacit knowledge creation, sharing, use and transfer among software testers, its impacts on software testing, and the research methods being undertaken by the selected reviewed studies. Systematic Literature Review (SLR) is used for reviewing 14 primary studies that focus specifically on tacit knowledge in software testing. This paper provides significant evidences on the importance of tacit knowledge in software testing that will direct further directions for knowledge management (KM) and software testing practitioners and researchers.","[{'authorId': '102027623', 'name': 'Hariaty Mohd Idrus'}, {'authorId': '2378454', 'name': 'N. Ali'}]",2019,International Conference on Research and Innovation in Information Systems,"{'pages': '1-6', 'name': '2019 6th International Conference on Research and Innovation in Information Systems (ICRIIS)'}",https://www.semanticscholar.org/paper/91ddf59c714277a66b18450fdb8f0b22b9d6e88f,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ICRIIS48246.2019.9073275?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ICRIIS48246.2019.9073275, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",2,40,,"['Conference', 'Review']",['Computer Science'],"{'MAG': '3018124543', 'DOI': '10.1109/ICRIIS48246.2019.9073275', 'CorpusId': 216106128}",0,"Hariaty Mohd Idrus, N. Ali","Conference, Review","MAG:3018124543, DOI:10.1109/ICRIIS48246.2019.9073275, CorpusId:216106128"
Situation identification system in the software testing,,"[{'authorId': '153304979', 'name': 'Eugene Burov'}, {'authorId': '9382252', 'name': 'K. Mykich'}, {'authorId': '115493028', 'name': 'O. Veres'}, {'authorId': '144007792', 'name': 'V. Lytvyn'}]",2019,"Vìsnik Nacìonalʹnogo unìversitetu ""Lʹvìvsʹka polìtehnìka"". Serìâ Ìnformacìjnì sistemi ta merežì","{'name': 'Vìsnik Nacìonalʹnogo unìversitetu ""Lʹvìvsʹka polìtehnìka"". Serìâ Ìnformacìjnì sistemi ta merežì'}",https://www.semanticscholar.org/paper/022bca67a7a9e7e45c68a2fd820edd988c10956c,True,"{'url': 'https://doi.org/10.23939/sisn2019.02.030', 'status': 'BRONZE', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.23939/sisn2019.02.030?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.23939/sisn2019.02.030, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",1,13,,,['Computer Science'],"{'MAG': '2990644706', 'DOI': '10.23939/sisn2019.02.030', 'CorpusId': 214042974}",0,"Eugene Burov, K. Mykich, O. Veres, V. Lytvyn",,"MAG:2990644706, DOI:10.23939/sisn2019.02.030, CorpusId:214042974"
Using the Findings of a Mapping Study to Conduct a Research Project: A Case in Knowledge Management in Software Testing,,"[{'authorId': '23181320', 'name': 'É. Souza'}, {'authorId': '143967990', 'name': 'R. Falbo'}, {'authorId': '1703620', 'name': 'N. Vijaykumar'}]",2015,EUROMICRO Conference on Software Engineering and Advanced Applications,"{'pages': '208-215', 'name': '2015 41st Euromicro Conference on Software Engineering and Advanced Applications'}",https://www.semanticscholar.org/paper/ccff8b5926e1780494753cf30265c96cb556a986,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1109/SEAA.2015.10?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/SEAA.2015.10, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",4,29,,"['JournalArticle', 'Conference', 'Review']",['Computer Science'],"{'MAG': '1926198296', 'DBLP': 'conf/euromicro/SouzaFV15', 'DOI': '10.1109/SEAA.2015.10', 'CorpusId': 12068871}",0,"É. Souza, R. Falbo, N. Vijaykumar","JournalArticle, Conference, Review","MAG:1926198296, DBLP:conf/euromicro/SouzaFV15, DOI:10.1109/SEAA.2015.10, CorpusId:12068871"
A knowledge management approach for testing open source software systems,,"[{'authorId': '2103420', 'name': 'T. Abdou'}, {'authorId': '1764182', 'name': 'Pankaj Kamthan'}]",2014,"IEEE International Performance, Computing, and Communications Conference","{'pages': '1-2', 'name': '2014 IEEE 33rd International Performance Computing and Communications Conference (IPCCC)'}",https://www.semanticscholar.org/paper/9ac9d6f7870198e7cbff38fb04b617fbf8c66644,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1109/PCCC.2014.7017022?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/PCCC.2014.7017022, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",3,7,,"['JournalArticle', 'Conference']",['Computer Science'],"{'MAG': '2050097946', 'DBLP': 'conf/ipccc/AbdouK14', 'DOI': '10.1109/PCCC.2014.7017022', 'CorpusId': 9626033}",1,"T. Abdou, Pankaj Kamthan","JournalArticle, Conference","MAG:2050097946, DBLP:conf/ipccc/AbdouK14, DOI:10.1109/PCCC.2014.7017022, CorpusId:9626033"
An integrated model for effective knowledge management in Chinese organizations,,"[{'authorId': '7738100', 'name': 'X. An'}, {'authorId': '38639074', 'name': 'Hepu Deng'}, {'authorId': '2108841794', 'name': 'Yiwen Wang'}, {'authorId': '2535402', 'name': 'Lemen Chao'}]",2013,Program,"{'volume': '47', 'pages': '320-336', 'name': 'Program'}",https://www.semanticscholar.org/paper/a201fdc00ae31f9557e7ea387e336dd58bf3a7cd,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1108/PROG-07-2012-0044?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1108/PROG-07-2012-0044, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",11,55,,"['JournalArticle', 'Review']","['Business', 'Computer Science']","{'MAG': '2137503942', 'DBLP': 'journals/program/AnDWC13', 'DOI': '10.1108/PROG-07-2012-0044', 'CorpusId': 1335921}",0,"X. An, Hepu Deng, Yiwen Wang, Lemen Chao","JournalArticle, Review","MAG:2137503942, DBLP:journals/program/AnDWC13, DOI:10.1108/PROG-07-2012-0044, CorpusId:1335921"
Gestión de conocimiento: la solución para disminuir el reproceso en las pruebas de software,"La gestion de conocimiento se ha convertido en una clave fundamental en los procesos de la ingenieria de software, permitiendo mejorar y optimizar cada una de las actividades que se ejecutan durante todo el ciclo de desarrollo de software. Cada una de las etapas de la ingenieria de software ha adoptado de la gestion de conocimiento algunas caracteristicas, de acuerdo con las necesidades que se presentan, adecuandolos y fortaleciendolos para reducir los tiempos y disminuir la fuga de informacion dentro de las organizaciones. Es por esto que las pruebas de software han adoptado la gestion de conocimiento como la alternativa para disminuir el reproceso en las pruebas de software.","[{'authorId': '97683086', 'name': 'Luz Ángela Perona Ossaba'}, {'authorId': '2042469978', 'name': 'Juan Manuel Velásquez Isaza'}]",2012,,"{'volume': '3', 'pages': '48-53', 'name': 'Ingenierías USBMed'}",https://www.semanticscholar.org/paper/f04066e4e9ce4e0474ce5de07bf3cf6a0e1c9af9,True,"{'url': 'http://revistas.usbbog.edu.co/index.php/IngUSBmed/article/download/274/188', 'status': 'GOLD', 'license': 'CCBYNCSA', 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.21500/20275846.274?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.21500/20275846.274, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",2,8,,,['Engineering'],"{'MAG': '1517111131', 'DOI': '10.21500/20275846.274', 'CorpusId': 108598281}",0,"Luz Ángela Perona Ossaba, Juan Manuel Velásquez Isaza",,"MAG:1517111131, DOI:10.21500/20275846.274, CorpusId:108598281"
Towards developing software testing as a service (staas) model in cloud computing: a case of collaborative knowledge management system,,"[{'authorId': '2165150', 'name': 'R. Abdullah'}]",2012,International Conference on Software Engineering,"{'volume': '', 'pages': '25-29', 'name': ''}",https://www.semanticscholar.org/paper/204c8b5b7a123f84890d44dc064eb6f8f33c46ac,False,"{'url': '', 'status': None, 'license': None}",2,13,,,['Engineering'],"{'MAG': '163671817', 'CorpusId': 54130124}",0,R. Abdullah,,"MAG:163671817, CorpusId:54130124"
