DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1109/tse.2021.3116768,,,Transfer Learning Across Variants and Versions : The Case of Linux Kernel Size,"With large scale and complex configurable systems, it is hardfor users to choose the right combination of options (i.e., configurations)in order to obtain the wanted trade-off between functionality and per-formance goals such as speed or size. Machine learning can help inrelating these goals to the configurable system options, and thus, predictthe effect of options on the outcome, typically after a costly training step.However, many configurable systems evolve at such a rapid pace that itis impractical to retrain a new model from scratch for each new version.In this paper, we propose a new method to enable transfer learningof binary size predictions among versions of the same configurablesystem. Taking the extreme case of the Linux kernel with its14,500configuration options, we first investigate how binary size predictionsof kernel size degrade over successive versions. We show that thedirect reuse of an accurate prediction model from 2017 quickly becomesinaccurate when Linux evolves, up to a 32% mean error by August 2020.We thus propose a new approach for transfer evolution-aware modelshifting (TEAMS). It leverages the structure of a configurable systemto transfer an initial predictive model towards its future versions witha minimal amount of extra processing for each version. We show thatTEAMS vastly outperforms state of the art approaches over the 3 yearshistory of Linux kernels, from 4.13 to 5.8.","Hugo Martin,Hugo Martin,Mathieu Acher,Mathieu Acher,Luc Lesoil,Luc Lesoil,Jean Marc Jézéquel,Jean-Marc Jézéquel,Djamel Eddine Khelladi,Djamel Eddine Khelladi,Juliana Alves Pereira,Juliana Alves Pereira,Juliana Alves Pereira",IEEE Transactions on Software Engineering,2021.0
10.1109/tsc.2022.3142853,,,FOCloud: Feature Model Guided Performance Prediction and Explanation for Deployment Configurable Cloud Applications,"The increasing heterogeneity of the VM offerings on public IaaS clouds} gives rise to a very large number of deployment options for constructing distributed, multi-component cloud applications. However, selecting an appropriate deployment variant, i.e., a valid combination of deployment options, to meet required performance levels is non-trivial. The combinatorial explosion of the deployment space makes it infeasible to measure the performance of all deployment variants to build a comprehensive empirical performance model. To address this problem, we propose Feature-Oriented Cloud (FOCloud), a performance engineering approach for deployment configurable cloud applications. FOCloud (i) uses feature modeling to structure and constrain the valid deployment space by modeling the commonalities and variations in the different deployment options and their inter-dependencies, (ii) uses sampling and machine learning to incrementally and cost-effectively build a performance prediction model whose input variables are the deployment options, and the output variable is the performance of the resulting deployment variant, and (iii) uses Explainable AI techniques to provide explanations for the prediction outcomes of valid deployment variants in terms of the deployment options We demonstrate the practicality and feasibility of FOCloud by applying it to an extension of the RuBiS benchmark application deployed on Google Cloud.","Indika Priyantha Kumara,Indika Kumara,Mohamed Ariz,Mohamed Hameez Ariz,Mohan Baruwal Chhetri,Mohan Baruwal Chhetri,Majeed Mohammadi,Majeed Mohammadi,Willem-Jan Van Den Heuvel,Willem‐Jan van den Heuvel,Damian Andrew Andrew Tamburri,Damian A. Tamburri",IEEE Transactions on Services Computing,2022.0
10.1109/tse.2022.3171404,,,Were Not Gonna Break It! Consistency-Preserving Operators for Efficient Product Line Configuration,"When configuring a software product line, finding a good trade-off between multiple orthogonal quality concerns is a challenging multi-objective optimisation problem. State-of-the-art solutions based on search-based techniques create invalid configurations in intermediate steps, requiring additional repair actions that reduce the efficiency of the search. In this work, we introduce <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">consistency-preserving configuration operators</i> (CPCOs)—genetic operators that maintain valid configurations throughout the entire search. CPCOs bundle coherent sets of changes: the activation or deactivation of a particular feature together with other (de)activations that are needed to preserve validity. In our evaluation, our instantiation of the IBEA algorithm with CPCOs outperforms two state-of-the-art tools for optimal product line configuration in terms of both speed and solution quality. The improvements are especially pronounced in large product lines with thousands of features.","José-Miguel Horcas,Jose Miguel Horcas,Daniel Strüber,Daniel Struber,Alexandru Burdusel,Alexandru Burdusel,Jabier Martínez,Jabier P. Martinez,Steffen Zschaler,Steffen Zschaler",IEEE Transactions on Software Engineering,2022.0
10.1145/3510455.3512792,,,Towards Incremental Build of Software Configurations,"Building software is a crucial task to compile, test, and deploy software systems while continuously ensuring quality. As software is more and more configurable, building multiple configurations is a pressing need, yet, costly and challenging to instrument. The common practice is to independently build (a.k.a., clean build) a software for a subset of configurations. While incremental build has been considered for software evolution and relatively small modifications of the source code, it has surprisingly not been considered for software configurations. In this vision paper, we formulate the hypothesis that incremental build can reduce the cost of exploring the configuration space of software systems. We detail how we apply incremental build for two real-world application scenarios and conduct a preliminary evaluation on two case studies, namely x264 and Linux Kernel. For x264, we found that one can incrementally build configurations in an order such that overall build time is reduced. Nevertheless, we could not find any optimal order with the Linux Kernel, due to a high distance between random configurations. Therefore, we show it is possible to control the process of generating configurations: we could reuse commonality and gain up to 66% of build time compared to only clean builds.","Georges Aaron Randrianaina,Randrianaina, Georges Aaron,Djamel Eddine Khelladi,Khelladi, Djamel, ,Olivier Zendra,Zendra, Olivier,Mathieu Acher,Acher, Mathieu",,2022.0
10.1109/icse-nier55298.2022.9793538,,,Towards Incremental Build of Software Configurations,"Building software is a crucial task to compile, test, and deploy software systems while continuously ensuring quality. As software is more and more configurable, building multiple configurations is a pressing need, yet, costly and challenging to instrument. The common practice is to independently build (a.k.a., clean build) a software for a subset of configurations. While incremental build has been considered for software evolution and relatively small modifications of the source code, it has surprisingly not been considered for software configurations. In this vision paper, we formulate the hypothesis that incremental build can reduce the cost of exploring the configuration space of software systems. We detail how we apply incremental build for two real-world application scenarios and conduct a preliminary evaluation on two case studies, namely x264 and Linux Kernel. For x264, we found that one can incrementally build configurations in an order such that overall build time is reduced. Nevertheless, we could not find any optimal order with the Linux Kernel, due to a high distance between random configurations. Therefore, we show it is possible to control the process of generating configurations: we could reuse commonality and gain up to 66&#x0025; of build time compared to only clean builds.CCS CONCEPTS &#x2022; Software and its engineering $\\rightarrow$ Software configuration management and version control systems.","Georges Aaron Randrianaina,Georges Aaron Randrianaina,Djamel Eddine Khelladi,Djamel Eddine Khelladi,Olivier Zendra,Olivier Zendra,Mathieu Acher,Mathieu Acher",,2022.0
10.1109/cps-iotbench56135.2022.00007,,,Regression Model Trees: Compact Energy Models for Complex IoT Devices,"The energy and timing behaviour of embedded components such as radio chips or sensors plays an important role when developing energy-efficient cyber-physical systems and IoT devices. However, datasheet values generally have low accuracy and may be incomplete, and performing new energy measurements after each code or hardware configuration change is time-consuming. While energy models &#x2013; automatically generated from benchmarks exercising all relevant device configurations &#x2013; offer a solution, they should have both low prediction error and low complexity in order to be useful to humans as well as energy simulations. With today&#x2019;s increasingly complex devices and drivers, generating compact and accurate energy models is becoming harder due to non-linear effects and interdependencies between configuration parameters. To address this issue, we present Regression Model Trees. By combining software product line engineering and energy modeling methodologies, these are capable of automatically learning complex energy models from benchmark data. Using energy and timing benchmarks on two embedded radio chips and an air quality sensor, we show that Regression Model Trees are both more accurate than conventional energy models and less complex than state-of-the-art approaches from the product line engineering community. Thus, they are easier to understand and use for humans and algorithms alike. We observe two-to 100-fold complexity reduction, and a maximum energy model error of 6 % with cross-validation.","Daniel Friesel,Daniel Friesel,Olaf Spinczyk,Olaf Spinczyk",,2022.0
10.1145/3510003.3510190,,,On the benefits and limits of incremental build of software configurations,"Software projects use build systems to automate the compilation, testing, and continuous deployment of their software products. As software becomes increasingly configurable, the build of multiple configurations is a pressing need, but expensive and challenging to implement. The current state of practice is to build independently (a.k.a., clean build) a software for a subset of configurations. While incremental build has been studied for software evolution and relatively small changes of the source code, it has surprisingly not been considered for software configurations. In this exploratory study, we examine the benefits and limits of building software configurations incrementally, rather than always building them cleanly. By using five real-life configurable systems as subjects, we explore whether incremental build works, outperforms a sequence of clean builds, is correct w.r.t. clean build, and can be used to find an optimal ordering for building configurations. Our results show that incremental build is feasible in 100% of the times in four subjects and in 78% of the times in one subject. In average, 88.5% of the configurations could be built faster with incremental build while also finding several alternatives faster incremental builds. However, only 60% of faster incremental builds are correct. Still, when considering those correct incremental builds with clean builds, we could always find an optimal order that is faster than just a collection of clean builds with a gain up to 11.76%.","Georges Aaron Randrianaina,Georges Aaron Randrianaina,Xhevahire Tërnava,Xhevahire Tërnava,Djamel Eddine Khelladi,Djamel Eddine Khelladi,Mathieu Acher,Mathieu Acher",,
10.1007/978-3-031-08129-3_3,,,Scratching the Surface of ./configure: Learning the Effects of Compile-Time Options on Binary Size and Gadgets,"AbstractNumerous software systems are configurable through compile-time options and the widely used ./configure. However, the combined effects of these options on binary’s non-functional properties (size and attack surface) are often not documented, and or not well understood, even by experts. Our goal is to provide automated support for exploring and comprehending the configuration space (a.k.a., surface) of compile-time options using statistical learning techniques. In this paper, we perform an empirical study on four C-based configurable systems. We measure the variation of binary size and attack surface (by quantifying the number of code reuse gadgets) in over 400 compile-time configurations of a subject system. We then apply statistical learning techniques on top of our build infrastructure to identify how compile-time options relate to non-functional properties. Our results show that, by changing the default configuration, the system’s binary size and gadgets vary greatly (roughly \(-79\%\) to \(244\%\) and \(-77\%\) to \(30\%\), respectively). Then, we found out that identifying the most influential options can be accurately learned with a small training set, while their relative importance varies across size and attack surface for the same system. Practitioners can use our approach and artifacts to explore the effects of compile-time options in order to take informed decisions when configuring a system with ./configure. KeywordsConfigurable systemsCompile-time variabilityBinary sizeGadgetsSystem securityNon-functional propertiesStatistical learning","Xhevahire Tërnava,Xhevahire Tërnava,Mathieu Acher,Mathieu Acher,Luc Lesoil,Luc Lesoil,Arnaud Blouin,Arnaud Blouin,Jean-Marc Jézéquel,Jean-Marc Jézéquel",Lecture Notes in Computer Science,2022.0
10.1145/3503229.3547057,,,Defining categorical reasoning of numerical feature models with feature-wise and variant-wise quality attributes,,"Daniel-Jesus Munoz,Daniel-Jesús Munoz,Mónica Pinto,Mónica Pinto,Dilian Gurov,Dilian Gurov,Lidia Fuentes,Lidia Fuentes",,2022.0
10.1145/3503229.3547026,,,kconfig-webconf,"Despite decades of research and clear advantages, performance-aware configuration of real-world software product lines is still an exception rather than the norm. One reason for this may be tooling: configuration software with support for non-functional property models is generally not compatible with the configuration and build process of existing product lines. Specifically, the Kconfig language is popular in open source software projects, but neither language nor configuration frontends support performance models. To address this, we present kconfig-webconf: a performance-aware, Kconfig-compatible software product line configuration frontend. It is part of a toolchain that can automatically generate performance models with a minimal amount of changes to a software product line's build process. With such a performance model, kconfig-webconf can serve as a performance-aware drop-in replacement for existing Kconfig frontends. We evaluate its usage in five examples, including the busybox multi-call binary and the resKIL agricultural AI product line.","Daniel Friesel,Daniel Friesel,Kathrin Elmenhorst,Kathrin Elmenhorst,Lennart Kaiser,Lennart Kaiser,Michael Müller,Michael Müller,Olaf Spinczyk,Olaf Spinczyk",,2022.0
